OG_OXFORD_TEXT,OXFORD_TEXT,GREEN_SCANSION,GREEN_SYLLABLES,V1_SCANSION,V1_SYLLABLES,V1_MATCHES_GREEN,V1_CONFIDENCE,V2_SCANSION,V2_SYLLABLES,V2_MATCHES_GREEN,V2_CONFIDENCE,V3_SCANSION,V3_SYLLABLES,V3_MATCHES_GREEN,V3_CONFIDENCE,V4_SCANSION,V4_SYLLABLES,V4_MATCHES_GREEN,V4_CONFIDENCE,V5_SCANSION,V5_SYLLABLES,V5_MATCHES_GREEN,V5_CONFIDENCE,V6_SCANSION,V6_SYLLABLES,V6_MATCHES_GREEN,V6_CONFIDENCE,V7_SCANSION,V7_SYLLABLES,V7_MATCHES_GREEN,V7_CONFIDENCE,V8_SCANSION,V8_SYLLABLES,V8_MATCHES_GREEN,V8_CONFIDENCE,V9_SCANSION,V9_SYLLABLES,V9_MATCHES_GREEN,V9_CONFIDENCE
"“I? no,” quod she, and chaunged al hir hewe.",I no quod she and chaunged al hir hewe,u S u S u Su S u Sx,10,u S u S u Su S u Sx,10,1,64.05,u S u S u Su S u Sx,10,1,64.05,u S u S u Su S u Sx,10,1,62.94,u S u S u Su S u Sx,10,1,64.05,u S u S u Su S u Sx,10,1,64.05,u S u S u Su S u Sx,10,1,64.05,u S u S u Su S u Sx,10,1,64.05,u S u S u Su S u Sx,10,1,64.05,u S u S u Su S u Sx,10,1,64.05
"Go now, farewel! and, Venus here to borwe",Go now farewel and Venus here to borwe,u S uS u Su Sx u Sx,10,u S uSu S xu Sx u Sx,10,0,26.27,u S uSu S uS xx u Sx,10,0,16.80,u S uSu S uS xx u Sx,10,0,16.80,u S uSu S uS xx u Sx,10,0,16.80,u S uSu S uS xx u Sx,10,0,16.80,       ,0,0,0.00,u S uS u Su Sx u Sx,10,1,48.99,u S uS u Su Sx u Sx,10,1,48.99,u S uS u Su Sx u Sx,10,1,48.99
"By Troilus he lay, with mery chere",By Troilus he lay with mery chere,u SuS u S u Su Sx,10,u SuS u S u Su Sx,10,1,77.35,u SuS u S u Su Sx,10,1,77.35,u SuS u S u Su Sx,10,1,78.77,u SuS u S u Su Sx,10,1,77.35,u SuS u S u Su Sx,10,1,77.35,u SuS u S u Su Sx,10,1,77.35,u SuS u S u Su Sx,10,1,77.35,u SuS u S u Su Sx,10,1,77.35,u SuS u S u Su Sx,10,1,77.35
Right thus to Love he gan him for to pleine;,Right thus to Love he gan him for to pleine,u S u Sx u S u S u Sx,10,u S u Sx u S u S u Sx,10,1,73.80,u S u Sx u S u S u Sx,10,1,73.80,u S u Sx u S u S u Sx,10,1,73.80,u S u Sx u S u S u Sx,10,1,73.80,u S u Sx u S u S u Sx,10,1,73.80,u S u Sx u S u S u Sx,10,1,73.80,u S u Sx u S u S u Sx,10,1,73.80,u S u Sx u S u S u Sx,10,1,73.80,u S u Sx u S u S u Sx,10,1,73.80
That ye han herd Pandare er this devise.,That ye han herd Pandare er this devise,u S u S uSx u S uSx,10,u S u S uSx u S uSx,10,1,65.83,u S u S uSx u S uSx,10,1,65.83,u S u S uSx u S uSx,10,1,67.08,u S u S uSx u S uSx,10,1,65.83,u S u S uSx u S uSx,10,1,65.83,u S u S uSx u S uSx,10,1,65.83,u S u S uSx u S uSx,10,1,65.83,u S u S uSx u S uSx,10,1,65.83,u S u S uSx u S uSx,10,1,65.83
This Januarie is ravisshed° in a traunce,This Januarie is ravisshed in a traunce,u SuSx u Su S u Su,11,u SuSu S uSx u S ux,11,0,25.91,u SuSu S uSx u S ux,11,0,25.91,u SuSu S uSx u S ux,11,0,25.91,u SuSu S uSx u S ux,11,0,25.91,u SuSu S uSx u S ux,11,0,25.91,      ,0,0,0.00,      ,0,0,0.00,u SuSu S uSx u S ux,11,0,25.91,      ,0,0,0.00
"To bidde, and rede on holy seintes lives:",To bidde and rede on holy seintes lives,u Sx u Sx u Su Su Sx,10,u Sx u Sx u Su Su Sx,10,1,65.73,u Sx u Sx u Su Su Sx,10,1,65.73,u Sx u Sx u Su Su Sx,10,1,64.48,u Sx u Sx u Su Su Sx,10,1,65.73,u Sx u Sx u Su Su Sx,10,1,65.73,u Sx u Sx u Su Su Sx,10,1,65.73,u Sx u Sx u Su Su Sx,10,1,65.73,u Sx u Sx u Su Su Sx,10,1,65.73,u Sx u Sx u Su Su Sx,10,1,65.73
For if a peintour wolde peinte a pik,For if a peintour wolde peinte a pik,u S u Su Su Sx u S,10,u S u Su Su Sx u S,10,1,53.09,u S u Su Su Sx u S,10,1,53.09,u S u Su Su Sx u S,10,1,53.09,u S u Su Su Sx u S,10,1,53.09,u S u Su Su Sx u S,10,1,53.09,u S u Su Su Sx u S,10,1,53.09,u S u Su Su Sx u S,10,1,53.09,u S u Su Su Sx u S,10,1,53.09,u S u Su Su Sx u S,10,1,53.09
He preyede hem anoon on it avise.,He preyede hem anoon on it avise,u Sux S uS u S uSx,10,u Sux S uS u S uSx,10,1,51.22,u Sux S uS u S uSx,10,1,51.22,u Sux S uS u S uSx,10,1,52.64,u Sux S uS u S uSx,10,1,51.22,u Sux S uS u S uSx,10,1,51.22,u Sux S uS u S uSx,10,1,51.22,u Sux S uS u S uS,10,1,51.22,u Sux S uS u S uS,10,1,51.22,u Sux S uS u S uS,10,1,51.22
And goodly on Criseyde she bihelde,And goodly on Criseyde she bihelde,u Su S uSu S uSx,10,u Su S uSu S uSx,10,1,51.70,u Su S uSu S uSx,10,1,51.70,u Su S uSu S uSx,10,1,53.37,u Su S uSu S uSx,10,1,51.70,u Su S uSu S uSx,10,1,51.70,u Su S uSu S uSx,10,1,51.70,u Su S uSu S uSx,10,1,51.70,u Su S uSu S uSx,10,1,51.70,u Su S uSu S uSx,10,1,51.70
