file,adj->n#propn %,adj->n#propn spelled,"adj->n#propn spelled, elided",adj->n#propn unspelled,"adj->n#propn unspelled, elided",def_art->adj %,def_art->adj spelled,"def_art->adj spelled, elided",def_art->adj unspelled,"def_art->adj unspelled, elided",demonstrative->adj %,demonstrative->adj spelled,"demonstrative->adj spelled, elided",demonstrative->adj unspelled,"demonstrative->adj unspelled, elided",interj->adj %,interj->adj spelled,"interj->adj spelled, elided",interj->adj unspelled,"interj->adj unspelled, elided",n%gen->adj %,n%gen->adj spelled,"n%gen->adj spelled, elided",n%gen->adj unspelled,"n%gen->adj unspelled, elided",overall final,overall spelled elided,overall spelled unelided,overall unelided spelled/unspelled ratio,overall unspelled elided,overall unspelled unelided,pron%gen->adj %,pron%gen->adj spelled,"pron%gen->adj spelled, elided",pron%gen->adj unspelled,"pron%gen->adj unspelled, elided"
PrT_gui.csv,100.0,1,1,0,0,0.0,0,1,0,1,100.0,2,0,0,0,100.0,1,1,0,0,0.0,0,0,0,0,0,3,4,100.0,1,0,0.0,0,0,0,0
TC2_gui.csv,0.0,0,0,0,1,100.0,9,0,0,0,100.0,2,0,0,0,50.0,1,0,1,2,0.0,0,0,0,0,0,1,17,94.44,3,1,100.0,5,1,0,0
SumT_gui.csv,0.0,0,0,0,0,100.0,4,1,0,0,100.0,4,0,0,0,100.0,1,0,0,0,0.0,0,0,0,0,0,2,9,100.0,0,0,0.0,0,1,0,0
ClT_gui.csv,0.0,0,0,1,0,66.67,2,1,1,0,66.67,4,0,2,0,100.0,2,0,0,0,0.0,0,0,0,0,0,2,13,76.47,0,4,100.0,5,1,0,0
HF_gui.csv,0.0,0,0,1,3,80.0,8,0,2,2,100.0,2,0,0,0,100.0,1,0,0,2,0.0,0,0,0,0,0,0,14,82.35,8,3,100.0,3,0,0,1
TC3_gui.csv,100.0,2,1,0,0,100.0,2,1,0,0,75.0,3,1,1,0,50.0,1,0,1,0,0.0,0,0,0,1,0,5,13,76.47,1,4,71.43,5,2,2,0
PhyT_gui.csv,0.0,0,0,0,0,0.0,0,1,0,0,100.0,4,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,1,4,100.0,0,0,0.0,0,0,0,0
CYT_gui.csv,0.0,0,0,0,0,100.0,2,0,0,0,66.67,2,0,1,0,0.0,0,0,1,0,0.0,0,0,0,0,0,1,4,66.67,0,2,0.0,0,1,0,0
SNT_gui.csv,0.0,0,1,1,0,100.0,1,1,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,2,3,75.0,0,1,100.0,2,0,0,0
BD_gui.csv,50.0,1,0,1,0,83.33,5,0,1,0,0.0,0,0,1,0,50.0,1,0,1,0,0.0,0,0,0,0,0,0,11,73.33,0,4,100.0,4,0,0,0
TC1_gui.csv,0.0,0,0,0,0,100.0,6,0,0,1,0.0,0,1,0,1,100.0,2,1,0,0,0.0,0,0,0,0,0,2,13,100.0,3,0,100.0,5,0,0,1
WBPro_gui.csv,0.0,0,0,1,0,100.0,1,0,0,0,0.0,0,0,0,0,100.0,2,0,0,0,0.0,0,0,0,0,0,0,7,87.5,0,1,100.0,4,0,0,0
RvT_gui.csv,0.0,0,0,0,0,100.0,2,0,0,0,100.0,3,0,0,0,100.0,1,0,0,0,0.0,0,0,0,0,0,0,8,88.89,0,1,66.67,2,0,1,0
