headword,weak_forms,spelled,spelled_elided,unspelled,unspelled_elided,final,total,unelided_pct,overall_pct
bar,['bare'],3,0,0,0,2,5,100.0,100.0
blak,['blake'],5,1,0,0,8,14,100.0,100.0
bold,['bolde'],0,0,0,0,1,1,NA,NA
bright,['brighte'],6,3,0,0,5,14,100.0,100.0
brod,['brode'],1,3,0,0,0,4,100.0,100.0
broun,['broun'],0,0,0,0,1,1,NA,NA
cler,['clere'],0,0,0,0,7,7,NA,NA
cold,['colde'],3,0,0,0,3,6,100.0,100.0
couth,['couthe'],0,1,0,0,0,1,NA,100.0
ded,['dede'],3,0,0,0,2,5,100.0,100.0
dep,['depe'],1,1,0,0,0,2,100.0,100.0
derk,['derke'],1,0,0,0,0,1,100.0,100.0
don,['dunne'],0,0,0,0,1,1,NA,NA
fair,['faire'],2,0,0,0,2,4,100.0,100.0
fals,['false'],4,1,0,0,0,5,100.0,100.0
fel,['felle'],0,1,0,0,2,3,NA,100.0
fin,['fine'],1,2,0,0,1,4,100.0,100.0
fre,['free'],0,0,0,0,1,1,NA,NA
fresh,['fresh'],0,0,0,1,0,1,NA,0.0
ful,"['fulle', 'ful']",0,2,0,10,1,13,NA,16.67
gai,['gaye'],1,0,0,0,0,1,100.0,100.0
glad,"['glade', 'gladde']",1,0,0,0,5,6,100.0,100.0
god,"['gode', 'good', 'goode']",10,0,4,0,0,14,71.43,71.43
gret,['grete'],11,7,0,0,4,22,100.0,100.0
grim,['grimme'],1,0,0,0,0,1,100.0,100.0
heigh,"['hye', 'hie', 'heighe']",3,0,0,0,3,6,100.0,100.0
hot,['hote'],1,0,0,0,1,2,100.0,100.0
lef,['leve'],0,1,0,0,1,2,NA,100.0
leued,"['lewed', 'lewede']",0,1,1,0,0,2,0.0,50.0
lik,['like'],0,1,0,0,0,1,NA,100.0
loud,['loude'],1,0,0,0,0,1,100.0,100.0
loue,['lowe'],0,0,0,0,1,1,NA,NA
mek,['meke'],1,0,0,0,0,1,100.0,100.0
neue,['newe'],4,2,0,0,3,9,100.0,100.0
ouen,"['owene', 'owne']",5,0,0,0,0,5,100.0,100.0
prest,['preste'],1,0,0,0,0,1,100.0,100.0
proud,"['proude', 'proud']",1,0,1,0,1,3,50.0,50.0
red,['rede'],1,1,0,0,6,8,100.0,100.0
sad,['sadde'],1,0,0,0,0,1,100.0,100.0
salt,['salte'],9,2,0,0,0,11,100.0,100.0
sharp,['sharpe'],5,1,0,0,0,6,100.0,100.0
short,['shorte'],5,0,0,0,0,5,100.0,100.0
sik,['sike'],0,0,0,0,1,1,NA,NA
sleigh,"['slye', 'slie']",1,0,0,0,1,2,100.0,100.0
smal,"['smale', 'smal', 'smalle']",10,2,0,0,11,23,100.0,100.0
smert,['smerte'],0,0,0,0,18,18,NA,NA
soth,['sothe'],1,0,0,0,0,1,100.0,100.0
strong,['stronge'],0,2,0,0,6,8,NA,100.0
tough,['tough'],0,0,0,0,1,1,NA,NA
treu,['trewe'],1,1,0,0,2,4,100.0,100.0
wet,['wete'],1,0,0,0,2,3,100.0,100.0
whit,['white'],5,1,0,0,5,11,100.0,100.0
wid,['wide'],1,1,0,0,0,2,100.0,100.0
worth,['worth'],0,0,0,1,0,1,NA,0.0
wrong,['wronge'],0,0,0,0,2,2,NA,NA
yong,['yonge'],12,0,0,0,0,12,100.0,100.0
