infinitive,preterite,past_participle,classification,notes
abaishen,,"abaist(2), abayst(2), abasht(1)",weak,classified by morphological evidence
abiden,"abood(5), abod(2), abode(1)",abiden(2),strong,known
abien,aboughte(2),aboght(2),weak,not in list
accepten,,accepted(2),weak,classified by morphological evidence
accorden,"acorded(3), accorded(1)","acorded(13), accorded(5)",weak,classified by morphological evidence
accounten,acounted(2),,weak,classified by morphological evidence
acheven,acheved(2),acheved(2),weak,classified by morphological evidence
acursen,,"acursed(3), acorsed(2)",weak,classified by morphological evidence
adauen,,adawed(2),weak,classified by morphological evidence (check!)
adden,added(2),,weak,classified by morphological evidence
adouren,,adoured(1),weak,classified by morphological evidence
adreden,,"adrad(6), adred(2)",weak,classified by morphological evidence
affraien,,"affrayed(4), affraied(1)",weak,classified by morphological evidence (check!)
agasten,,agast(36),weak,classified by morphological evidence
agilten,"agilte(2), agylte(2)",agilt(1),weak,classified by morphological evidence
agonen,,ago(1),weak,not in list
agreven,,agreved(2),weak,classified by morphological evidence
agrisen,agroos(2),,strong,classified by morphological evidence
alteren,altered(2),,weak,classified by morphological evidence
amenden,amended(1),amended(8),weak,classified by morphological evidence
anhongen,,"anhanged(6), anhonged(2)",weak,classified by morphological evidence
annexen,,annexed(4),weak,classified by morphological evidence
answeren,"answerde(155), answerd(8), answered(7), answerede(4)","answered(2), answerd(1)",weak,classified by morphological evidence
apallen,,"apalled(2), appalled(2)",weak,classified by morphological evidence
apiken,,apiked(2),weak,classified by morphological evidence
appointen,"apointed(1), apoynted(1)","apointed(1), apoynted(1)",weak,classified by morphological evidence
apposen,apposed(2),,weak,classified by morphological evidence
aqueinten,,"aqueinted(1), aqueynted(1)",weak,classified by morphological evidence
aretten,,"aretted(1), arretted(1)",weak,classified by morphological evidence
arguen,argued(2),,weak,classified by morphological evidence
argumenten,argumented(2),,weak,classified by morphological evidence
arisen,"aros(3), aroos(2)",arisen(2),strong,known strong verb
ariven,,"arrived(1), arryved(1), arived(1), aryved(1)",weak,classified by morphological evidence
armen,,armed(7),weak,classified by morphological evidence
arraien,arrayed(2),"arrayed(11), arayed(3), araied(1)",weak,classified by morphological evidence
asken,"axed(14), asked(10), axede(1)",axed(4),weak,classified by morphological evidence
aslaken,,aslaked(2),weak,classified by morphological evidence
aspien,"aspied(4), espyed(2), aspyed(1), aspyede(1)","espyed(3), espied(2), aspied(1)",weak,not in list
assaien,,"assayed(11), assaied(1)",weak,classified by morphological evidence
assaillen,,"assailled(4), assailed(1), assayled(1)",weak,classified by morphological evidence
assegen,,asseged(2),weak,classified by morphological evidence
assemblen,assembled(2),assembled(6),weak,classified by morphological evidence (check!)
assenten,,assented(6),weak,classified by morphological evidence
assuren,assured(2),assured(6),weak,classified by morphological evidence
asterten,,astert(2),weak,classified by morphological evidence
astonen,"astoned(1), astonyed(1)",,weak,classified by morphological evidence
astoren,,astored(2),weak,classified by morphological evidence
auntren,auntred(2),,weak,classified by morphological evidence
avisen,,"avised(7), avysed(7)",weak,classified by morphological evidence
awaken,awook(5),,strong,known strong verb
awreken,,awroken(2),strong,Wreken is strong
banishen,,"banished(1), banysshed(1)",weak,classified by morphological evidence
bathen,bathed(3),"bathed(3), ybathed(2)",weak,classified by morphological evidence
beden,,bode(2),strong,known strong verb
bekken,bekked(2),,weak,classified by morphological evidence
ben,"was(3734), were(644), wer(18)","been(77), ben(67), be(24)",irregular,Known irregular
benden,bente(2),bent(2),weak,classified by morphological evidence (check!)
beren,"bar(88), baar(25)","born(60), bore(4), boren(2)",strong,known strong verb (check!)
