OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"The Cook of Londoun, whil the Reve spak","¶The Cook of London, whil the Reve spak",data/riverside_cats/CkPro_riv.cat,data/oxford_txts/CkPro_oxford.txt,data/csvs/CkPro,The Cook's Prologue 4325,,10,10,The Cook of Londoun whil the Reve spak,The Cook of London whil the Reve spak,u S u Su S u Su S,u S u Su S u Su S,the@def_art cok@n6 of@prep london@n#propn whil@conj the@def_art reve@n speken@v%pt_3,the@def_art cok@n6 of@prep london@n#propn whil@conj the@def_art reve@n speken@v%pt_3,green
For joye him thoughte he clawed him on the bak.,"For joye, him thoughte, he clawed° him on the bak",data/riverside_cats/CkPro_riv.cat,data/oxford_txts/CkPro_oxford.txt,data/csvs/CkPro,The Cook's Prologue 4326,,10,10,For joye him thoughte he clawed him on the bak,For joye him thoughte he clawed him on the bak,u S u Sx u Sx u S u S,u S u Sx u Sx u S u S,for@prep joie@n him@pron%obj thinken@v1%pt_3 he@pron1%nom clauen@v%pt_3 him@pron%obj on@prep the@def_art bak@n,for@prep joie@n him@pron%obj thinken@v1%pt_3 he@pron1%nom clauen@v%pt_3 him@pron%obj on@prep the@def_art bak@n,
"Ha! ha!"""" quod he, """"For Cristes passion","“Ha! ha!” quod he, “For Cristes passioun",data/riverside_cats/CkPro_riv.cat,data/oxford_txts/CkPro_oxford.txt,data/csvs/CkPro,The Cook's Prologue 4327,,10,10,Ha ha quod he For Cristes passion,Ha ha quod he For Cristes passioun,u S u S u Su SuS,u S u S u Su SuS,ha@interj ha@interj quethen@v%pt_3 he@pron1%nom for@prep crist@n#propn%gen passioun@n,ha@interj ha@interj quethen@v%pt_3 he@pron1%nom for@prep crist@n#propn%gen passioun@n,
This millere hadde a sharp conclusion,This millere hadde a sharp conclusioun°,data/riverside_cats/CkPro_riv.cat,data/oxford_txts/CkPro_oxford.txt,data/csvs/CkPro,The Cook's Prologue 4328,,10,10,This millere hadde a sharp conclusion,This millere hadde a sharp conclusioun,u Sux Sx u S uSuS,u Sux Sx u S uSuS,this@gram_adj milnere@n haven@v%pt_3 a@indef_art sharp@adj conclusioun@n,this@gram_adj milnere@n haven@v%pt_3 a@indef_art sharp@adj conclusioun@n,
Upon his argument of herbergage!,Upon his argument of° herbergage!°,data/riverside_cats/CkPro_riv.cat,data/oxford_txts/CkPro_oxford.txt,data/csvs/CkPro,The Cook's Prologue 4329,,10,10,Upon his argument of herbergage,Upon his argument of herbergage,uS u SuS u SuSx,uS u SuS u SuSx,upon@prep his@pron1%gen argument@n of@prep herbergage@n,upon@prep his@pron1%gen argument@n of@prep herbergage@n,
Wel seyde Salomon in his langage,Wel seide Salomon in his langage,data/riverside_cats/CkPro_riv.cat,data/oxford_txts/CkPro_oxford.txt,data/csvs/CkPro,The Cook's Prologue 4330,,10,10,Wel seyde Salomon in his langage,Wel seide Salomon in his langage,u Su SuS u S uSx,u Su SuS u S uSx,wel@adv seien@v1%pt_3 salomon@n#propn in@prep his@pron1%gen langage@n,wel@adv seien@v1%pt_3 salomon@n#propn in@prep his@pron1%gen langage@n,
"`Ne bryng nat every man into thyn hous,'",‘Ne bring nat every man into thin hous’;,data/riverside_cats/CkPro_riv.cat,data/oxford_txts/CkPro_oxford.txt,data/csvs/CkPro,The Cook's Prologue 4331,,10,10,Ne bryng nat every man into thyn hous,Ne bring nat every man into thin hous,u S u Sxu S uS u S,u S u Sxu S uS u S,ne@adv bringen@v%imp not@adv everi@pron_gram_adj man@n in-to@prep thin@pron%gen hous@n,ne@adv bringen@v%imp not@adv everi@pron_gram_adj man@n in-to@prep thin@pron%gen hous@n,
For herberwynge by nyghte is perilous.,For herberwing by nighte is perilous.,data/riverside_cats/CkPro_riv.cat,data/oxford_txts/CkPro_oxford.txt,data/csvs/CkPro,The Cook's Prologue 4332,,10,10,For herberwynge by nyghte is perilous,For herberwing by nighte is perilous,u SuSx u Sx u SuS,u SuS u Sx u SuS,for@conj herberwinge@ger bi@prep night@n ben@v%pr_3 perilous@adj,for@conj herberwinge@ger bi@prep night@n ben@v%pr_3 perilous@adj,
Wel oghte a man avysed for to be,Wel oghte a man avised for to be°,data/riverside_cats/CkPro_riv.cat,data/oxford_txts/CkPro_oxford.txt,data/csvs/CkPro,The Cook's Prologue 4333,,10,10,Wel oghte a man avysed for to be,Wel oghte a man avised for to be,u Sx u S uSu S u S,u Sx u S uSu S u S,wel@adv ouen@v%pt_3 a@indef_art man@n avisen@v%ppl for@prep#adv to@part ben@v%inf,wel@adv ouen@v%pt_3 a@indef_art man@n avisen@v%ppl for@prep#adv to@part ben@v%inf,
Whom that he broghte into his pryvetee.,Whom that he broghte into his privetee.°,data/riverside_cats/CkPro_riv.cat,data/oxford_txts/CkPro_oxford.txt,data/csvs/CkPro,The Cook's Prologue 4334,,10,10,Whom that he broghte into his pryvetee,Whom that he broghte into his privetee,u S u Sx uS u SuS,u S u Sx uS u SuS,whom@pron%obj that@pron he@pron1%nom bringen@v%pt_3 in-to@prep his@pron1%gen privete@n,whom@pron%obj that@pron he@pron1%nom bringen@v%pt_3 in-to@prep his@pron1%gen privete@n,
"I pray to God, so yeve me sorwe and care","I pray to God, so yeve° me sorwe and care",data/riverside_cats/CkPro_riv.cat,data/oxford_txts/CkPro_oxford.txt,data/csvs/CkPro,The Cook's Prologue 4335,,10,10,I pray to God so yeve me sorwe and care,I pray to God so yeve me sorwe and care,u S u S u Sx u Sx u Sx,u S u S u Sx u Sx u Sx,ich@pron%nom preien@v1%pr_1 to@prep god@n1#propn so@adv yeven@v%imp me@pron2%obj sorwe@n and@conj care@n1,ich@pron%nom preien@v1%pr_1 to@prep god@n1#propn so@adv yeven@v%imp me@pron2%obj sorwe@n and@conj care@n1,
"If evere, sitthe I highte Hogge of Ware","If ever, sith° I highte° Hogge of Ware",data/riverside_cats/CkPro_riv.cat,data/oxford_txts/CkPro_oxford.txt,data/csvs/CkPro,The Cook's Prologue 4336,,10,10,If evere sitthe I highte Hogge of Ware,If ever sith I highte Hogge of Ware,u Sux Sx u Su Sx u Sx,u Su S u Su Sx u Sx,if@conj ever@adv sitthe@conj ich@pron%nom hoten@v1%pt_1 hogge@n3#propn of@prep ware@n1#propn,if@conj ever@adv sitthe@conj ich@pron%nom hoten@v1%pt_1 hogge@n3#propn of@prep ware@n1#propn,
Herde I a millere bettre yset a-werk.,Herde I a miller bettre yset° awerk.,data/riverside_cats/CkPro_riv.cat,data/oxford_txts/CkPro_oxford.txt,data/csvs/CkPro,The Cook's Prologue 4337,,10,10,Herde I a millere bettre yset awerk,Herde I a miller bettre yset awerk,ux S u Sux Sx uS uS,ux S u Su Sx uS uS,heren@v%pt_1 ich@pron%nom a@indef_art milnere@n bettre@adv%comp isetten@v%ppl_abs awerke@adv,heren@v%pt_1 ich@pron%nom a@indef_art milnere@n bettre@adv%comp isetten@v%ppl_abs awerke@adv,
