OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"In feith, Squier, thow hast thee wel yquit","¶“In feith, Squier, thou hast thee wel yquit,°",data/riverside_cats/FranPro_riv.cat,data/oxford_txts/FranPro_oxford.txt,data/csvs/FranPro,Prologue to the Franklin's Tale 673,,10,10,In feith Squier thow hast thee wel yquit,In feith Squier thou hast thee wel yquit,u S uS u S u S uS,u S uS u S u S uS,in@prep feith@n squier@n thou@pron%nom haven@v%pr_2 the@pron2%obj wel@adv quiten@v%ppl,in@prep feith@n squier@n thou@pron%nom haven@v%pr_2 the@pron2%obj wel@adv quiten@v%ppl,
And gentilly. I preise wel thy wit,"And gentilly° I preise wel thy wit,”°",data/riverside_cats/FranPro_riv.cat,data/oxford_txts/FranPro_oxford.txt,data/csvs/FranPro,Prologue to the Franklin's Tale 674,,10,10,And gentilly I preise wel thy wit,And gentilly I preise wel thy wit,u SuS u Su S u S,u SuS u Su S u S,and@conj gentilli@adv ich@pron%nom preisen@v%pr_1 wel@adv thin@pron%gen wit@n,and@conj gentilli@adv ich@pron%nom preisen@v%pr_1 wel@adv thin@pron%gen wit@n,
"Quod the Frankeleyn, """"considerynge thy yowthe","Quod the Frankelein, “Considering thy youthe",data/riverside_cats/FranPro_riv.cat,data/oxford_txts/FranPro_oxford.txt,data/csvs/FranPro,Prologue to the Franklin's Tale 675,,10,10,Quod the Frankeleyn considerynge thy yowthe,Quod the Frankelein Considering thy youthe,u S uSu SuxSx u Sx,u S uSu SuxS u Sx,quethen@v%pt_3 the@def_art frankelein@n consideren@v%prp_abs thin@pron%gen youth@n,quethen@v%pt_3 the@def_art frankelein@n consideren@v%prp_abs thin@pron%gen youth@n,
"So feelyngly thou spekest, sire, I allow the!","So feelingly° thou spekest, sir, I allow’the°",data/riverside_cats/FranPro_riv.cat,data/oxford_txts/FranPro_oxford.txt,data/csvs/FranPro,Prologue to the Franklin's Tale 676,DIFF,10,10,So feelyngly thou spekest sire I allow the,So feelingly thou spekest sir I allow the,u SuS u Sx ux x Su S,"u SuS u Su S x uSx ",so@adv felingli@adv thou@pron%nom speken@v%pr_2 sire@n ich@pron%nom allouen@v%pr_1 the@pron2%obj,so@adv felingli@adv thou@pron%nom speken@v%pr_2 sire@n ich@pron%nom allouen@v%pr_1 the@pron2%obj,green
"As to my doom, ther is noon that is heere","As to my doom,° there is non that is here",data/riverside_cats/FranPro_riv.cat,data/oxford_txts/FranPro_oxford.txt,data/csvs/FranPro,Prologue to the Franklin's Tale 677,,10,10,As to my doom ther is noon that is heere,As to my doom there is non that is here,u S u S u S u S u Sx,u S u S ux S u S u Sx,as@conj to@prep min@pron%gen dom@n ther@adv ben@v%pr_3 non@pron that@pron ben@v%pr_3 her@adv,as@conj to@prep min@pron%gen dom@n ther@adv ben@v%pr_3 non@pron that@pron ben@v%pr_3 her@adv,
Of eloquence that shal be thy peere,Of° eloquence that shal be thy pere,data/riverside_cats/FranPro_riv.cat,data/oxford_txts/FranPro_oxford.txt,data/csvs/FranPro,Prologue to the Franklin's Tale 678,,10,10,Of eloquence that shal be thy peere,Of eloquence that shal be thy pere,u SuSu S u S u Sx,u SuSu S u S u Sx,of@prep eloquence@n that@pron shulen@v1%pr_3 ben@v%inf thin@pron%gen per@n,of@prep eloquence@n that@pron shulen@v1%pr_3 ben@v%inf thin@pron%gen per@n,
If that thou lyve; God yeve thee good chaunce,"If that thou live; God yeve° thee good chaunce,°",data/riverside_cats/FranPro_riv.cat,data/oxford_txts/FranPro_oxford.txt,data/csvs/FranPro,Prologue to the Franklin's Tale 679,,10,10,If that thou lyve God yeve thee good chaunce,If that thou live God yeve thee good chaunce,u S u Sx u Su S u Sx,u S u Sx u Su S u Sx,if@conj that@part thou@pron%nom liven@v1%pr_2 god@n1#propn yeven@v%pr_3 the@pron2%obj god@adj chaunce@n,if@conj that@part thou@pron%nom liven@v1%pr_2 god@n1#propn yeven@v%pr_3 the@pron2%obj god@adj chaunce@n,
And in vertu sende thee continuaunce,And in vertu send thee continuaunce!°,data/riverside_cats/FranPro_riv.cat,data/oxford_txts/FranPro_oxford.txt,data/csvs/FranPro,Prologue to the Franklin's Tale 680,,9,9,And in vertu sende thee continuaunce,And in vertu send thee continuaunce,S u Su Sx u SuSx,S u Su S u SuSx,and@conj in@prep vertu@n senden@v2%pr_3 the@pron2%obj continuaunce@n,and@conj in@prep vertu@n senden@v2%pr_3 the@pron2%obj continuaunce@n,
For of thy speche I have greet deyntee.,For of° thy speche I have greet deintee.°,data/riverside_cats/FranPro_riv.cat,data/oxford_txts/FranPro_oxford.txt,data/csvs/FranPro,Prologue to the Franklin's Tale 681,,10,10,For of thy speche I have greet deyntee,For of thy speche I have greet deintee,u S u Sx u Su S uS,u S u Sx u Su S uS,for@conj of@prep thin@pron%gen speche@n ich@pron%nom haven@v%pr_1 gret@adj deinte@n,for@conj of@prep thin@pron%gen speche@n ich@pron%nom haven@v%pr_1 gret@adj deinte@n,
"I have a sone, and by the Trinitee","I have a sone, and, by the Trinitee",data/riverside_cats/FranPro_riv.cat,data/oxford_txts/FranPro_oxford.txt,data/csvs/FranPro,Prologue to the Franklin's Tale 682,,10,10,I have a sone and by the Trinitee,I have a sone and by the Trinitee,u Sx u Sx u S u SuS,u Sx u Sx u S u SuS,ich@pron%nom haven@v%pr_1 a@indef_art sone@n and@conj bi@prep the@def_art trinite@n,ich@pron%nom haven@v%pr_1 a@indef_art sone@n and@conj bi@prep the@def_art trinite@n,
