RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,1,,10,10,Whan that Aprill with his shoures soote,Whan that Aprille with his shoures sote,u S uS u S uS uS,u S uSu S u Su S,whan@adv&conj that@part april@n with@prep his@pron1%gen shour@n%pl sote@adj,whan@adv&conj that@part april@n with@prep his@pron1%gen shour@n%pl sote@adj,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,2,,10,10,The droghte of March hath perced to the roote,The droghte of March hath perced to the roote,u S u S u Su S u S,u S u S u Su S u S,the@def_art droughte@n of@prep marche@n1 haven@v%pr_3 percen@v%ppl to@prep the@def_art rote@n4,the@def_art droughte@n of@prep marche@n1 haven@v%pr_3 percen@v%ppl to@prep the@def_art rote@n4,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,3,,10,10,And bathed every veyne in swich licour,And bathed every veine in swich licour,u Su Su S u S uS,u Su Su S u S uS,and@conj bathen@v%ppl everi@pron_gram_adj veine@n in@prep swich@gram_adj licour@n,and@conj bathen@v%ppl everi@pron_gram_adj veine@n in@prep swich@gram_adj licour@n,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,4,,10,10,Of which vertu engendred is the flour,Of which vertu engendred is the flour,u S uS uSu S u S,u S uS uSu S u S,of@prep which@gram_adj vertu@n engendren@v%ppl ben@v%pr_3 the@def_art flour@n1,of@prep which@gram_adj vertu@n engendren@v%ppl ben@v%pr_3 the@def_art flour@n1,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,5,,10,10,Whan Zephirus eek with his sweete breeth,Whan Zephirus eek with his swete breeth,u SuS u S u Su S,u SuS u S u Su S,whan@adv&conj zeferus@n ek@adv with@prep his@pron1%gen swete@adj breth@n1,whan@adv&conj zeferus@n ek@adv with@prep his@pron1%gen swete@adj breth@n1,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,6,,10,10,Inspired hath in every holt and heeth,Inspired hath in every holt and heeth,uSu S u Su S u S,uSu S u Su S u S,enspiren@v2%ppl haven@v%pr_3 in@prep everi@pron_gram_adj holt@n and@conj heth@n,enspiren@v2%ppl haven@v%pr_3 in@prep everi@pron_gram_adj holt@n and@conj heth@n,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,7,,10,10,The tendre croppes and the yonge sonne,The tendre croppes and the yonge sonne,u Su Su S u Su S,u Su Su S u Su S,the@def_art tender@adj crop@n%pl and@conj the@def_art yong@adj sonne@n,the@def_art tender@adj crop@n%pl and@conj the@def_art yong@adj sonne@n,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,8,,10,10,Hath in the Ram his half cours yronne,Hath in the Ram his halfe cours yronne,u S u S u S u SuS,u S u S u Su S uS,haven@v%pr_3 in@prep the@def_art ram@n his@pron1%gen half@adj cours@n irennen@v%ppl,haven@v%pr_3 in@prep the@def_art ram@n his@pron1%gen half@adj cours@n irennen@v%ppl,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,9,,10,10,And smale foweles maken melodye,And smale fowles maken melodie,u S uSu Su SuS,u Su Su Su SuS,and@conj smal@adj foul@n%pl maken@v1%pr_pl melodie@n,and@conj smal@adj foul@n%pl maken@v1%pr_pl melodie@n,
riverside_cats/01-1-ch.cat,oxford_txts/GP.txt,output/GP,10,,10,10,That slepen al the nyght with open ye,That slepen al the night with open y,u Su S u S u Su S,u Su S u S u Su S,that@pron slepen@v%pr_pl al@gram_adj the@def_art night@n with@prep open@adj eie@n1,that@pron slepen@v%pr_pl al@gram_adj the@def_art night@n with@prep open@adj eie@n1,
