OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"Ey! Goddes mercy!"""" seyde oure Hooste tho",¶“Ey! Goddes mercy!” seide our Hoste tho,data/riverside_cats/MerEpi_riv.cat,data/oxford_txts/MerEpi_oxford.txt,data/csvs/MerEpi,04-5-ch 2419,,10,10,Ey Goddes mercy seyde oure Hooste tho,Ey Goddes mercy seide our Hoste tho,u Su Su Sx ux Su S,u Su Su Sx u Su S,ei@interj god@n1#propn%gen merci@n1 seien@v1%pt_3 oure@pron%pl_gen hoste@n2 tho@adv,ei@interj god@n1#propn%gen merci@n1 seien@v1%pt_3 oure@pron%pl_gen hoste@n2 tho@adv,
Now swich a wyf I pray God kepe me fro!,“Now swich a wif I pray God keep° me fro!,data/riverside_cats/MerEpi_riv.cat,data/oxford_txts/MerEpi_oxford.txt,data/csvs/MerEpi,04-5-ch 2420,,10,10,Now swich a wyf I pray God kepe me fro,Now swich a wif I pray God keep me fro,u S u S u S u Sx u S,u S u S u S u S u S,nou@adv swich@gram_adj a@indef_art wif@n ich@pron%nom preien@v1%pr_1 god@n1#propn kepen@v%inf me@pron2%obj from@prep,nou@adv swich@gram_adj a@indef_art wif@n ich@pron%nom preien@v1%pr_1 god@n1#propn kepen@v%inf me@pron2%obj from@prep,
"Lo, whiche sleightes and subtilitees","Lo, whiche sleightes° and subtilitees°",data/riverside_cats/MerEpi_riv.cat,data/oxford_txts/MerEpi_oxford.txt,data/csvs/MerEpi,04-5-ch 2421,,10,10,Lo whiche sleightes and subtilitees,Lo whiche sleightes and subtilitees,u Su Su S uSuS,u Su Su S uSuS,lo@interj which@gram_adj sleight@n%pl and@conj sotilte@n%pl,lo@interj which@gram_adj sleight@n%pl and@conj sotilte@n%pl,
In wommen been! For ay as bisy as bees,In wommen been! for ay as bisy as bees,data/riverside_cats/MerEpi_riv.cat,data/oxford_txts/MerEpi_oxford.txt,data/csvs/MerEpi,04-5-ch 2422,,10,10,In wommen been For ay as bisy as bees,In wommen been for ay as bisy as bees,u Su S u S u Sx u S,u Su S u S u Sx u S,in@prep womman@n%pl ben@v%pr_pl for@conj ai@adv as@conj bisi@adj as@conj be@n%pl,in@prep womman@n%pl ben@v%pr_pl for@conj ai@adv as@conj bisi@adj as@conj be@n%pl,
"Been they, us sely men for to deceyve","Ben they, us sely° men for to deceive",data/riverside_cats/MerEpi_riv.cat,data/oxford_txts/MerEpi_oxford.txt,data/csvs/MerEpi,04-5-ch 2423,,10,10,Been they us sely men for to deceyve,Ben they us sely men for to deceive,u S u Su S u S uSx,u S u Su S u S uSx,ben@v%pr_pl thei@pron%pl_nom us@pron%pl_obj seli@adj man@n%pl for@prep#adv to@part deceiven@v%inf,ben@v%pr_pl thei@pron%pl_nom us@pron%pl_obj seli@adj man@n%pl for@prep#adv to@part deceiven@v%inf,
And from the soothe evere wol they weyve;,And from a sothe° ever wol they weive;°,data/riverside_cats/MerEpi_riv.cat,data/oxford_txts/MerEpi_oxford.txt,data/csvs/MerEpi,04-5-ch 2424,DIFF,10,10,And from the soothe evere wol they weyve,And from a sothe ever wol they weive,u S u Sx uSu S u Sx,u S u Su Su S u Sx,and@conj from@prep the@def_art soth@n ever@adv willen@v%pr_pl thei@pron%pl_nom weiven@v1&2%inf,and@conj from@prep a@indef_art soth@n ever@adv willen@v%pr_pl the@def_art weiven@v1&2%inf,green
By this Marchauntes tale it preveth weel.,By this marchauntes tale it preveth weel.°,data/riverside_cats/MerEpi_riv.cat,data/oxford_txts/MerEpi_oxford.txt,data/csvs/MerEpi,04-5-ch 2425,,10,10,By this Marchauntes tale it preveth weel,By this marchauntes tale it preveth weel,u S uSu Sx u Su S,u S uSu Sx u Su S,bi@prep this@gram_adj marchaunt@n%gen tale@n hit@pron preven@v%pr_3 wel@adv,bi@prep this@gram_adj marchaunt@n%gen tale@n hit@pron preven@v%pr_3 wel@adv,
"But doutelees, as trewe as any steel","But doutelees, as trewe as any steel",data/riverside_cats/MerEpi_riv.cat,data/oxford_txts/MerEpi_oxford.txt,data/csvs/MerEpi,04-5-ch 2426,,10,10,But doutelees as trewe as any steel,But doutelees as trewe as any steel,u SuS u Sx u Su S,u SuS u Sx u Su S,but@conj douteles@adv as@conj treu@adj as@conj ani@gram_adj stele@n3,but@conj douteles@adv as@conj treu@adj as@conj ani@gram_adj stele@n3,
"I have a wyf, though that she povre be","I have a wif, though that she povre be;",data/riverside_cats/MerEpi_riv.cat,data/oxford_txts/MerEpi_oxford.txt,data/csvs/MerEpi,04-5-ch 2427,,10,10,I have a wyf though that she povre be,I have a wif though that she povre be,u Sx u S u S u Su S,u Sx u S u S u Su S,ich@pron%nom haven@v%pr_1 a@indef_art wif@n though@conj that@part she@pron%nom povre@adj ben@v%pr_3,ich@pron%nom haven@v%pr_1 a@indef_art wif@n though@conj that@part she@pron%nom povre@adj ben@v%pr_3,
"But of hir tonge, a labbyng shrewe is she",But of hir tonge a labbing° shrewe° is she,data/riverside_cats/MerEpi_riv.cat,data/oxford_txts/MerEpi_oxford.txt,data/csvs/MerEpi,04-5-ch 2428,,10,10,But of hir tonge a labbyng shrewe is she,But of hir tonge a labbing shrewe is she,u S u Sx u Su Sx u S,u S u Sx u Su Sx u S,but@conj of@prep hire@pron1%fem_gen tonge@n2 a@indef_art labben@v#adj%prp shreue@n ben@v%pr_3 she@pron%nom,but@conj of@prep hire@pron1%fem_gen tonge@n2 a@indef_art labben@v#adj%prp shreue@n ben@v%pr_3 she@pron%nom,
And yet she hath an heep of vices mo;,And yet she hath an heep° of vices mo;,data/riverside_cats/MerEpi_riv.cat,data/oxford_txts/MerEpi_oxford.txt,data/csvs/MerEpi,04-5-ch 2429,,10,10,And yet she hath an heep of vices mo,And yet she hath an heep of vices mo,u S u S u S u Su S,u S u S u S u Su S,and@conj yet@adv she@pron%nom haven@v%pr_3 a@indef_art hep@n of@prep vice@n%pl mo@adj%comp,and@conj yet@adv she@pron%nom haven@v%pr_3 a@indef_art hep@n of@prep vice@n%pl mo@adj%comp,
Therof no fors! Lat alle swiche thynges go.,"Therof no fors,° lat al swiche thinges go.",data/riverside_cats/MerEpi_riv.cat,data/oxford_txts/MerEpi_oxford.txt,data/csvs/MerEpi,04-5-ch 2430,,10,10,Therof no fors Lat alle swiche thynges go,Therof no fors lat al swiche thinges go,uS u S u Sx ux Su S,uS u S u S ux Su S,ther-of@adv no@gram_adj force@n leten@v%imp al@gram_adj swich@gram_adj thing@n%pl gon@v%inf,ther-of@adv no@gram_adj force@n leten@v%imp al@gram_adj swich@gram_adj thing@n%pl gon@v%inf,
But wyte ye what? In conseil be it seyd,"But, wite ye° what? in conseil° be it seid",data/riverside_cats/MerEpi_riv.cat,data/oxford_txts/MerEpi_oxford.txt,data/csvs/MerEpi,04-5-ch 2431,,10,10,But wyte ye what In conseil be it seyd,But wite ye what in conseil be it seid,u Sx u S u Su S u S,u Sx u S u Su S u S,but@conj witen@v1%pr_pl ye@pron%pl_nom what@pron in@prep counseil@n ben@v%pr_3 hit@pron seien@v1%ppl,but@conj witen@v1%pr_pl ye@pron%pl_nom what@pron in@prep counseil@n ben@v%pr_3 hit@pron seien@v1%ppl,
Me reweth soore I am unto hire teyd.,Me reweth° sore I am unto hir teid.,data/riverside_cats/MerEpi_riv.cat,data/oxford_txts/MerEpi_oxford.txt,data/csvs/MerEpi,04-5-ch 2432,,10,10,Me reweth soore I am unto hire teyd,Me reweth sore I am unto hir teid,x uS ux S u Su Su S,u Su Sx u S uS u S,me@pron2%obj reuen@v1%pr_3 sore@adv ich@pron%nom ben@v%pr_1 unto@prep hire@pron2%fem_obj teien@v%ppl,me@pron2%obj reuen@v1%pr_3 sore@adv ich@pron%nom ben@v%pr_1 unto@prep hire@pron2%fem_obj teien@v%ppl,
For and I sholde rekenen every vice,"For, and° I sholde rekenen every vice",data/riverside_cats/MerEpi_riv.cat,data/oxford_txts/MerEpi_oxford.txt,data/csvs/MerEpi,04-5-ch 2433,,10,10,For and I sholde rekenen every vice,For and I sholde rekenen every vice,u S u Sx uSu Sxu Sx,u S u Sx uSu Sxu Sx,for@conj and@conj ich@pron%nom shulen@v1%pt_1 rekenen@v%inf everi@pron_gram_adj vice@n,for@conj and@conj ich@pron%nom shulen@v1%pt_1 rekenen@v%inf everi@pron_gram_adj vice@n,
"Which that she hath, ywis I were to nyce.","Which that she hath, ywis, I were to nice,°",data/riverside_cats/MerEpi_riv.cat,data/oxford_txts/MerEpi_oxford.txt,data/csvs/MerEpi,04-5-ch 2434,,10,10,Which that she hath ywis I were to nyce,Which that she hath ywis I were to nice,u S u S uS u Sx u Sx,u S u S uS u Sx u Sx,which@pron that@pron she@pron%nom haven@v%pr_3 iwis@adv ich@pron%nom ben@v%pt_1 to@adv2 nice@adj,which@pron that@pron she@pron%nom haven@v%pr_3 iwis@adv ich@pron%nom ben@v%pt_1 to@adv2 nice@adj,
