OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"At Sarray, in the land of Tartarye","¶At Sarray, in the land of Tartarie",data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 9,,0,10,At Sarray in the land of Tartarye,At Sarray in the land of Tartarie,"      ",u Su S u S u SuS,at@prep sarray@n#propn in@prep the@def_art lond@n of@prep tartarie@n#propn,at@prep sarray@n#propn in@prep the@def_art lond@n of@prep tartarie@n#propn,green
Ther dwelte a kyng that werreyed Russye,"Ther dwelte a king, that werreyed° Russie",data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 10,,0,10,Ther dwelte a kyng that werreyed Russye,Ther dwelte a king that werreyed Russie,"      ",u Sx u S u SuS uS,ther@adv dwellen@v%pt_3 a@indef_art king@n that@pron werreien@v%pt_3 ruce@n#propn,ther@adv dwellen@v%pt_3 a@indef_art king@n that@pron werreien@v%pt_3 ruce@n#propn,
Thurgh which ther dyde many a doughty man.,Thurgh which ther deide many a doughty man.,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 11,,10,10,Thurgh which ther dyde many a doughty man,Thurgh which ther deide many a doughty man,u S u Sx uS u Su S,u S u Sx uS u Su S,thurgh@prep which@pron ther@adv dien@v%pt_3 mani@gram_adj a@indef_art doughti@adj man@n,thurgh@prep which@pron ther@adv dien@v%pt_3 mani@gram_adj a@indef_art doughti@adj man@n,
This noble kyng was cleped Cambyuskan,This noble king was cleped Cambinskan,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 12,DIFF,10,10,This noble kyng was cleped Cambyuskan,This noble king was cleped Cambinskan,u Su S u Su SuS,u Su S u Su SuS,this@gram_adj noble@adj king@n ben@v%pt_3 clepen@v%ppl cambiuskan@n#propn,this@gram_adj noble@adj king@n ben@v%pt_3 clepen@v%ppl cambiuskan@n#propn,green
Which in his tyme was of so greet renoun,Which in his time was of so greet renoun,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 13,,10,10,Which in his tyme was of so greet renoun,Which in his time was of so greet renoun,u S u Sx u S u S uS,u S u Sx u S u S uS,which@pron in@prep his@pron1%gen time@n ben@v%pt_3 of@prep so@adv gret@adj renoun@n,which@pron in@prep his@pron1%gen time@n ben@v%pt_3 of@prep so@adv gret@adj renoun@n,
That ther was nowher in no regioun,That ther nas nowher° in no regioun,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 14,DIFF,10,10,That ther was nowher in no regioun,That ther nas nowher in no regioun,u S u Su S u SuS,u S u Su S u SuS,that@conj ther@adv ben@v%pt_3 no-wher@adv in@prep no@gram_adj regioune@n,that@conj ther@adv ben@v%pt_3_neg no-wher@adv in@prep no@gram_adj regioune@n,green
So excellent a lord in alle thyng:,So excellent a lord in alle thing;,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 15,,10,10,So excellent a lord in alle thyng,So excellent a lord in alle thing,u SuS u S u Su S,u SuS u S u Su S,so@adv excellent@adj a@indef_art lord@n in@prep al@gram_adj thing@n,so@adv excellent@adj a@indef_art lord@n in@prep al@gram_adj thing@n,
Hym lakked noght that longeth to a kyng.,Him lakked noght that longeth° to a king.,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 16,,10,10,Hym lakked noght that longeth to a kyng,Him lakked noght that longeth to a king,u Su S u Su S u S,u Su S u Su S u S,him@pron%obj lakken@v%pt_3 nought@pron that@pron longen@v3%pr_3 to@prep a@indef_art king@n,him@pron%obj lakken@v%pt_3 nought@pron that@pron longen@v3%pr_3 to@prep a@indef_art king@n,
As of the secte of which that he was born,As of° the secte° of which that he was born,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 17,,10,10,As of the secte of which that he was born,As of the secte of which that he was born,u S u Sx u S u S u S,u S u Sx u S u S u S,as@conj of@prep the@def_art secte@n of@prep which@pron that@pron he@pron1%nom ben@v%pt_3 beren@v1%ppl,as@conj of@prep the@def_art secte@n of@prep which@pron that@pron he@pron1%nom ben@v%pt_3 beren@v1%ppl,
"He kepte his lay, to which that he was sworn;","He kepte his lay,° to which that he was sworn;",data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 18,,10,10,He kepte his lay to which that he was sworn,He kepte his lay to which that he was sworn,u Sx u S u S u S u S,u Sx u S u S u S u S,he@pron1%nom kepen@v%pt_3 his@pron1%gen lei@n to@prep which@pron that@pron he@pron1%nom ben@v%pt_3 sweren@v%ppl,he@pron1%nom kepen@v%pt_3 his@pron1%gen lei@n to@prep which@pron that@pron he@pron1%nom ben@v%pt_3 sweren@v%ppl,
"And therto he was hardy, wys, and riche","And therto° he was hardy,° wis, and riche",data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 19,,10,10,And therto he was hardy wys and riche,And therto he was hardy wis and riche,u Su S u Su S u Sx,u Su S u Su S u Sx,and@conj ther-to@adv he@pron1%nom ben@v%pt_3 hardi@adj wise@adj and@conj riche@adj,and@conj ther-to@adv he@pron1%nom ben@v%pt_3 hardi@adj wise@adj and@conj riche@adj,
"And pitous and just, alwey yliche;","Pitous° and just, and evermore iliche°",data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 20,DIFF,9,10,And pitous and just alwey yliche,Pitous and just and evermore iliche,S uS u S uS uSx,uS u S u SuSx uSx,and@conj pitous@adj and@conj juste@adj al-wei@adv iliche@adv,pitous@adj and@conj juste@adj and@conj ever-mor@adv iliche@adv,green
"Sooth of his word, benigne, and honurable;","Sooth° of his word, benigne and honurable",data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 21,,10,10,Sooth of his word benigne and honurable,Sooth of his word benigne and honurable,u S u S uSx u SuSx,u S u S uSx u SuSx,soth@adj of@prep his@pron1%gen word@n benigne@adj and@conj honourable@adj,soth@adj of@prep his@pron1%gen word@n benigne@adj and@conj honourable@adj,
Of his corage as any centre stable;,Of his corage° as any centre stable;°,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 22,,10,10,Of his corage as any centre stable,Of his corage as any centre stable,u S uSx u Su Su Sx,u S uSx u Su Su Sx,of@prep his@pron1%gen corage@n as@conj ani@gram_adj centre@n stable@adj,of@prep his@pron1%gen corage@n as@conj ani@gram_adj centre@n stable@adj,
"Yong, fressh, and strong, in armes desirous","Yong, fresh, and strong, in armes desirous°",data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 23,,10,10,Yong fressh and strong in armes desirous,Yong fresh and strong in armes desirous,u S u S u Su SuS,u S u S u Su SuS,yong@adj fresh@adj and@conj strong@adj in@prep armes@n%pl desirous@adj,yong@adj fresh@adj and@conj strong@adj in@prep armes@n%pl desirous@adj,
As any bacheler of al his hous.,As any bacheler° of al his hous.,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 24,,10,10,As any bacheler of al his hous,As any bacheler of al his hous,u Su SuS u S u S,u Su SuS u S u S,as@conj ani@gram_adj bacheler@n of@prep al@gram_adj his@pron1%gen hous@n,as@conj ani@gram_adj bacheler@n of@prep al@gram_adj his@pron1%gen hous@n,
A fair persone he was and fortunat,A fair persone he was and fortunat,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 25,,10,10,A fair persone he was and fortunat,A fair persone he was and fortunat,u S uSx u S u SuS,u S uSx u S u SuS,a@indef_art fair@adj persoune@n1 he@pron1%nom ben@v%pt_3 and@conj fortunat@adj,a@indef_art fair@adj persoune@n1 he@pron1%nom ben@v%pt_3 and@conj fortunat@adj,
And kept alwey so wel roial estat,"And kepte alwey so wel royal estat,°",data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 26,,9,10,And kept alwey so wel roial estat,And kepte alwey so wel royal estat,S u Su S u S uS,u Sx uS u S uS uS,and@conj kepen@v%pt_3 al-wei@adv so@adv wel@adv roial@adj estat@n,and@conj kepen@v%pt_3 al-wei@adv so@adv wel@adv roial@adj estat@n,
That ther was nowher swich another man.,That ther was nowher swich another man.,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 27,,10,10,That ther was nowher swich another man,That ther was nowher swich another man,u S u Su S uSu S,u S u Su S uSu S,that@conj ther@adv ben@v%pt_3 no-wher@adv swich@gram_adj another@gram_adj man@n,that@conj ther@adv ben@v%pt_3 no-wher@adv swich@gram_adj another@gram_adj man@n,
"This noble kyng, this Tartre Cambyuskan","¶This noble king, this Tartre Cambinskan",data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 28,DIFF,10,10,This noble kyng this Tartre Cambyuskan,This noble king this Tartre Cambinskan,u Su S u Su SuS,u Su S u Su SuS,this@gram_adj noble@adj king@n this@gram_adj tartar@n2#adj cambiuskan@n#propn,this@gram_adj noble@adj king@n this@gram_adj tartar@n2#adj cambiuskan@n#propn,green
Hadde two sones on Elpheta his wyf,Hadde two sones on° Elpheta his wif,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 29,,10,10,Hadde two sones on Elpheta his wyf,Hadde two sones on Elpheta his wif,ux S uS u SuS u S,ux S uS u SuS u S,haven@v%pt_3 two@num_adj sone@n%pl on@prep elpheta@n#propn his@pron1%gen wif@n,haven@v%pt_3 two@num_adj sone@n%pl on@prep elpheta@n#propn his@pron1%gen wif@n,
Of whiche the eldeste highte Algarsyf;,Of which the eldeste highte Algarsif,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 30,,10,10,Of whiche the eldeste highte Algarsyf,Of which the eldeste highte Algarsif,u Sx u Sux Su SuS,u S u Sux Su SuS,of@prep which@pron the@def_art olde@n%sup hoten@v1%pt_3 algarsif@n#propn,of@prep which@pron the@def_art olde@n%sup hoten@v1%pt_3 algarsif@n#propn,
That oother sone was cleped Cambalo.,That other son was cleped° Cambalo.,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 31,,10,10,That oother sone was cleped Cambalo,That other son was cleped Cambalo,u Su Sx u Su SuS,u Su S u Su SuS,that@art&gram_adj other@gram_adj sone@n ben@v%pt_3 clepen@v%ppl cambalus@n#propn,that@art&gram_adj other@gram_adj sone@n ben@v%pt_3 clepen@v%ppl cambalus@n#propn,
A doghter hadde this worthy kyng also,A doghter had this worthy king also,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 32,,10,10,A doghter hadde this worthy kyng also,A doghter had this worthy king also,u Su Sx u Su S uS,u Su S u Su S uS,a@indef_art doughter@n haven@v%pt_3 this@gram_adj worthi@adj king@n also@adv,a@indef_art doughter@n haven@v%pt_3 this@gram_adj worthi@adj king@n also@adv,
"That yongest was, and highte Canacee.","That yongest was, and highte° Canacee.",data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 33,,10,10,That yongest was and highte Canacee,That yongest was and highte Canacee,u Su S u Su SuS,u Su S u Su SuS,that@pron yong@adj%sup ben@v%pt_3 and@conj hoten@v1%pt_3 canacee@n1#propn,that@pron yong@adj%sup ben@v%pt_3 and@conj hoten@v1%pt_3 canacee@n1#propn,
But for to telle yow al hir beautee,But for to tel yow al hir beautee,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 34,,10,9,But for to telle yow al hir beautee,But for to tel yow al hir beautee,u S u Su S u S uS,S u S u S u S uS,but@conj for@prep#adv to@part tellen@v%inf you@pron%pl_obj al@gram_adj hire@pron1%fem_gen beaute@n,but@conj for@prep#adv to@part tellen@v%inf you@pron%pl_obj al@gram_adj hire@pron1%fem_gen beaute@n,
"It lyth nat in my tonge, n' yn my konnyng;","It lith° nat in my tonge, n’in° my conning;°",data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 35,,10,10,It lyth nat in my tonge n yn my konnyng,It lith nat in my tonge n in my conning,u S u S u Sx  u S uS,u S u S u Sx  u S uS,hit@pron lien@v1%pr_3 not@adv in@prep min@pron%gen tonge@n2 ne@conj1 in@prep min@pron%gen conninge@ger,hit@pron lien@v1%pr_3 not@adv in@prep min@pron%gen tonge@n2 ne@conj1 in@prep min@pron%gen conninge@ger,
I dar nat undertake so heigh a thyng.,I dar nat undertak so heigh a thing.,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 36,,10,10,I dar nat undertake so heigh a thyng,I dar nat undertak so heigh a thing,u S u SuSx u S u S,u S u SuS u S u S,ich@pron%nom durren@v%pr_1 not@adv undertaken@v%inf so@adv heigh@adj a@indef_art thing@n,ich@pron%nom durren@v%pr_1 not@adv undertaken@v%inf so@adv heigh@adj a@indef_art thing@n,
Myn Englissh eek is insufficient.,Min English eek is insufficient;,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 37,,10,10,Myn Englissh eek is insufficient,Min English eek is insufficient,u Su S u SuSuS,u Su S u SuSuS,min@pron%gen english@n ek@adv ben@v%pr_3 insufficient@adj,min@pron%gen english@n ek@adv ben@v%pr_3 insufficient@adj,
It moste been a rethor excellent,It moste been° a rethor° excellent,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 38,,10,10,It moste been a rethor excellent,It moste been a rethor excellent,u Su S u Su SuS,u Su S u Su SuS,hit@pron moten@v2%pt_3 ben@v%inf a@indef_art rethor@n excellent@adj,hit@pron moten@v2%pt_3 ben@v%inf a@indef_art rethor@n excellent@adj,
That koude his colours longynge for that art,That coude° his colours° longing for° that art,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 39,,10,10,That koude his colours longynge for that art,That coude his colours longing for that art,u Sx u Su Sux S u S,u Sx u Su Su S u S,that@pron connen@v%pt_3 his@pron1%gen colour@n%pl longen@v3%prp_abs for@prep that@art&gram_adj art@n1,that@pron connen@v%pt_3 his@pron1%gen colour@n%pl longen@v3%prp_abs for@prep that@art&gram_adj art@n1,
If he sholde hire discryven every part.,If he sholde hir discriven° every part.°,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 40,,10,10,If he sholde hire discryven every part,If he sholde hir discriven every part,u S ux Sx uSu Sxu S,u S ux S uSu Sxu S,if@conj he@pron1%nom shulen@v1%pt_3 hire@pron2%fem_obj descriven@v%inf everi@pron_gram_adj part@n,if@conj he@pron1%nom shulen@v1%pt_3 hire@pron2%fem_obj descriven@v%inf everi@pron_gram_adj part@n,
"I am noon swich, I moot speke as I kan.","I am non swich,° I moot° speke as I can.",data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 41,,10,10,I am noon swich I moot speke as I kan,I am non swich I moot speke as I can,u S u S u S ux S u S,u S u S u S ux S u S,ich@pron%nom ben@v%pr_1 non@gram_adj swich@pron ich@pron%nom moten@v2%pr_1 speken@v%inf as@conj ich@pron%nom connen@v%pr_1,ich@pron%nom ben@v%pr_1 non@gram_adj swich@pron ich@pron%nom moten@v2%pr_1 speken@v%inf as@conj ich@pron%nom connen@v%pr_1,
And so bifel that whan this Cambyuskan,"¶And so bifel° that, whan this Cambinskan",data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 42,DIFF,10,10,And so bifel that whan this Cambyuskan,And so bifel that whan this Cambinskan,u S uS u S u SuS,u S uS u S u SuS,and@conj so@adv bifallen@v%pt_3 that@conj whan@adv&conj this@gram_adj cambiuskan@n#propn,and@conj so@adv bifallen@v%pt_3 that@conj whan@adv&conj this@gram_adj cambiuskan@n#propn,green
Hath twenty wynter born his diademe,Hath twenty winter born° his diademe,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 43,,10,10,Hath twenty wynter born his diademe,Hath twenty winter born his diademe,u Su Su S u SuSx,u Su Su S u SuSx,haven@v%pr_3 twenti@num_adj winter@n beren@v1%ppl his@pron1%gen diademe@n,haven@v%pr_3 twenti@num_adj winter@n beren@v1%ppl his@pron1%gen diademe@n,
"As he was wont fro yeer to yeer, I deme","As he was wont° fro yeer to yeer, I deme,°",data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 44,,10,10,As he was wont fro yeer to yeer I deme,As he was wont fro yeer to yeer I deme,u S u S u S u S u Sx,u S u S u S u S u Sx,as@conj he@pron1%nom ben@v%pt_3 wonen@v1%ppl from@prep yer@n to@prep yer@n ich@pron%nom demen@v%pr_1,as@conj he@pron1%nom ben@v%pt_3 wonen@v1%ppl from@prep yer@n to@prep yer@n ich@pron%nom demen@v%pr_1,
He leet the feeste of his nativitee,He leet° the feste of his nativitee°,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 45,,10,10,He leet the feeste of his nativitee,He leet the feste of his nativitee,u S u Sx u S uSuS,u S u Sx u S uSuS,he@pron1%nom leten@v%pt_3 the@def_art feste@n of@prep his@pron1%gen nativite@n,he@pron1%nom leten@v%pt_3 the@def_art feste@n of@prep his@pron1%gen nativite@n,
Doon cryen thurghout Sarray his citee,Don crien° thurghout Sarray his citee,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 46,,10,10,Doon cryen thurghout Sarray his citee,Don crien thurghout Sarray his citee,u Su Su Su S uS,u Su Su Su S uS,don@v1%inf crien@v%inf thurgh-oute@prep sarray@n#propn his@pron1%gen cite@n,don@v1%inf crien@v%inf thurgh-oute@prep sarray@n#propn his@pron1%gen cite@n,
