OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"Listeth, lordes, in good entent","Listeth,° lords, in good entent",data/riverside_cats/Thop_riv.cat,data/oxford_txts/Thop_oxford.txt,data/csvs/Thop,Sir Thopas 712,,0,0,Listeth lordes in good entent,Listeth lords in good entent,"    ","    ",listen@v2%imp lord@n%pl in@prep god@adj entente@n,listen@v2%imp lord@n%pl in@prep god@adj entente@n,
And I wol telle verrayment,And I wol telle verraiment°,data/riverside_cats/Thop_riv.cat,data/oxford_txts/Thop_oxford.txt,data/csvs/Thop,Sir Thopas 713,,0,0,And I wol telle verrayment,And I wol telle verraiment,"    ","    ",and@conj ich@pron%nom willen@v%pr_1 tellen@v%inf verreiment@adv,and@conj ich@pron%nom willen@v%pr_1 tellen@v%inf verreiment@adv,
Of myrthe and of solas,    Of mirthe and of solas;°,data/riverside_cats/Thop_riv.cat,data/oxford_txts/Thop_oxford.txt,data/csvs/Thop,Sir Thopas 714,,0,0,Of myrthe and of solas,Of mirthe and of solas,"    ","    ",of@prep mirthe@n and@conj of@prep solas@n,of@prep mirthe@n and@conj of@prep solas@n,
Al of a knyght was fair and gent,Al of a knight was° fair and gent°,data/riverside_cats/Thop_riv.cat,data/oxford_txts/Thop_oxford.txt,data/csvs/Thop,Sir Thopas 715,,0,0,Al of a knyght was fair and gent,Al of a knight was fair and gent,"       ","       ",al@adv of@prep a@indef_art knight@n ben@v%pt_3 fair@adj and@conj gent@adj,al@adv of@prep a@indef_art knight@n ben@v%pt_3 fair@adj and@conj gent@adj,
In bataille and in tourneyment;,In bataille and in tourneiment,data/riverside_cats/Thop_riv.cat,data/oxford_txts/Thop_oxford.txt,data/csvs/Thop,Sir Thopas 716,,9,9,In bataille and in tourneyment,In bataille and in tourneiment,S uSu S u SuS,S uSu S u SuS,in@prep bataille@n and@conj in@prep tournement@n,in@prep bataille@n and@conj in@prep tournement@n,
His name was sire Thopas.,    His name was Sir Thopas.,data/riverside_cats/Thop_riv.cat,data/oxford_txts/Thop_oxford.txt,data/csvs/Thop,Sir Thopas 717,,0,0,His name was sire Thopas,His name was Sir Thopas,"    ","    ",his@pron1%gen name@n ben@v%pt_3 sire@n#adj thopas@n#propn,his@pron1%gen name@n ben@v%pt_3 sire@n#adj thopas@n#propn,
Yborn he was in fer contree,Yborn he was in fer° contree,data/riverside_cats/Thop_riv.cat,data/oxford_txts/Thop_oxford.txt,data/csvs/Thop,Sir Thopas 718,,0,0,Yborn he was in fer contree,Yborn he was in fer contree,"     ","     ",iberen@v1%ppl he@pron1%nom ben@v%pt_3 in@prep fer@adj1 contree@n,iberen@v1%ppl he@pron1%nom ben@v%pt_3 in@prep fer@adj1 contree@n,
"In Flaundres, al biyonde the see","In Flaundres, al biyond the see",data/riverside_cats/Thop_riv.cat,data/oxford_txts/Thop_oxford.txt,data/csvs/Thop,Sir Thopas 719,,0,0,In Flaundres al biyonde the see,In Flaundres al biyond the see,"     ","     ",in@prep flaundres@n#propn al@adv biyonde@prep the@def_art se@n1,in@prep flaundres@n#propn al@adv biyonde@prep the@def_art se@n1,
"At Poperyng, in the place.","    At Popering, in the place;°",data/riverside_cats/Thop_riv.cat,data/oxford_txts/Thop_oxford.txt,data/csvs/Thop,Sir Thopas 720,,0,0,At Poperyng in the place,At Popering in the place,"    ","    ",at@prep popering@n#propn in@prep the@def_art place@n,at@prep popering@n#propn in@prep the@def_art place@n,
His fader was a man ful free,"His fader was a man ful free,°",data/riverside_cats/Thop_riv.cat,data/oxford_txts/Thop_oxford.txt,data/csvs/Thop,Sir Thopas 721,,0,0,His fader was a man ful free,His fader was a man ful free,"      ","      ",his@pron1%gen fader@n ben@v%pt_3 a@indef_art man@n ful@adv fre@adj,his@pron1%gen fader@n ben@v%pt_3 a@indef_art man@n ful@adv fre@adj,
