OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"I have gret wonder, be this lyght","¶I have gret wonder, by this lighte",data/riverside_cats/BD_riv.cat,data/oxford_txts/BD_oxford.txt,data/csvs/BD,Book of the Duchess 1,,8,8,I have gret wonder be this lyght,I have gret wonder by this lighte,u Sx u Su S u S,u Sx u Su S u Sx,ich@pron%nom haven@v%pr_1 gret@adj wonder@n bi@prep this@gram_adj light@n,ich@pron%nom haven@v%pr_1 gret@adj wonder@n bi@prep this@gram_adj light@n,
"How that I lyve, for day ne nyght","How that I live, for day ne nighte",data/riverside_cats/BD_riv.cat,data/oxford_txts/BD_oxford.txt,data/csvs/BD,Book of the Duchess 2,,8,8,How that I lyve for day ne nyght,How that I live for day ne nighte,u S u Sx u S u S,u S u Sx u S u Sx,hou@adv&conj that@part ich@pron%nom liven@v1%pr_1 for@conj dai@n ne@conj1 night@n,hou@adv&conj that@part ich@pron%nom liven@v1%pr_1 for@conj dai@n ne@conj1 night@n,
I may nat slepe wel nygh noght;,I may nat slepe wel nigh noght;,data/riverside_cats/BD_riv.cat,data/oxford_txts/BD_oxford.txt,data/csvs/BD,Book of the Duchess 3,,8,8,I may nat slepe wel nygh noght,I may nat slepe wel nigh noght,u S u Su S u S,u S u Su S u S,ich@pron%nom mouen@v3%pr_1 not@adv slepen@v%inf wel@adv neigh@adv nought@adv,ich@pron%nom mouen@v3%pr_1 not@adv slepen@v%inf wel@adv neigh@adv nought@adv,
I have so many an ydel thoght,I have so many an idel° thoght,data/riverside_cats/BD_riv.cat,data/oxford_txts/BD_oxford.txt,data/csvs/BD,Book of the Duchess 4,,8,8,I have so many an ydel thoght,I have so many an idel thoght,u Sx u Sx u Su S,u Sx u Sx u Su S,ich@pron%nom haven@v%pr_1 so@adv mani@gram_adj a@indef_art idel@adj thought@n,ich@pron%nom haven@v%pr_1 so@adv mani@gram_adj a@indef_art idel@adj thought@n,
Purely for defaute of slep,Purely for defaulte° of slepe,data/riverside_cats/BD_riv.cat,data/oxford_txts/BD_oxford.txt,data/csvs/BD,Book of the Duchess 5,,8,8,Purely for defaute of slep,Purely for defaulte of slepe,uSu S uSx u S,uSu S uSx u Sx,pureli@adv for@prep defaute@n of@prep slep@n,pureli@adv for@prep defaute@n of@prep slep@n,
"That, by my trouthe, I take no kep","That, by my trouthe, I tak no kepe°",data/riverside_cats/BD_riv.cat,data/oxford_txts/BD_oxford.txt,data/csvs/BD,Book of the Duchess 6,,8,8,That by my trouthe I take no kep,That by my trouthe I tak no kepe,u S u Sx u Sx u S,u S u Sx u S u Sx,that@conj bi@prep min@pron%gen treuth@n ich@pron%nom taken@v%pr_1 no@gram_adj kep@n,that@conj bi@prep min@pron%gen treuth@n ich@pron%nom taken@v%pr_1 no@gram_adj kep@n,
"Of nothing, how hyt cometh or gooth","Of no thing, how it comth or goth",data/riverside_cats/BD_riv.cat,data/oxford_txts/BD_oxford.txt,data/csvs/BD,Book of the Duchess 7,DIFF,8,8,Of nothing how hyt cometh or gooth,Of no thing how it comth or goth,u Su S u Sx u S,u S u S u S u S,of@prep no-thing@pron hou@adv&conj hit@pron comen@v%pr_3 or@conj gon@v%pr_3,of@prep  thing@n hou@adv&conj hit@pron comen@v%pr_3 or@conj gon@v%pr_3,
Ne me nys nothyng leef nor looth.,Ne me nis no thing lief° nor loth.°,data/riverside_cats/BD_riv.cat,data/oxford_txts/BD_oxford.txt,data/csvs/BD,Book of the Duchess 8,DIFF,8,8,Ne me nys nothyng leef nor looth,Ne me nis no thing lief nor loth,u S u Su S u S,u S u S u S u S,ne@conj1 me@pron2%obj ben@v%pr_3_neg no-thing@pron lef@adj nor@conj loth@adj,ne@conj1 me@pron2%obj ben@v%pr_3_neg  thing@n lef@adj nor@conj loth@adj,
Al is ylyche good to me --,Al is iliche° good to me—,data/riverside_cats/BD_riv.cat,data/oxford_txts/BD_oxford.txt,data/csvs/BD,Book of the Duchess 9,,8,8,Al is ylyche good to me,Al is iliche good to me,u S uSu S u S,u S uSu S u S,al@gram_adjas_n ben@v%pr_3 iliche@adv god@adj to@prep me@pron2%obj --@dash,al@gram_adjas_n ben@v%pr_3 iliche@adv god@adj to@prep me@pron2%obj --@dash,
"Joye or sorowe, wherso hyt be --","Joye or sorow, wherso it be—",data/riverside_cats/BD_riv.cat,data/oxford_txts/BD_oxford.txt,data/csvs/BD,Book of the Duchess 10,,8,8,Joye or sorowe wherso hyt be,Joye or sorow wherso it be,u S uSx uS u S,uS u Su Sx u S,joie@n or@conj sorwe@n wher-so@adv hit@pron ben@v%pr_3 --@dash,joie@n or@conj sorwe@n wher-so@adv hit@pron ben@v%pr_3 --@dash,
