OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"Whilom, as olde stories tellen us","¶Whilom,° as olde stories tellen us",data/riverside_cats/KnT_riv.cat,data/oxford_txts/KnT_oxford.txt,data/csvs/KnT,The Knight's Tale 859,,10,10,Whilom as olde stories tellen us,Whilom as olde stories tellen us,uS u Sx uSu Su S,uS u Sx uSu Su S,whilom@adv as@conj olde@adj storie@n1%pl tellen@v%pr_pl us@pron%pl_obj,whilom@adv as@conj olde@adj storie@n1%pl tellen@v%pr_pl us@pron%pl_obj,
Ther was a duc that highte Theseus;,Ther was a duk that highte° Theseus;,data/riverside_cats/KnT_riv.cat,data/oxford_txts/KnT_oxford.txt,data/csvs/KnT,The Knight's Tale 860,,10,10,Ther was a duc that highte Theseus,Ther was a duk that highte Theseus,u S u S u Su SuS,u S u S u Su SuS,ther@adv ben@v%pt_3 a@indef_art duk@n that@pron hoten@v1%pt_3 theseus@n1#propn,ther@adv ben@v%pt_3 a@indef_art duk@n that@pron hoten@v1%pt_3 theseus@n1#propn,
Of Atthenes he was lord and governour,Of Athenes he was lord and governour,data/riverside_cats/KnT_riv.cat,data/oxford_txts/KnT_oxford.txt,data/csvs/KnT,The Knight's Tale 861,,10,10,Of Atthenes he was lord and governour,Of Athenes he was lord and governour,u Sux S u S u SuS,u Sux S u S u SuS,of@prep athenes@n#propn he@pron1%nom ben@v%pt_3 lord@n and@conj governour@n,of@prep athenes@n#propn he@pron1%nom ben@v%pt_3 lord@n and@conj governour@n,
And in his tyme swich a conquerour,And in his time swich a conquerour,data/riverside_cats/KnT_riv.cat,data/oxford_txts/KnT_oxford.txt,data/csvs/KnT,The Knight's Tale 862,,10,10,And in his tyme swich a conquerour,And in his time swich a conquerour,u S u Su S u SuS,u S u Su S u SuS,and@conj in@prep his@pron1%gen time@n swich@gram_adj a@indef_art conquerour@n,and@conj in@prep his@pron1%gen time@n swich@gram_adj a@indef_art conquerour@n,
That gretter was ther noon under the sonne.,That gretter was ther noon under the sonne.,data/riverside_cats/KnT_riv.cat,data/oxford_txts/KnT_oxford.txt,data/csvs/KnT,The Knight's Tale 863,,10,10,That gretter was ther noon under the sonne,That gretter was ther noon under the sonne,u Su S u S uS u Sx,u Su S u S uS u Sx,that@part gret@adj%comp ben@v%pt_3 ther@adv non@pron under@prep the@def_art sonne@n,that@part gret@adj%comp ben@v%pt_3 ther@adv non@pron under@prep the@def_art sonne@n,
Ful many a riche contree hadde he wonne;,Ful many a riche contree hadde he wonne;,data/riverside_cats/KnT_riv.cat,data/oxford_txts/KnT_oxford.txt,data/csvs/KnT,The Knight's Tale 864,,10,10,Ful many a riche contree hadde he wonne,Ful many a riche contree hadde he wonne,u Su S ux Su Sx u Sx,u Su S ux Su Sx u Sx,ful@adv mani@gram_adj a@indef_art riche@adj contree@n haven@v%pt_3 he@pron1%nom winnen@v%ppl,ful@adv mani@gram_adj a@indef_art riche@adj contree@n haven@v%pt_3 he@pron1%nom winnen@v%ppl,
What with his wysdom and his chivalrie,What with his wisdom and his chivalrie,data/riverside_cats/KnT_riv.cat,data/oxford_txts/KnT_oxford.txt,data/csvs/KnT,The Knight's Tale 865,,10,10,What with his wysdom and his chivalrie,What with his wisdom and his chivalrie,u S u Su S u SuS,u S u Su S u SuS,what@adv with@prep his@pron1%gen wisdom@n and@conj his@pron1%gen chevalrie@n,what@adv with@prep his@pron1%gen wisdom@n and@conj his@pron1%gen chevalrie@n,
He conquered al the regne of Femenye,He conquered al the regne° of Femenie,data/riverside_cats/KnT_riv.cat,data/oxford_txts/KnT_oxford.txt,data/csvs/KnT,The Knight's Tale 866,,0,10,He conquered al the regne of Femenye,He conquered al the regne of Femenie,      ,u SuS u S ux S uxS,he@pron1%nom conqueren@v%pt_3 al@gram_adj the@def_art regne@n1 of@prep femenie@n#propn,he@pron1%nom conqueren@v%pt_3 al@gram_adj the@def_art regne@n1 of@prep femenie@n#propn,
That whilom was ycleped Scithia,That whilom was ycleped° Scithia;,data/riverside_cats/KnT_riv.cat,data/oxford_txts/KnT_oxford.txt,data/csvs/KnT,The Knight's Tale 867,,10,10,That whilom was ycleped Scithia,That whilom was ycleped Scithia,u Su S uSu SuS,u Su S uSu SuS,that@pron whilom@adv ben@v%pt_3 clepen@v%ppl scithia@n#propn,that@pron whilom@adv ben@v%pt_3 clepen@v%ppl scithia@n#propn,
And weddede the queene Ypolita,And weddede the quene Ipolita,data/riverside_cats/KnT_riv.cat,data/oxford_txts/KnT_oxford.txt,data/csvs/KnT,The Knight's Tale 868,,9,9,And weddede the queene Ypolita,And weddede the quene Ipolita,S uSx u Sx uSuS,S uSx u Sx uSuS,and@conj wedden@v%pt_3 the@def_art quene@n2 ipolita@n#propn,and@conj wedden@v%pt_3 the@def_art quene@n2 ipolita@n#propn,
