OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
Whan Phebus dwelled heere in this erthe adoun,¶Whan Phebus° dwelled here in this erthe adoun,data/riverside_cats/MancT_riv.cat,data/oxford_txts/MancT_oxford.txt,data/csvs/MancT,The Manciple's Tale 105,,10,10,Whan Phebus dwelled heere in this erthe adoun,Whan Phebus dwelled here in this erthe adoun,u Su Sx ux S u Sx uS,u Su Su xx S u Sx uS,whan@adv&conj phebus@n#propn dwellen@v%pt_3 her@adv in@prep this@gram_adj erthe@n1 adoun@adv,whan@adv&conj phebus@n#propn dwellen@v%pt_3 her@adv in@prep this@gram_adj erthe@n1 adoun@adv,
As olde bookes maken mencioun,As olde bokes maken mencioun,data/riverside_cats/MancT_riv.cat,data/oxford_txts/MancT_oxford.txt,data/csvs/MancT,The Manciple's Tale 106,,10,10,As olde bookes maken mencioun,As olde bokes maken mencioun,u Su Su Su SuS,u Su Su Su SuS,as@conj olde@adj bok@n1%pl maken@v1%pr_pl mencioun@n,as@conj olde@adj bok@n1%pl maken@v1%pr_pl mencioun@n,
He was the mooste lusty bachiler,He was the moste lusty bachiler°,data/riverside_cats/MancT_riv.cat,data/oxford_txts/MancT_oxford.txt,data/csvs/MancT,The Manciple's Tale 107,,10,10,He was the mooste lusty bachiler,He was the moste lusty bachiler,u S u Su Su SuS,u S u Su Su SuS,he@pron1%nom ben@v%pt_3 the@def_art most@adv%sup lusti@adj bacheler@n,he@pron1%nom ben@v%pt_3 the@def_art most@adv%sup lusti@adj bacheler@n,
"In al this world, and eek the beste archer.","In al this world, and eek the beste archer;",data/riverside_cats/MancT_riv.cat,data/oxford_txts/MancT_oxford.txt,data/csvs/MancT,The Manciple's Tale 108,,10,10,In al this world and eek the beste archer,In al this world and eek the beste archer,u S u S u S u Sx uS,u S u S u S u Sx uS,in@prep al@gram_adj this@gram_adj world@n and@conj ek@adv the@def_art best@adj%sup archer@n,in@prep al@gram_adj this@gram_adj world@n and@conj ek@adv the@def_art best@adj%sup archer@n,
"He slow Phitoun, the serpent, as he lay","He slow Phitoun,° the serpent, as he lay",data/riverside_cats/MancT_riv.cat,data/oxford_txts/MancT_oxford.txt,data/csvs/MancT,The Manciple's Tale 109,,10,10,He slow Phitoun the serpent as he lay,He slow Phitoun the serpent as he lay,u S uS u Su S u S,u S uS u Su S u S,he@pron1%nom slen@v%pt_3 phitoun@n#propn the@def_art serpent@n as@conj he@pron1%nom lien@v1%pt_3,he@pron1%nom slen@v%pt_3 phitoun@n#propn the@def_art serpent@n as@conj he@pron1%nom lien@v1%pt_3,
Slepynge agayn the sonne upon a day;,Slepinge again° the sonne upon a day;,data/riverside_cats/MancT_riv.cat,data/oxford_txts/MancT_oxford.txt,data/csvs/MancT,The Manciple's Tale 110,,10,10,Slepynge agayn the sonne upon a day,Slepinge again the sonne upon a day,uSx uS u Sx uS u S,uSx uS u Sx uS u S,slepen@v%prp_abs ayen@prep the@def_art sonne@n upon@prep a@indef_art dai@n,slepen@v%prp_abs ayen@prep the@def_art sonne@n upon@prep a@indef_art dai@n,
And many another noble worthy dede,And many another noble worthy dede,data/riverside_cats/MancT_riv.cat,data/oxford_txts/MancT_oxford.txt,data/csvs/MancT,The Manciple's Tale 111,,10,10,And many another noble worthy dede,And many another noble worthy dede,u Su Sux Su Su Sx,u Su Sux Su Su Sx,and@conj mani@gram_adj another@gram_adj noble@adj worthi@adj dede@n,and@conj mani@gram_adj another@gram_adj noble@adj worthi@adj dede@n,
"He with his bowe wroghte, as men may rede.","He with his bowe wroghte, as men may rede.",data/riverside_cats/MancT_riv.cat,data/oxford_txts/MancT_oxford.txt,data/csvs/MancT,The Manciple's Tale 112,,10,10,He with his bowe wroghte as men may rede,He with his bowe wroghte as men may rede,u S u Su Sx u S u Sx,u S u Su Sx u S u Sx,he@pron1%nom with@prep his@pron1%gen boue@n1 werken@v%pt_3 as@conj man@n%pl mouen@v3%pr_pl reden@v1%inf,he@pron1%nom with@prep his@pron1%gen boue@n1 werken@v%pt_3 as@conj man@n%pl mouen@v3%pr_pl reden@v1%inf,
Pleyen he koude on every mynstralcie,¶Pleyen he coude on every minstralcie,data/riverside_cats/MancT_riv.cat,data/oxford_txts/MancT_oxford.txt,data/csvs/MancT,The Manciple's Tale 113,,10,10,Pleyen he koude on every mynstralcie,Pleyen he coude on every minstralcie,uS u Sx u Sxu SuS,uS u Sx u Sxu SuS,pleien@v1%inf he@pron1%nom connen@v%pt_3 on@prep everi@pron_gram_adj minstralsie@n,pleien@v1%inf he@pron1%nom connen@v%pt_3 on@prep everi@pron_gram_adj minstralsie@n,
And syngen that it was a melodie,"And singen, that it was a melodie",data/riverside_cats/MancT_riv.cat,data/oxford_txts/MancT_oxford.txt,data/csvs/MancT,The Manciple's Tale 114,,10,10,And syngen that it was a melodie,And singen that it was a melodie,u Su S u S u SuS,u Su S u S u SuS,and@conj singen@v%inf that@conj hit@pron ben@v%pt_3 a@indef_art melodie@n,and@conj singen@v%inf that@conj hit@pron ben@v%pt_3 a@indef_art melodie@n,
To heeren of his cleere voys the soun.,To heren of his clere vois the soun.°,data/riverside_cats/MancT_riv.cat,data/oxford_txts/MancT_oxford.txt,data/csvs/MancT,The Manciple's Tale 115,,10,10,To heeren of his cleere voys the soun,To heren of his clere vois the soun,u Su S u Su S u S,u Su S u Su S u S,to@part heren@v%inf of@prep his@pron1%gen cler@adj voice@n the@def_art soun@n,to@part heren@v%inf of@prep his@pron1%gen cler@adj voice@n the@def_art soun@n,
"Certes the kyng of Thebes, Amphioun","Certes the king of Thebes, Amphioun",data/riverside_cats/MancT_riv.cat,data/oxford_txts/MancT_oxford.txt,data/csvs/MancT,The Manciple's Tale 116,,10,10,Certes the kyng of Thebes Amphioun,Certes the king of Thebes Amphioun,uS u S u Su SuS,uS u S u Su SuS,certes@adv the@def_art king@n of@prep thebes@n#propn amphioun@n#propn,certes@adv the@def_art king@n of@prep thebes@n#propn amphioun@n#propn,
That with his syngyng walled that citee,That with his singing walled that citee,data/riverside_cats/MancT_riv.cat,data/oxford_txts/MancT_oxford.txt,data/csvs/MancT,The Manciple's Tale 117,,10,10,That with his syngyng walled that citee,That with his singing walled that citee,u S u Su Su S uS,u S u Su Su S uS,that@pron with@prep his@pron1%gen singinge@ger walled@adj2 that@art&gram_adj cite@n,that@pron with@prep his@pron1%gen singinge@ger walled@adj2 that@art&gram_adj cite@n,
Koude nevere syngen half so wel as hee.,Coud never singen half so wel as he.,data/riverside_cats/MancT_riv.cat,data/oxford_txts/MancT_oxford.txt,data/csvs/MancT,The Manciple's Tale 118,,10,10,Koude nevere syngen half so wel as hee,Coud never singen half so wel as he,ux Sux Su S u S u S,u Su Su S u S u S,connen@v%pt_3 never@adv singen@v%inf half@adv so@adv wel@adv as@conj he@pron1%nom,connen@v%pt_3 never@adv singen@v%inf half@adv so@adv wel@adv as@conj he@pron1%nom,
Therto he was the semelieste man,Therto he was the semelieste° man,data/riverside_cats/MancT_riv.cat,data/oxford_txts/MancT_oxford.txt,data/csvs/MancT,The Manciple's Tale 119,,10,10,Therto he was the semelieste man,Therto he was the semelieste man,uS u S u SuSux S,uS u S u SuSux S,ther-to@adv he@pron1%nom ben@v%pt_3 the@def_art semeli@adj%sup man@n,ther-to@adv he@pron1%nom ben@v%pt_3 the@def_art semeli@adj%sup man@n,
That is or was sith that the world bigan.,"That is or was, sith that° the world bigan.",data/riverside_cats/MancT_riv.cat,data/oxford_txts/MancT_oxford.txt,data/csvs/MancT,The Manciple's Tale 120,,10,10,That is or was sith that the world bigan,That is or was sith that the world bigan,u S u S u S u S uS,u S u S u S u S uS,that@pron ben@v%pr_3 or@conj ben@v%pt_3 sitthe@conj that@part the@def_art world@n biginnen@v%pt_3,that@pron ben@v%pr_3 or@conj ben@v%pt_3 sitthe@conj that@part the@def_art world@n biginnen@v%pt_3,
What nedeth it his fetures to discryve?,What nedeth it° his fetures to discrive?,data/riverside_cats/MancT_riv.cat,data/oxford_txts/MancT_oxford.txt,data/csvs/MancT,The Manciple's Tale 121,,10,10,What nedeth it his fetures to discryve,What nedeth it his fetures to discrive,u Su S u Sux S uSx,u Su S u Sux S uSx,what@adv neden@v2%pr_3 hit@pron his@pron1%gen feture@n1%pl to@part descriven@v%inf,what@adv neden@v2%pr_3 hit@pron his@pron1%gen feture@n1%pl to@part descriven@v%inf,
For in this world was noon so faire on-lyve.,For in this world was noon so fair on live.°,data/riverside_cats/MancT_riv.cat,data/oxford_txts/MancT_oxford.txt,data/csvs/MancT,The Manciple's Tale 122,DIFF,10,10,For in this world was noon so faire onlyve,For in this world was noon so fair on live,u S u S u S u Sx uSx,u S u S u S u S u Sx,for@conj in@prep this@gram_adj world@n ben@v%pt_3 non@pron so@adv fair@adj on-live@adv,for@conj in@prep this@gram_adj world@n ben@v%pt_3 non@pron so@adv fair@adj  ,
He was therwith fulfild of gentillesse,He was therwith fulfild of gentillesse,data/riverside_cats/MancT_riv.cat,data/oxford_txts/MancT_oxford.txt,data/csvs/MancT,The Manciple's Tale 123,,10,10,He was therwith fulfild of gentillesse,He was therwith fulfild of gentillesse,u S uS uS u SuSx,u S uS uS u SuSx,he@pron1%nom ben@v%pt_3 ther-with@adv ful-fillen@v%ppl of@prep gentilesse@n,he@pron1%nom ben@v%pt_3 ther-with@adv ful-fillen@v%ppl of@prep gentilesse@n,
"Of honour, and of parfit worthynesse.","Of honour, and of parfit° worthinesse.°",data/riverside_cats/MancT_riv.cat,data/oxford_txts/MancT_oxford.txt,data/csvs/MancT,The Manciple's Tale 124,,10,10,Of honour and of parfit worthynesse,Of honour and of parfit worthinesse,u Su S u Su SuSx,u Su S u Su SuSx,of@prep honour@n and@conj of@prep parfit@adj worthinesse@n,of@prep honour@n and@conj of@prep parfit@adj worthinesse@n,
