OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
Whan folk hadde laughen at this nyce cas,¶Whan folk had laughen at this nice cas°,data/riverside_cats/RvPro_riv.cat,data/oxford_txts/RvPro_oxford.txt,data/csvs/RvPro,The Reeve's Prologue 3855,,10,10,Whan folk hadde laughen at this nyce cas,Whan folk had laughen at this nice cas,u S ux Su S u Su S,u S u Su S u Su S,whan@adv&conj folk@n haven@v%pt_3 laughen@v%ppl at@prep this@gram_adj nice@adj cas@n,whan@adv&conj folk@n haven@v%pt_3 laughen@v%ppl at@prep this@gram_adj nice@adj cas@n,
Of Absolon and hende Nicholas,Of Absolon and hende° Nicholas,data/riverside_cats/RvPro_riv.cat,data/oxford_txts/RvPro_oxford.txt,data/csvs/RvPro,The Reeve's Prologue 3856,,10,10,Of Absolon and hende Nicholas,Of Absolon and hende Nicholas,u SuS u Su SuS,u SuS u Su SuS,of@prep absolon@n1#propn and@conj hende@adj nicholas@n1#propn,of@prep absolon@n1#propn and@conj hende@adj nicholas@n1#propn,
Diverse folk diversely they seyde,Diverse folk diversely they seide;,data/riverside_cats/RvPro_riv.cat,data/oxford_txts/RvPro_oxford.txt,data/csvs/RvPro,The Reeve's Prologue 3857,,10,10,Diverse folk diversely they seyde,Diverse folk diversely they seide,uSu S uSuS u Sx,uSu S uSuS u Sx,diverse@adj folk@n diverseli@adv thei@pron%pl_nom seien@v1%pt_pl,diverse@adj folk@n diverseli@adv thei@pron%pl_nom seien@v1%pt_pl,
But for the moore part they loughe and pleyde.,"But, for the more part, they loughe° and pleide",data/riverside_cats/RvPro_riv.cat,data/oxford_txts/RvPro_oxford.txt,data/csvs/RvPro,The Reeve's Prologue 3858,,10,10,But for the moore part they loughe and pleyde,But for the more part they loughe and pleide,u S u Su S u Sx u Sx,u S u Su S u Sx u Sx,but@conj for@prep the@def_art more@adj%comp part@n thei@pron%pl_nom laughen@v%pt_pl and@conj pleien@v1%pt_pl,but@conj for@prep the@def_art more@adj%comp part@n thei@pron%pl_nom laughen@v%pt_pl and@conj pleien@v1%pt_pl,
Ne at this tale I saugh no man hym greve,"Ne at this tale I saugh no man him greve,°",data/riverside_cats/RvPro_riv.cat,data/oxford_txts/RvPro_oxford.txt,data/csvs/RvPro,The Reeve's Prologue 3859,,10,10,Ne at this tale I saugh no man hym greve,Ne at this tale I saugh no man him greve,u S u Sx u S u S u Sx,u S u Sx u S u S u Sx,ne@conj1 at@prep this@gram_adj tale@n ich@pron%nom sen@v1%pt_1 no@gram_adj man@n him@pron%obj greven@v%pr_3,ne@conj1 at@prep this@gram_adj tale@n ich@pron%nom sen@v1%pt_1 no@gram_adj man@n him@pron%obj greven@v%pr_3,
But it were oonly Osewold the Reve.,"But it were° only Osewold the Reve,°",data/riverside_cats/RvPro_riv.cat,data/oxford_txts/RvPro_oxford.txt,data/csvs/RvPro,The Reeve's Prologue 3860,,10,10,But it were oonly Osewold the Reve,But it were only Osewold the Reve,u S ux Su SuS u Sx,u S ux Su SuS u Sx,but@conj hit@pron ben@v%pt_3 onli@adj osewold@n#propn the@def_art reve@n,but@conj hit@pron ben@v%pt_3 onli@adj osewold@n#propn the@def_art reve@n,
By cause he was of carpenteris craft,Bicause he was of carpenteres craft.,data/riverside_cats/RvPro_riv.cat,data/oxford_txts/RvPro_oxford.txt,data/csvs/RvPro,The Reeve's Prologue 3861,DIFF,10,10,By cause he was of carpenteris craft,Bicause he was of carpenteres craft,u Sx u S u SuSu S,uSx u S u SuSu S,bi@prep cause@n he@pron1%nom ben@v%pt_3 of@prep carpenter@n%gen craft@n1, he@pron1%nom ben@v%pt_3 of@prep carpenter@n%gen craft@n1,
A litel ire is in his herte ylaft;,"A litel ire° is in his herte ylaft,°",data/riverside_cats/RvPro_riv.cat,data/oxford_txts/RvPro_oxford.txt,data/csvs/RvPro,The Reeve's Prologue 3862,,10,10,A litel ire is in his herte ylaft,A litel ire is in his herte ylaft,u Su Sx u S u Sx uS,u Su Sx u S u Sx uS,a@indef_art litel@adj ire@n ben@v%pr_3 in@prep his@pron1%gen herte@n ileven@v1%ppl,a@indef_art litel@adj ire@n ben@v%pr_3 in@prep his@pron1%gen herte@n ileven@v1%ppl,
"He gan to grucche, and blamed it a lite.",He gan to grucche° and blamed it a lite.°,data/riverside_cats/RvPro_riv.cat,data/oxford_txts/RvPro_oxford.txt,data/csvs/RvPro,The Reeve's Prologue 3863,,10,10,He gan to grucche and blamed it a lite,He gan to grucche and blamed it a lite,u S u Sx u Su S u Sx,u S u Sx u Su S u Sx,he@pron1%nom ginnen@v%pt_3 to@part grucchen@v%inf and@conj blamen@v%pt_3 hit@pron a@indef_art lite@n3,he@pron1%nom ginnen@v%pt_3 to@part grucchen@v%inf and@conj blamen@v%pt_3 hit@pron a@indef_art lite@n3,
"So theek,"""" quod he, """"ful wel koude I thee quite","¶“So theek,”° quod he, “ful wel coude I thee quite°",data/riverside_cats/RvPro_riv.cat,data/oxford_txts/RvPro_oxford.txt,data/csvs/RvPro,The Reeve's Prologue 3864,,10,10,So theek quod he ful wel koude I thee quite,So theek quod he ful wel coude I thee quite,u S u S u S ux S u Sx,u S u S u S ux S u Sx,so@adv then@v%pr_1_pron quethen@v%pt_3 he@pron1%nom ful@adv wel@adv connen@v%pt_1 ich@pron%nom the@pron2%obj quiten@v%inf,so@adv then@v%pr_1_pron quethen@v%pt_3 he@pron1%nom ful@adv wel@adv connen@v%pt_1 ich@pron%nom the@pron2%obj quiten@v%inf,
