OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"Whan seyd was al this miracle, every man","Whan seid° was al this miracle, every man",data/riverside_cats/ThopPro_riv.cat,data/oxford_txts/ThopPro_oxford.txt,data/csvs/ThopPro,Prologue to Sir Thopas 691,,10,10,Whan seyd was al this miracle every man,Whan seid was al this miracle every man,u S u S u Sux Sxu S,u S u S u Sux Sxu S,whan@adv&conj seien@v1%ppl ben@v%pt_3 al@gram_adj this@gram_adj miracle@n everi@pron_gram_adj man@n,whan@adv&conj seien@v1%ppl ben@v%pt_3 al@gram_adj this@gram_adj miracle@n everi@pron_gram_adj man@n,
As sobre was that wonder was to se,"As sobre° was, that wonder was to se",data/riverside_cats/ThopPro_riv.cat,data/oxford_txts/ThopPro_oxford.txt,data/csvs/ThopPro,Prologue to Sir Thopas 692,,10,10,As sobre was that wonder was to se,As sobre was that wonder was to se,u Su S u Su S u S,u Su S u Su S u S,as@conj sobre@adj ben@v%pt_3 that@conj wonder@n ben@v%pt_3 to@part sen@v1%inf,as@conj sobre@adj ben@v%pt_3 that@conj wonder@n ben@v%pt_3 to@part sen@v1%inf,
Til that oure Hooste japen tho bigan,Til that our Hoste japen° tho bigan,data/riverside_cats/ThopPro_riv.cat,data/oxford_txts/ThopPro_oxford.txt,data/csvs/ThopPro,Prologue to Sir Thopas 693,,10,10,Til that oure Hooste japen tho bigan,Til that our Hoste japen tho bigan,u S ux Su Su S uS,u S u Su Su S uS,til@conj that@part oure@pron%pl_gen hoste@n2 japen@v%inf tho@adv biginnen@v%pt_3,til@conj that@part oure@pron%pl_gen hoste@n2 japen@v%inf tho@adv biginnen@v%pt_3,
And thanne at erst he looked upon me,And thanne at erst° he loked upon me,data/riverside_cats/ThopPro_riv.cat,data/oxford_txts/ThopPro_oxford.txt,data/csvs/ThopPro,Prologue to Sir Thopas 694,,10,10,And thanne at erst he looked upon me,And thanne at erst he loked upon me,u Sx u S u Su Su S,u Sx u S u Su Su S,and@conj thanne@adv at@prep erest@adj#n%sup he@pron1%nom loken@v2%pt_3 upon@prep me@pron2%obj,and@conj thanne@adv at@prep erest@adj#n%sup he@pron1%nom loken@v2%pt_3 upon@prep me@pron2%obj,
"And seyde thus: """"What man artow?"""" quod he;","And seide thus, “what man artow?”° quod he;",data/riverside_cats/ThopPro_riv.cat,data/oxford_txts/ThopPro_oxford.txt,data/csvs/ThopPro,Prologue to Sir Thopas 695,,10,10,And seyde thus What man artow quod he,And seide thus what man artow quod he,u Su S u S uS u S,u Su S u S uS u S,and@conj seien@v1%pt_3 thus@adv what@gram_adj man@n ben@v%pr_2_pron quethen@v%pt_3 he@pron1%nom,and@conj seien@v1%pt_3 thus@adv what@gram_adj man@n ben@v%pr_2_pron quethen@v%pt_3 he@pron1%nom,
Thou lookest as thou woldest fynde an hare,“Thou lokest as thou woldest° finde an hare,data/riverside_cats/ThopPro_riv.cat,data/oxford_txts/ThopPro_oxford.txt,data/csvs/ThopPro,Prologue to Sir Thopas 696,,10,10,Thou lookest as thou woldest fynde an hare,Thou lokest as thou woldest finde an hare,u Su S u Su Sx u Sx,u Su S u Su Sx u Sx,thou@pron%nom loken@v2%pr_2 as@conj thou@pron%nom willen@v%pt_2 finden@v%inf a@indef_art hare@n,thou@pron%nom loken@v2%pr_2 as@conj thou@pron%nom willen@v%pt_2 finden@v%inf a@indef_art hare@n,
For evere upon the ground I se thee stare.,For ever° upon the ground I see thee stare.,data/riverside_cats/ThopPro_riv.cat,data/oxford_txts/ThopPro_oxford.txt,data/csvs/ThopPro,Prologue to Sir Thopas 697,,10,10,For evere upon the ground I se thee stare,For ever upon the ground I see thee stare,u Sux Su S u S x u Sx,u S uS u S u S u Sx,for@conj ever@adv upon@prep the@def_art ground@n ich@pron%nom sen@v1%pr_1 the@pron2%obj staren@v%inf,for@conj ever@adv upon@prep the@def_art ground@n ich@pron%nom sen@v1%pr_1 the@pron2%obj staren@v%inf,
"Approche neer, and looke up murily.","Approche neer, and looke up murily.°",data/riverside_cats/ThopPro_riv.cat,data/oxford_txts/ThopPro_oxford.txt,data/csvs/ThopPro,Prologue to Sir Thopas 698,,10,10,Approche neer and looke up murily,Approche neer and looke up murily,uSu S u Sx u SuS,uSu S u Sx u SuS,approchen@v%imp ner@adv2 and@conj loken@v2%imp up@adv mirili@adv,approchen@v%imp ner@adv2 and@conj loken@v2%imp up@adv mirili@adv,
"Now war yow, sires, and lat this man have place!","Now war yow,° sirs, and lat this man have place;",data/riverside_cats/ThopPro_riv.cat,data/oxford_txts/ThopPro_oxford.txt,data/csvs/ThopPro,Prologue to Sir Thopas 699,,10,10,Now war yow sires and lat this man have place,Now war yow sirs and lat this man have place,u S u Sx u S u S ux Sx,u S u S u S u S ux Sx,nou@adv waren@v1%imp you@pron%pl_obj sire@n%pl and@conj leten@v%imp this@gram_adj man@n haven@v%inf place@n,nou@adv waren@v1%imp you@pron%pl_obj sire@n%pl and@conj leten@v%imp this@gram_adj man@n haven@v%inf place@n,
He in the waast is shape as wel as I;,He in the wast° is shape° as wel as I;,data/riverside_cats/ThopPro_riv.cat,data/oxford_txts/ThopPro_oxford.txt,data/csvs/ThopPro,Prologue to Sir Thopas 700,,10,10,He in the waast is shape as wel as I,He in the wast is shape as wel as I,u S u S u Sx u S u S,u S u S u Sx u S u S,he@pron1%nom in@prep the@def_art wast@n ben@v%pr_3 shapen@v%ppl as@conj wel@adv as@conj ich@pron%nom,he@pron1%nom in@prep the@def_art wast@n ben@v%pr_3 shapen@v%ppl as@conj wel@adv as@conj ich@pron%nom,
