group_name,group_type,num_files,total_monosyllabic,overall_accuracy,overall_total,overall_correct,overall_accuracy_filtered,overall_total_filtered,overall_correct_filtered,weak_accuracy,weak_total,weak_correct,plural_accuracy,plural_total,plural_correct,strong_accuracy,strong_total,strong_correct,strong_accuracy_filtered,strong_total_filtered,strong_correct_filtered
BD,individual,1,293,55.29,293,162,65.19,293,191,71.15,52,37,85.71,21,18,48.64,220,107,61.82,220,136
PF,individual,1,139,71.22,139,99,82.73,139,115,92.31,26,24,95.24,21,20,59.78,92,55,77.17,92,71
TC1,individual,1,211,74.41,211,157,84.36,211,178,92.16,51,47,100.00,12,12,66.22,148,98,80.41,148,119
TC2,individual,1,334,70.66,334,236,80.84,334,270,82.50,80,66,84.62,26,22,64.91,228,148,79.82,228,182
TC3,individual,1,367,70.57,367,259,77.38,367,284,90.48,84,76,97.56,41,40,59.09,242,143,69.42,242,168
TC4,individual,1,298,75.84,298,226,83.56,298,249,94.81,77,73,94.12,34,32,64.71,187,121,77.01,187,144
TC5,individual,1,374,65.78,374,246,77.01,374,288,84.62,91,77,92.06,63,58,50.45,220,111,69.55,220,153
LGW,individual,2,533,72.05,533,384,80.68,533,430,89.68,155,139,90.00,60,54,60.06,318,191,74.53,318,237
SNT,individual,1,85,68.24,85,58,81.18,85,69,93.33,15,14,90.91,11,10,57.63,59,34,76.27,59,45
GP,individual,1,237,74.26,237,176,86.50,237,205,90.91,33,30,93.10,29,27,68.00,175,119,84.57,175,148
MilT,individual,1,172,73.84,172,127,81.98,172,141,100.00,43,43,63.64,11,7,65.25,118,77,77.12,118,91
RvT,individual,1,86,75.58,86,65,86.05,86,74,87.50,16,14,100.00,7,7,69.84,63,44,84.13,63,53
PhyT,individual,1,67,77.61,67,52,85.07,67,57,100.00,15,15,100.00,4,4,68.75,48,33,79.17,48,38
PrT,individual,1,38,57.89,38,22,71.05,38,27,90.91,11,10,100.00,3,3,37.50,24,9,58.33,24,14
MancT,individual,1,67,71.64,67,48,77.61,67,52,100.00,12,12,100.00,6,6,61.22,49,30,69.39,49,34
Thop,individual,2,59,71.19,59,42,86.44,59,51,75.00,8,6,80.00,5,4,69.57,46,32,89.13,46,41
NPT,individual,1,120,67.50,120,81,81.67,120,98,75.00,24,18,86.67,15,13,61.73,81,50,82.72,81,67
PardT,individual,1,105,70.48,105,74,75.24,105,79,84.00,25,21,83.33,12,10,63.24,68,43,70.59,68,48
ClT,individual,1,268,63.43,268,170,77.61,268,208,87.04,54,47,85.71,21,18,54.40,193,105,74.09,193,143
SqT,individual,1,128,73.44,128,94,86.72,128,111,89.29,28,25,92.31,13,12,65.52,87,57,85.06,87,74
MLT,individual,1,196,70.41,196,138,79.08,196,155,86.89,61,53,75.00,8,6,62.20,127,79,75.59,127,96
CYT,individual,1,133,75.94,133,101,82.71,133,110,72.73,22,16,50.00,4,2,77.57,107,83,85.98,107,92
ShipT,individual,1,103,71.84,103,74,85.44,103,88,96.15,26,25,100.00,3,3,62.16,74,46,81.08,74,60
WBPro,individual,1,159,68.55,159,109,74.84,159,119,90.48,21,19,46.15,13,6,67.20,125,84,75.20,125,94
WBT,individual,1,104,67.31,104,70,80.77,104,84,94.74,19,18,85.71,7,6,58.97,78,46,76.92,78,60
SumT,individual,1,102,70.59,102,72,78.43,102,80,100.00,25,25,100.00,3,3,59.46,74,44,70.27,74,52
MerT,individual,1,275,77.82,275,214,86.18,275,237,97.10,69,67,82.61,23,19,69.95,183,128,82.51,183,151
FranT,individual,1,178,71.91,178,128,83.15,178,148,77.55,49,38,81.82,22,18,67.29,107,72,85.98,107,92
BD,aggregate,1,293,55.29,293,162,65.19,293,191,71.15,52,37,85.71,21,18,48.64,220,107,61.82,220,136
PF,aggregate,1,139,71.22,139,99,82.73,139,115,92.31,26,24,95.24,21,20,59.78,92,55,77.17,92,71
TC,aggregate,5,1584,70.96,1584,1124,80.11,1584,1269,88.51,383,339,93.18,176,164,60.59,1025,621,74.73,1025,766
LGW,aggregate,2,533,72.05,533,384,80.68,533,430,89.68,155,139,90.00,60,54,60.06,318,191,74.53,318,237
Early_CT,aggregate,1,85,68.24,85,58,81.18,85,69,93.33,15,14,90.91,11,10,57.63,59,34,76.27,59,45
EarlyMid_CT,aggregate,8,726,73.28,726,532,83.61,726,607,94.20,138,130,89.23,65,58,65.77,523,344,80.11,523,419
LateMid_CT,aggregate,7,1053,69.52,1053,732,80.63,1053,849,85.42,240,205,84.21,76,64,62.82,737,463,78.70,737,580
Late_CT,aggregate,17,970,72.27,970,701,81.96,970,795,90.05,211,190,77.78,81,63,66.08,678,448,79.94,678,542
Links,aggregate,12,152,71.05,152,108,83.55,152,127,82.14,28,23,84.62,13,11,66.67,111,74,83.78,111,93
