headword,word,line_number,filename,context,is_elided,is_final,text_type
leste,lest,Book of the Duchess 283,data/riverside_cats/BD_riv.cat,No more than koude the lest of us,True,False,RIVERSIDE
laste,last,Book of the Duchess 514,data/riverside_cats/BD_riv.cat,But at the last to sayn ryght soth,False,False,RIVERSIDE
fals,fals,Book of the Duchess 618,data/riverside_cats/BD_riv.cat,For fals Fortune hath pleyd a game,False,False,RIVERSIDE
fair,fayrest,Book of the Duchess 807,data/riverside_cats/BD_riv.cat,Trewly the fayrest companye,False,False,RIVERSIDE
fair,fair,Book of the Duchess 909,data/riverside_cats/BD_riv.cat,To make that fair that trewly she,False,False,RIVERSIDE
chef,chef,Book of the Duchess 910,data/riverside_cats/BD_riv.cat,Was hir chef patron of beaute,False,False,RIVERSIDE
fair,fairest,Book of the Duchess 1079,data/riverside_cats/BD_riv.cat,As for the fairest and the beste,True,False,RIVERSIDE
glad,gladdest,Book of the Duchess 1280,data/riverside_cats/BD_riv.cat,The gladdest and the moste at reste,True,False,RIVERSIDE
west,west,The Clerk's Tale 57,data/riverside_cats/ClT_riv.cat,Ther is at the west syde of Ytaille,False,False,RIVERSIDE
laste,last,The Clerk's Tale 266,data/riverside_cats/ClT_riv.cat,That may be founde as fer as last Ytaille,False,False,RIVERSIDE
west,west,The Clerk's Tale 945,data/riverside_cats/ClT_riv.cat,So noble array in al West Lumbardye,False,False,RIVERSIDE
heigh,heigh,The Clerk's Tale 991,data/riverside_cats/ClT_riv.cat,And moore plesant for hire heigh lynage,False,False,RIVERSIDE
sori,soory,The Canon's Yeoman's Tale 1349,data/riverside_cats/CYT_riv.cat,Than hadde this preest this soory craft to leere,False,False,RIVERSIDE
graunt,grant,The Canon's Yeoman's Tale 1380,data/riverside_cats/CYT_riv.cat,Quod the chanoun and farwel grant mercy,False,False,RIVERSIDE
hevi,hevy,The Franklin's Tale 822,data/riverside_cats/FranT_riv.cat,Hire freendes whiche that knewe hir hevy thoght,False,False,RIVERSIDE
wise,wys,The Franklin's Tale 871,data/riverside_cats/FranT_riv.cat,Of swich a parfit wys God and a stable,False,False,RIVERSIDE
foul,foul,The Franklin's Tale 1396,data/riverside_cats/FranT_riv.cat,To been defouled with mannes foul delit,False,False,RIVERSIDE
quik,quykkest,The Franklin's Tale 1502,data/riverside_cats/FranT_riv.cat,Amydde the toun right in the quykkest strete,False,False,RIVERSIDE
north,north,The Friar's Tale 1413,data/riverside_cats/FriT_riv.cat,Brother quod he fer in the north contree,False,False,RIVERSIDE
half,half,The General Prologue 8,data/riverside_cats/GP_riv.cat,Hath in the Ram his half cours yronne,False,False,RIVERSIDE
heigh,heigh,The General Prologue 316,data/riverside_cats/GP_riv.cat,For his science and for his heigh renoun,False,False,RIVERSIDE
heigh,hyer,The General Prologue 399,data/riverside_cats/GP_riv.cat,If that he faught and hadde the hyer hond,False,False,RIVERSIDE
troian,troian,House of Fame 207,data/riverside_cats/HF_riv.cat,Of al the Troian nacion,False,False,RIVERSIDE
troian,troian,House of Fame 217,data/riverside_cats/HF_riv.cat,Of the Troian Eneas,True,False,RIVERSIDE
soth,soth,House of Fame 351,data/riverside_cats/HF_riv.cat,O soth ys every thing ys wyst,False,False,RIVERSIDE
bon,bon,House of Fame 1022,data/riverside_cats/HF_riv.cat,Seynt Julyan loo bon hostel,False,False,RIVERSIDE
right,ryght,House of Fame 1294,data/riverside_cats/HF_riv.cat,The castelyate on my ryght hond,False,False,RIVERSIDE
