headword,word,line_number,filename,context,is_elided,is_final,text_type
long,longe,Book of the Duchess 20,data/riverside_cats/BD_riv.cat,Nat longe tyme to endure,False,False,riverside
olde,olde,Book of the Duchess 53,data/riverside_cats/BD_riv.cat,That clerkes had in olde tyme,False,False,riverside
long,longe,Book of the Duchess 79,data/riverside_cats/BD_riv.cat,"Hom, for it was a longe terme.",False,False,riverside
wel,wele,Book of the Duchess 82,data/riverside_cats/BD_riv.cat,It was not wele [he dwelte] so,False,False,riverside
dep,depe,Book of the Duchess 165,data/riverside_cats/BD_riv.cat,"Amydde the valey, wonder depe.",False,True,riverside
glad,glade,Book of the Duchess 338,data/riverside_cats/BD_riv.cat,With many glade gilde stremes;,False,False,riverside
cler,clere,Book of the Duchess 340,data/riverside_cats/BD_riv.cat,"Blew, bryght, clere was the ayr",False,False,riverside
fair,faire,Book of the Duchess 400,data/riverside_cats/BD_riv.cat,"With floures fele, faire under fete",True,False,riverside
ded,dede,Book of the Duchess 489,data/riverside_cats/BD_riv.cat,And his spirites wexen dede;,False,True,riverside
smert,smerte,Book of the Duchess 507,data/riverside_cats/BD_riv.cat,Hym thoughte hys sorwes were so smerte,False,True,riverside
god,goode,Book of the Duchess 560,data/riverside_cats/BD_riv.cat,"Graunt mercy, goode frend,"""" quod he",False,False,riverside
loth,loothe,Book of the Duchess 581,data/riverside_cats/BD_riv.cat,"My lyf, my lustes, be me loothe",False,True,riverside
wroth,wroothe,Book of the Duchess 582,data/riverside_cats/BD_riv.cat,For al welfare and I be wroothe.,False,True,riverside
long,longe,Book of the Duchess 775,data/riverside_cats/BD_riv.cat,"And this was longe, and many a yer",True,False,riverside
queinte,queynte,Book of the Duchess 784,data/riverside_cats/BD_riv.cat,Be the werkes never so queynte.,False,True,riverside
god,goode,Book of the Duchess 860,data/riverside_cats/BD_riv.cat,"Debonaire, goode, glade, and sadde",False,False,riverside
glad,glade,Book of the Duchess 860,data/riverside_cats/BD_riv.cat,"Debonaire, goode, glade, and sadde",True,False,riverside
sad,sadde,Book of the Duchess 860,data/riverside_cats/BD_riv.cat,"Debonaire, goode, glade, and sadde",False,True,riverside
wid,wyde,Book of the Duchess 861,data/riverside_cats/BD_riv.cat,"Symple, of good mochel, noght to wyde.",False,True,riverside
god,goode,Book of the Duchess 891,data/riverside_cats/BD_riv.cat,"But goode folk, over al other",False,False,riverside
