headword,word,line_number,filename,context,is_elided,is_final,text_type
long,longe,Book of the Duchess 20,data/riverside_cats/BD_riv.cat,Nat longe tyme to endure,False,False,riverside
olde,olde,Book of the Duchess 53,data/riverside_cats/BD_riv.cat,That clerkes had in olde tyme,False,False,riverside
long,longe,Book of the Duchess 79,data/riverside_cats/BD_riv.cat,"Hom, for it was a longe terme.",False,False,riverside
wel,wele,Book of the Duchess 82,data/riverside_cats/BD_riv.cat,It was not wele [he dwelte] so,False,False,riverside
swete,swete,Book of the Duchess 108,data/riverside_cats/BD_riv.cat,"A, mercy, swete lady dere!",False,False,riverside
dere,dere,Book of the Duchess 108,data/riverside_cats/BD_riv.cat,"A, mercy, swete lady dere!",False,True,riverside
swete,swete,Book of the Duchess 117,data/riverside_cats/BD_riv.cat,"And but thow wolt this, lady swete",False,True,riverside
pale,pale,Book of the Duchess 143,data/riverside_cats/BD_riv.cat,That lyeth ful pale and nothyng rody.,True,False,riverside
dep,depe,Book of the Duchess 165,data/riverside_cats/BD_riv.cat,"Amydde the valey, wonder depe.",False,True,riverside
pure,pure,Book of the Duchess 259,data/riverside_cats/BD_riv.cat,I wol do peynte with pure gold,False,False,riverside
swete,swete,Book of the Duchess 276,data/riverside_cats/BD_riv.cat,Me mette so ynly swete a sweven,True,False,riverside
swete,swete,Book of the Duchess 307,data/riverside_cats/BD_riv.cat,Was never herd so swete a steven,True,False,riverside
swete,swete,Book of the Duchess 315,data/riverside_cats/BD_riv.cat,Was nowhere herd yet half so swete,False,True,riverside
mete,mete,Book of the Duchess 316,data/riverside_cats/BD_riv.cat,Nor of acord half so mete;,False,True,riverside
glad,glade,Book of the Duchess 338,data/riverside_cats/BD_riv.cat,With many glade gilde stremes;,False,False,riverside
cler,clere,Book of the Duchess 340,data/riverside_cats/BD_riv.cat,"Blew, bryght, clere was the ayr",False,False,riverside
smothe,smothe,Book of the Duchess 394,data/riverside_cats/BD_riv.cat,And leyde al smothe doun hys heres.,False,False,riverside
grene,grene,Book of the Duchess 398,data/riverside_cats/BD_riv.cat,Doun by a floury grene wente,False,False,riverside
thikke,thikke,Book of the Duchess 399,data/riverside_cats/BD_riv.cat,"Ful thikke of gras, ful softe and swete.",True,False,riverside
softe,softe,Book of the Duchess 399,data/riverside_cats/BD_riv.cat,"Ful thikke of gras, ful softe and swete.",True,False,riverside
