file,adj->n%pl %,adj->n%pl spelled,"adj->n%pl spelled, elided",adj->n%pl unspelled,"adj->n%pl unspelled, elided",n%pl->adj %,n%pl->adj spelled,"n%pl->adj spelled, elided",n%pl->adj unspelled,"n%pl->adj unspelled, elided",overall final,overall spelled elided,overall spelled unelided,overall unelided spelled/unspelled ratio,overall unspelled elided,overall unspelled unelided,total lines
BD_gui.csv,100.0,8,0,0,0,0.0,0,1,0,0,0,1,8,100.0,0,0,2094
ClT_gui.csv,100.0,3,0,0,0,0.0,0,2,0,1,0,2,3,100.0,1,0,2146
CYT_gui.csv,100.0,2,0,0,0,0.0,0,0,0,0,0,0,2,100.0,0,0,1342
FranT_gui.csv,100.0,1,0,0,0,100.0,1,0,0,3,0,0,2,100.0,3,0,1640
FriT_gui.csv,100.0,5,0,0,0,100.0,1,1,0,0,0,1,6,100.0,0,0,650
GP_gui.csv,100.0,5,0,0,0,100.0,1,2,0,0,0,2,6,100.0,0,0,1526
HF_gui.csv,92.31,12,0,1,0,0.0,0,1,0,1,0,1,12,92.31,1,1,3530
KnT_gui.csv,100.0,17,1,0,0,100.0,2,6,0,1,0,7,19,100.0,1,0,4066
MancT_gui.csv,100.0,3,0,0,0,0.0,0,0,0,0,0,0,3,100.0,0,0,476
MerT_gui.csv,66.67,2,0,1,0,0.0,0,0,0,1,0,0,2,66.67,1,1,2144
MilT_gui.csv,100.0,1,0,0,0,100.0,2,0,0,1,0,0,3,100.0,1,0,1204
MkT_gui.csv,100.0,1,0,0,0,50.0,1,2,1,0,0,2,2,66.67,0,1,706
NPT_gui.csv,80.0,4,0,1,0,0.0,0,2,0,0,0,2,4,80.0,0,1,1152
PardT_gui.csv,50.0,1,0,1,0,0.0,0,4,0,0,0,4,1,50.0,0,1,932
PF_gui.csv,100.0,4,0,0,0,0.0,0,2,0,0,0,2,4,100.0,0,0,1020
PhyT_gui.csv,100.0,1,0,0,0,0.0,0,0,0,0,0,0,1,100.0,0,0,542
PrT_gui.csv,100.0,2,0,0,0,0.0,0,0,0,0,0,0,2,100.0,0,0,340
RvT_gui.csv,100.0,1,0,0,0,0.0,0,1,0,0,0,1,1,100.0,0,0,734
ShipT_gui.csv,0.0,0,0,0,0,0.0,0,1,0,0,0,1,0,0,0,0,792
SNT_gui.csv,100.0,2,0,0,0,0.0,0,1,0,1,0,1,2,100.0,1,0,798
SqT_gui.csv,100.0,3,0,0,0,0.0,0,0,0,0,0,0,3,100.0,0,0,1188
SumT_gui.csv,100.0,1,0,0,0,0.0,0,0,0,0,0,0,1,100.0,0,0,1064
TC1_gui.csv,100.0,3,1,0,0,0.0,0,1,0,0,0,2,3,100.0,0,0,1830
TC2_gui.csv,87.5,7,0,1,0,0.0,0,0,0,0,0,0,7,87.5,0,1,3004
TC3_gui.csv,100.0,5,0,0,0,100.0,1,2,0,1,0,2,6,100.0,1,0,3034
TC4_gui.csv,100.0,9,0,0,0,100.0,1,3,0,1,0,3,10,100.0,1,0,2928
TC5_gui.csv,100.0,4,0,0,0,0.0,0,2,0,0,0,2,4,100.0,0,0,2558
Thop_gui.csv,0.0,0,0,0,0,0.0,0,2,0,0,0,2,0,0,0,0,380
WBPro_gui.csv,100.0,4,0,0,0,0.0,0,0,0,1,0,0,4,100.0,1,0,1498
WBT_gui.csv,100.0,1,0,0,0,100.0,2,0,0,0,0,0,3,100.0,0,0,746
