infinitive,headword,category,known_strong,ppl_strong_forms,ppl_weak_forms,ppl_unclear_forms,pt_strong_forms,pt_weak_forms,pt_unclear_forms,ppl_strong_count,ppl_weak_count,ppl_unclear_count,pt_strong_count,pt_weak_count,pt_unclear_count,total_occurrences
abiden,abiden,strong,False,abiden(2),,,abode(1); abod(2); abood(5),,,2,0,0,8,0,0,10
agrisen,agrisen,strong,False,,,,agroos(2),,,0,0,0,2,0,0,2
arisen,arisen,strong,True,arisen(2),,,aroos(2); aros(3),,,2,0,0,5,0,0,7
awaken,awaken,strong,False,,,,awook(5),,,0,0,0,5,0,0,5
awreken,awreken,strong,False,awroken(2),,,,,,2,0,0,0,0,0,2
beden,beden,strong,True,bode(2),,,,,,2,0,0,0,0,0,2
ben,ben,strong,False,ben(67); been(77); be(24),,,was(3734),,were(644); wer(18),168,0,0,3734,0,662,4564
beren,beren,strong,True,bore(4); boren(2),,born(60),bar(88); baar(25),,,6,0,60,113,0,0,179
beten,beten,strong,True,beten(6); bete(1); ybeten(1),bet(1),,,bet(2),,8,1,0,0,2,0,11
bicomen,bicomen,strong,False,become(2); bicome(2); bicomen(2),,,,,becam(2); bicom(2); bicam(2),6,0,0,0,0,6,12
bidden,bidden,strong,True,bede(2),,,bad(111); badde(1); bade(1),bad(2),,2,0,0,113,2,0,117
biden,biden,strong,False,,,,bood(2),,,0,0,0,2,0,0,2
bifallen,bifallen,strong,False,bifalle(1); byfalle(1),,,befel(2); befill(1); befil(1); byfel(2),,bifel(52); bifelle(2); bifil(2),2,0,0,6,0,56,64
biginnen,biginnen,strong,False,bigonne(5),,bigon(1),began(9); bygan(3); bygonne(1),,bigan(50); bigonne(2),5,0,1,13,0,52,71
biholden,biholden,strong,True,,,,byheld(1); behelde(1); beheld(5),biheld(4); biheeld(1),,0,0,0,7,5,0,12
binden,binden,strong,True,bounden(9); ybounde(2); ybounden(3); ibounden(1),,,bond(4); boond(3),,,15,0,0,7,0,0,22
biquethen,biquethen,strong,True,biquethe(1),,,,,,1,0,0,0,0,0,1
biyeten,biyeten,strong,False,bigeten(2),,,,,,2,0,0,0,0,0,2
blouen,blouen,strong,False,blowen(4); yblowe(1); iblowe(1),,,blew(20),,,6,0,0,20,0,0,26
breken,breken,strong,True,broke(4); broken(8),,,brak(12),,brak(1),12,0,0,12,0,1,25
bresten,bresten,strong,True,brosten(4),,,brast(8); braste(3),,,4,0,0,11,0,0,15
chesen,chesen,strong,True,chose(2); chosen(10),,,,,ches(3); chees(11),12,0,0,0,0,14,26
cleven,cleven,strong,True,,,,,cleft(1); clefte(1),,0,0,0,0,2,0,2
climben,climben,strong,True,clomben(4); cloumbe(1),,,clomb(2); clamb(2),,,5,0,0,4,0,0,9
comen,comen,strong,True,come(70); comen(39); ycomen(7); icomen(2); ycome(4),,com(3),cam(156); came(2),,cam(8); com(89); come(15),122,0,3,158,0,112,395
crepen,crepen,strong,True,cropen(5),,,,crepte(1),creep(4),5,0,0,0,1,4,10
crouen,crouen,strong,False,crowe(2),,,crew(4),,,2,0,0,4,0,0,6
delven,delven,strong,True,dolven(2),,,,,,2,0,0,0,0,0,2
