headword,infinitive,preterite,past_participle,classification,notes
abaishen,abaishen,,"abaist(2), abayst(2), abasht(1)",weak,classified by morphological evidence
abiden,abiden,"abood(5), abod(2), abode(1)",abiden(2),strong,classified by morphological evidence
abien,abien,aboughte(2),aboght(2),unclear,mixed or insufficient evidence
accepten,accepten,,accepted(2),weak,classified by morphological evidence
accorden,accorden,"acorded(3), accorded(1)","acorded(13), accorded(5)",weak,classified by morphological evidence
accounten,accounten,acounted(2),,weak,classified by morphological evidence
acheven,acheven,acheved(2),acheved(2),weak,classified by morphological evidence
acursen,acursen,,"acursed(3), acorsed(2)",weak,classified by morphological evidence
adauen,adauen,,adawed(2),weak,classified by morphological evidence
adden,adden,added(2),,weak,classified by morphological evidence
adouren,adouren,,adoured(1),weak,classified by morphological evidence
adreden,adreden,,"adrad(6), adred(2)",weak,classified by morphological evidence
affraien,affraien,,"affrayed(4), affraied(1)",weak,classified by morphological evidence
agasten,agasten,,agast(36),weak,classified by morphological evidence
agilten,agilten,"agilte(2), agylte(2)",agilt(1),weak,classified by morphological evidence
agon,agonen,,ago(1),unclear,mixed or insufficient evidence
agreven,agreven,,agreved(2),weak,classified by morphological evidence
agrisen,agrisen,agroos(2),,strong,classified by morphological evidence
alteren,alteren,altered(2),,weak,classified by morphological evidence
amenden,amenden,amended(1),amended(8),weak,classified by morphological evidence
anhongen,anhongen,,"anhanged(6), anhonged(2)",weak,classified by morphological evidence
annexen,annexen,,annexed(4),weak,classified by morphological evidence
answeren,answeren,"answerde(155), answerd(8), answered(7), answerede(4)","answered(2), answerd(1)",weak,classified by morphological evidence
apallen,apallen,,"apalled(2), appalled(2)",weak,classified by morphological evidence
apiken,apiken,,apiked(2),weak,classified by morphological evidence
appointen,appointen,"apointed(1), apoynted(1)","apointed(1), apoynted(1)",weak,classified by morphological evidence
apposen,apposen,apposed(2),,weak,classified by morphological evidence
aqueinten,aqueinten,,"aqueinted(1), aqueynted(1)",weak,classified by morphological evidence
aretten,aretten,,"aretted(1), arretted(1)",weak,classified by morphological evidence
arguen,arguen,argued(2),,weak,classified by morphological evidence
argumenten,argumenten,argumented(2),,weak,classified by morphological evidence
arisen,arisen,"aros(3), aroos(2)",arisen(2),strong,known strong verb
ariven,ariven,,"arrived(1), arryved(1), arived(1), aryved(1)",weak,classified by morphological evidence
armen,armen,,armed(7),weak,classified by morphological evidence
arraien,arraien,arrayed(2),"arrayed(11), arayed(3), araied(1)",weak,classified by morphological evidence
asken,asken,"axed(14), asked(10), axede(1)",axed(4),weak,classified by morphological evidence
aslaken,aslaken,,aslaked(2),weak,classified by morphological evidence
aspien,aspien,"aspied(4), espyed(2), aspyed(1), aspyede(1)","espyed(3), espied(2), aspied(1)",unclear,mixed or insufficient evidence
assaien,assaien,,"assayed(11), assaied(1)",weak,classified by morphological evidence
assaillen,assaillen,,"assailled(4), assailed(1), assayled(1)",weak,classified by morphological evidence
assegen,assegen,,asseged(2),weak,classified by morphological evidence
assemblen,assemblen,assembled(2),assembled(6),weak,classified by morphological evidence
assenten,assenten,,assented(6),weak,classified by morphological evidence
assuren,assuren,assured(2),assured(6),weak,classified by morphological evidence
asterten,asterten,,astert(2),weak,classified by morphological evidence
astonen,astonen,"astoned(1), astonyed(1)",,weak,classified by morphological evidence
astoren,astoren,,astored(2),weak,classified by morphological evidence
auntren,auntren,auntred(2),,weak,classified by morphological evidence
avisen,avisen,,"avised(7), avysed(7)",weak,classified by morphological evidence
awaken,awaken,awook(5),,strong,classified by morphological evidence
awreken,awreken,,awroken(2),strong,classified by morphological evidence
