infinitive,headword,category,known_strong,ppl_strong_forms,ppl_weak_forms,ppl_unclear_forms,pt_strong_forms,pt_weak_forms,pt_unclear_forms,ppl_strong_count,ppl_weak_count,ppl_unclear_count,pt_strong_count,pt_weak_count,pt_unclear_count,total_occurrences
abien,abien,unclear,False,,aboght(2),,aboughte(2),,,0,2,0,2,0,0,4
agonen,agon,unclear,False,,,ago(1),,,,0,0,1,0,0,0,1
aspien,aspien,unclear,False,,espyed(3); aspied(1); espied(2),,espyed(2); aspyed(1); aspyede(1),aspied(4),,0,6,0,4,4,0,14
bien,bien,unclear,False,,bought(2); yboght(1); boght(4),,boghte(4),bought(1),,0,7,0,4,1,0,12
bigonen,bigon,unclear,False,,,bigon(1); bygon(1),,,,0,0,2,0,0,0,2
bilden,bilden,unclear,False,,,,bulte(2),bilt(2),,0,0,0,2,2,0,4
bireven,bireven,unclear,False,,bireved(2); biraft(4),,berafte(2); byraft(1),birafte(7); biraft(2),,0,6,0,3,9,0,18
birien,birien,unclear,False,,yburied(2); iburied(1); yburyed(1),,buried(1); buryed(1),,,0,4,0,2,0,0,6
bisechen,bisechen,unclear,False,,,,bysoughte(1),bisoughte(5),,0,0,0,1,5,0,6
bisen,bisen,unclear,False,,,besein(1); biseyn(1),,,,0,0,2,0,0,0,2
bisetten,bisetten,unclear,False,,biset(8); byset(2); beset(4),,besette(1),,,0,14,0,1,0,0,15
bitaken,bitaken,unclear,False,,,,,,bitook(2),0,0,0,0,0,2,2
bithinken,bithinken,unclear,False,,,,bethoghte(3); bythought(1),bithoughte(1),,0,0,0,4,1,0,5
bitiden,bitiden,unclear,False,bitidde(1),bitid(4); bityd(1); betid(3); betyd(4),,,bitidde(1),,1,12,0,0,1,0,14
breuen,breuen,unclear,False,,,,,,brew(1),0,0,0,0,0,1,1
bringen,bringen,unclear,False,,brought(21); ybrought(1); broght(31); ybroght(1),,broghte(36); broght(3); broughte(8); brought(3),,,0,54,0,50,0,0,104
casten,casten,unclear,False,casten(2),ycast(2); cast(5),,,caste(58); cast(4),,2,7,0,0,62,0,71
connen,connen,unclear,False,ykoude(1),coud(1); ykoud(1); koud(1),,,coude(142); koude(175); koud(2); coud(14); kowde(2),kouth(3); couthe(3); couth(3); kouthe(3),1,3,0,0,335,12,351
crien,crien,unclear,False,,cried(6); cryd(2),,cryde(5); cryed(1),cride(21); cried(11); criede(1),,0,8,0,6,33,0,47
dien,dien,unclear,False,,dyed(1),,deide(7); deyde(6); dyde(3); deyede(2); deid(1); deied(2); dyed(1),died(5),,0,1,0,22,5,0,28
dreden,dreden,unclear,False,,,,dradde(1),dradde(1); dredde(6); dred(1),,0,0,0,1,8,0,9
drenchen,drenchen,unclear,False,dreinte(1); dreynte(1),drent(1); dreynt(5); dreint(2),,,dreint(1); dreinte(1),,2,8,0,0,2,0,12
durren,durren,unclear,False,,,,dorste(41); dorst(3),dorste(41); dorst(4); durste(10); durst(1),,0,0,0,44,56,0,100
dwellen,dwellen,unclear,False,,dwelt(4); dwelled(4),,duelled(1),dwelte(12); dwelled(9),,0,8,0,1,21,0,30
forbeden,forbeden,unclear,False,forbode(2),,,,forbad(4),,2,0,0,0,4,0,6
forberen,forberen,unclear,False,,,,,,forbar(3),0,0,0,0,0,3,3
fordon,fordon,unclear,False,,,fordon(1); fordoon(2),,,,0,0,3,0,0,0,3
forgon,forgon,unclear,False,,,forgon(2),,,,0,0,2,0,0,0,2
grinden,grinden,unclear,False,grounden(2),,,,grinte(1); grynte(1),,2,0,0,0,2,0,4
grouen,grouen,unclear,False,growe(2); growen(2); ygrowen(2),,,grew(2),growed(2),,6,0,0,2,2,0,10
haven,haven,unclear,False,hadde(1),had(48),,,hadde(740); had(407),,1,48,0,0,1147,0,1196
heren,heren,unclear,False,herde(3),herd(135),,,herde(137); herd(11),,3,135,0,0,148,0,286
herien,herien,unclear,False,,yheried(5); heried(7); heryed(1); iheryed(1); haried(1); haryed(1),,harwed(2),harwed(2),,0,16,0,2,2,0,20
hiden,hiden,unclear,False,,hid(11); hyd(1); yhid(2),,hydde(1),hidde(9),,0,14,0,1,9,0,24
hongen,hongen,unclear,False,,hanged(8),,heng(21); henge(2); heeng(5),,heng(6),0,8,0,28,0,6,42
hoten,hoten,unclear,False,hoote(1),hight(2),,highte(47); hight(6); hette(1),highte(18); hight(4),,1,2,0,54,22,0,79
imaginen,imaginen,unclear,False,,,,ymagened(1),imagined(1),,0,0,0,1,1,0,2
iwerken,iwerken,unclear,False,ywroghte(1),ywrought(2); iwrought(2); ywroght(3),,,,,1,7,0,0,0,0,8
kennen,kennen,unclear,False,kende(1),kend(1),,,,,1,1,0,0,0,0,2
kissen,kissen,unclear,False,kiste(1),kist(4),,,kiste(28),,1,4,0,0,28,0,33
leden,leden,unclear,False,,led(4); lad(11),,ladde(15); lad(1),ledde(3),,0,15,0,16,3,0,34
leien,leien,unclear,False,,leid(6); leyd(7); layd(1),,laye(1),leide(18); leyde(23); leid(2),leye(1),0,14,0,1,43,1,59
leven,leven,unclear,False,,left(7); laft(4),,laft(1); lafte(6),lefte(19); left(6),,0,11,0,7,25,0,43
liken,liken,unclear,False,,,,lyked(3),liked(10); likede(1),,0,0,0,3,11,0,14
liven,liven,unclear,False,,lived(2); lyved(2); ilyved(1),,lyved(6); lyvede(2); levede(1),lived(4); livede(4),,0,5,0,9,8,0,22
losen,losen,unclear,False,loste(1),lost(95); ylost(5),,,lost(2); loste(20),,1,100,0,0,22,0,123
maken,maken,unclear,False,made(5); maden(1),maked(32); maad(82); mad(22),,,made(279); maked(20); maade(1); maad(6); mad(1),,6,136,0,0,307,0,449
meten,meten,unclear,False,mette(1),met(11); ymet(1),,,mette(41); met(6),,1,12,0,0,47,0,60
misforyeven,misforyeven,unclear,False,,,,,,mysforyaf(1),0,0,0,0,0,1,1
misspeken,misspeken,unclear,False,,,,,,misspak(1); mysspak(1),0,0,0,0,0,2,2
mouen,mouen,unclear,False,,,,might(43); mighte(165); myghte(221); myght(24),might(1); myghte(1),,0,0,0,453,2,0,455
overtaken,overtaken,unclear,False,,,,,,overtoke(1); overtok(1),0,0,0,0,0,2,2
performen,performen,unclear,False,,parfourned(8),,parfourned(2),,,0,8,0,2,0,0,10
pleien,pleien,unclear,False,pleide(1),pleyed(1); played(1); pleyd(4); pleid(1),,,pleyde(2); pleide(1),,1,7,0,0,3,0,11
preien,preien,unclear,False,,preied(1); preyed(7); prayed(1),,prayed(3); praid(1); prayede(1); praide(1),preide(8); preyde(9); preyede(10); preyed(10); preiede(1),,0,9,0,6,38,0,53
preven,preven,unclear,False,,preved(13); preeved(4); ypreved(2),,proved(1),,,0,19,0,1,0,0,20
priken,priken,unclear,False,,,,pryked(1),priked(1),,0,0,0,1,1,0,2
reden,reden,unclear,False,,red(13); rad(10),,radde(5),redde(11),,0,23,0,5,11,0,39
reinen,reinen,unclear,False,,,,ron(2),reined(1); reyned(1),,0,0,0,2,2,0,4
reven,reven,unclear,False,,raft(2); reft(3),,rafte(6); raft(1),refte(8); reft(1),,0,5,0,7,9,0,21
riven,riven,unclear,False,,,,,,roof(1); rof(1),0,0,0,0,0,2,2
sechen,sechen,unclear,False,,soght(2),,soughte(4); soghte(1),,,0,2,0,5,0,0,7
seien,seien,unclear,False,seide(1),seyd(66); seid(57); said(1),,sayde(8); saide(3); sayd(2); said(6); sayed(1); sayede(1),seid(47); seide(390); seyde(472),,1,124,0,21,909,0,1055
shitten,shitten,unclear,False,shette(1),shet(4),,shet(1); shette(4),shette(1),,1,4,0,5,1,0,11
shouven,shouven,unclear,False,,,,,,shof(3); shoof(1),0,0,0,0,0,4,4
siken,siken,unclear,False,,siked(2),,syghte(1),siked(8); sighte(10),,0,2,0,1,18,0,21
sitten,sitten,unclear,False,seten(4),,,satte(3); sat(89); set(1); sete(1); sate(2),sat(2),,4,0,0,96,2,0,102
smilen,smilen,unclear,False,,,,smyled(1),smiled(1),,0,0,0,1,1,0,2
speden,speden,unclear,False,spedde(2),sped(3),,,spedde(6),,2,3,0,0,6,0,11
spien,spien,unclear,False,,,,spyed(1),spied(1),,0,0,0,1,1,0,2
spreden,spreden,unclear,False,,sprad(2),,spradde(2),,,0,2,0,2,0,0,4
sterten,sterten,unclear,False,,stert(2); stirt(2),,stirte(18); stirt(1),sterte(8); stert(1),,0,4,0,19,9,0,32
stinken,stinken,unclear,False,,,,,,stank(2),0,0,0,0,0,2,2
stinten,stinten,unclear,False,,stint(1); stynt(1); stinted(1); stynted(1),,stente(1); stynte(5),stinte(3),,0,4,0,6,3,0,13
surmounten,surmounten,unclear,False,surmountede(1),surmounted(1),,,,,1,1,0,0,0,0,2
swiven,swiven,unclear,False,,swived(2); swyved(3),,swyved(1),swived(1),,0,5,0,1,1,0,7
techen,techen,unclear,False,,taught(13),,taughte(16); taught(1),taughte(2),,0,13,0,17,2,0,32
tellen,tellen,unclear,False,tolde(1),told(65); toold(21); tald(2),,tolde(109); told(7); toolde(1); toold(1),,,1,88,0,118,0,0,207
thanken,thanken,unclear,False,,thanked(18); ythanked(2); ythonked(3); thonked(4),,thonked(11),thanked(11),,0,27,0,11,11,0,49
thinken,thinken,unclear,False,,thought(2),,thoughte(197); thought(16); thoghte(44); thoght(11),thought(1); thoughte(1),,0,2,0,268,2,0,272
turnen,turnen,unclear,False,,yturned(1); tourned(1); torned(5); turned(22),,torned(7); tornede(2),turnede(1); turned(4),,0,29,0,9,5,0,43
werken,werken,unclear,False,wroughte(1),wrought(7); wroght(16),,wroghte(16); wroughte(2),,,1,23,0,18,0,0,42
willen,willen,unclear,False,,,,wolde(683); wold(45),wolde(53); wold(2),,0,0,0,728,55,0,783
wipen,wipen,unclear,False,,,,wyped(1),wiped(3),,0,0,0,1,3,0,4
witen,witen,unclear,False,,wist(28),,woot(1); wot(1); wyste(3),wiste(116); wist(9),,0,28,0,5,125,0,158
