infinitive,headword,category,known_strong,ppl_strong_forms,ppl_weak_forms,ppl_unclear_forms,pt_strong_forms,pt_weak_forms,pt_unclear_forms,ppl_strong_count,ppl_weak_count,ppl_unclear_count,pt_strong_count,pt_weak_count,pt_unclear_count,total_occurrences
abaishen,abaishen,weak,False,,abaist(2); abayst(2); abasht(1),,,,,0,5,0,0,0,0,5
accepten,accepten,weak,False,,accepted(2),,,,,0,2,0,0,0,0,2
accorden,accorden,weak,False,,acorded(13); accorded(5),,,acorded(3); accorded(1),,0,18,0,0,4,0,22
accounten,accounten,weak,False,,,,,acounted(2),,0,0,0,0,2,0,2
acheven,acheven,weak,False,,acheved(2),,,acheved(2),,0,2,0,0,2,0,4
acursen,acursen,weak,False,,acursed(3); acorsed(2),,,,,0,5,0,0,0,0,5
adauen,adauen,weak,False,,adawed(2),,,,,0,2,0,0,0,0,2
adden,adden,weak,False,,,,,added(2),,0,0,0,0,2,0,2
adouren,adouren,weak,False,,adoured(1),,,,,0,1,0,0,0,0,1
adreden,adreden,weak,False,,adrad(6); adred(2),,,,,0,8,0,0,0,0,8
affraien,affraien,weak,False,,affrayed(4); affraied(1),,,,,0,5,0,0,0,0,5
agasten,agasten,weak,False,,agast(36),,,,,0,36,0,0,0,0,36
agilten,agilten,weak,False,,agilt(1),,,agilte(2); agylte(2),,0,1,0,0,4,0,5
agreven,agreven,weak,False,,agreved(2),,,,,0,2,0,0,0,0,2
alteren,alteren,weak,False,,,,,altered(2),,0,0,0,0,2,0,2
amenden,amenden,weak,False,,amended(8),,,amended(1),,0,8,0,0,1,0,9
anhongen,anhongen,weak,False,,anhonged(2); anhanged(6),,,,,0,8,0,0,0,0,8
annexen,annexen,weak,False,,annexed(4),,,,,0,4,0,0,0,0,4
answeren,answeren,weak,False,,answered(2); answerd(1),,,answerde(155); answered(7); answerd(8); answerede(4),,0,3,0,0,174,0,177
apallen,apallen,weak,False,,apalled(2); appalled(2),,,,,0,4,0,0,0,0,4
apiken,apiken,weak,False,,apiked(2),,,,,0,2,0,0,0,0,2
appointen,appointen,weak,False,,apointed(1); apoynted(1),,,apointed(1); apoynted(1),,0,2,0,0,2,0,4
apposen,apposen,weak,False,,,,,apposed(2),,0,0,0,0,2,0,2
aqueinten,aqueinten,weak,False,,aqueinted(1); aqueynted(1),,,,,0,2,0,0,0,0,2
aretten,aretten,weak,False,,aretted(1); arretted(1),,,,,0,2,0,0,0,0,2
arguen,arguen,weak,False,,,,,argued(2),,0,0,0,0,2,0,2
argumenten,argumenten,weak,False,,,,,argumented(2),,0,0,0,0,2,0,2
ariven,ariven,weak,False,,arrived(1); arryved(1); arived(1); aryved(1),,,,,0,4,0,0,0,0,4
armen,armen,weak,False,,armed(7),,,,,0,7,0,0,0,0,7
arraien,arraien,weak,False,,arayed(3); araied(1); arrayed(11),,,arrayed(2),,0,15,0,0,2,0,17
asken,asken,weak,False,,axed(4),,,axed(14); asked(10); axede(1),,0,4,0,0,25,0,29
aslaken,aslaken,weak,False,,aslaked(2),,,,,0,2,0,0,0,0,2
assaien,assaien,weak,False,,assayed(11); assaied(1),,,,,0,12,0,0,0,0,12
assaillen,assaillen,weak,False,,assailed(1); assayled(1); assailled(4),,,,,0,6,0,0,0,0,6
assegen,assegen,weak,False,,asseged(2),,,,,0,2,0,0,0,0,2
assemblen,assemblen,weak,False,,assembled(6),,,assembled(2),,0,6,0,0,2,0,8
assenten,assenten,weak,False,,assented(6),,,,,0,6,0,0,0,0,6
assuren,assuren,weak,False,,assured(6),,,assured(2),,0,6,0,0,2,0,8
asterten,asterten,weak,False,,astert(2),,,,,0,2,0,0,0,0,2
astonen,astonen,weak,False,,,,,astoned(1); astonyed(1),,0,0,0,0,2,0,2
