headword,strong_forms,weak_forms,unclear_forms,strong_count,weak_count,unclear_count,classification
abiden,abiden(2); biden(1),,,3,0,0,strong
arisen,arisen(1),,,1,0,0,strong
awreken,awroken(1); awreke(1),,,2,0,0,strong
beden,bode(1),,,1,0,0,strong
ben,ben(25); been(37); be(17),,,79,0,0,strong
bicomen,bicomen(2); become(1); bicome(1),,,4,0,0,strong
bidden,bede(1),,,1,0,0,strong
bifallen,bifalle(2),,,2,0,0,strong
biholden,beholde(1); biholde(1),,,2,0,0,strong
binden,ybounde(3); bounden(3); bounde(1); ybounden(2),,,9,0,0,strong
biyeten,bigeten(1),,,1,0,0,strong
breken,broke(2); broken(4),,,6,0,0,strong
bresten,brosten(2),,,2,0,0,strong
chesen,chose(1); chosen(5),,,6,0,0,strong
climben,clomben(2),,,2,0,0,strong
comen,come(36); comen(17); ycomen(4); icomen(1); ycome(3),,com(2),61,0,2,strong
crepen,cropen(2),,,2,0,0,strong
crouen,ycrowe(1); crowe(1),,,2,0,0,strong
delven,dolven(1),,,1,0,0,strong
drauen,ydrawe(5); drawe(2),,draw(1),7,0,1,strong
drinken,dronken(5); dronke(2),,,7,0,0,strong
driven,driven(5); drive(4),,,9,0,0,strong
eten,eten(3),,,3,0,0,strong
fallen,falle(12); fallen(4); yfallen(1); yfalle(2),,,19,0,0,strong
fighten,foughten(1),,,1,0,0,strong
flien,flowen(1),,,1,0,0,strong
forbeden,forbode(1),,,1,0,0,strong
forsaken,forsaken(1),,,1,0,0,strong
forshapen,forshapen(1),,,1,0,0,strong
foryeten,forgeten(2); foryeten(3),,,5,0,0,strong
foryeven,foryeven(1); foryive(1),,,2,0,0,strong
grouen,growe(1); growen(1); ygrowen(1),,,3,0,0,strong
helpen,holpen(6); holpe(1),,,7,0,0,strong
iben,ybe(4); ybeen(3),,,7,0,0,strong
ifinden,founde(1); yfounde(6),,,7,0,0,strong
iholden,yholde(4); holden(1),,,5,0,0,strong
iknouen,yknowe(2); yknowen(4),,,6,0,0,strong
inimen,ynome(2),,,2,0,0,strong
irennen,yronne(7); yronnen(1),,,8,0,0,strong
ishapen,yshape(1); yshapen(4),,,5,0,0,strong
ishriven,yshrive(1),,,1,0,0,strong
isouen,ysowen(1); ysowe(1),,,2,0,0,strong
ispeken,yspoken(1); yspoke(1),,,2,0,0,strong
itaken,ytake(5),,,5,0,0,strong
iwinnen,ywonne(6),,,6,0,0,strong
kerven,corven(3),,,3,0,0,strong
knouen,knowen(9); knowe(4),,know(1),13,0,1,strong
leten,lete(2),,,2,0,0,strong
melten,molte(3),,,3,0,0,strong
misbeden,misboden(1),,,1,0,0,strong
nimen,nome(2); nomen(1),,,3,0,0,strong
overcomen,overcome(4),,,4,0,0,strong
overshaken,overshake(3),,,3,0,0,strong
oversheten,overshette(1),,,1,0,0,strong
overthrouen,overthrowe(2),,,2,0,0,strong
riden,riden(7),,,7,0,0,strong
risen,risen(4),,,4,0,0,strong
shaken,shake(1),,,1,0,0,strong
shapen,shape(5); shapen(12),,,17,0,0,strong
shaven,yshave(2); shave(2),,,4,0,0,strong
sheren,yshore(1),,shorn(1),1,0,1,strong
shouven,shove(2),,,2,0,0,strong
shriven,shriven(2),,,2,0,0,strong
singen,songe(5); ysonge(3); songen(2),,,10,0,0,strong
sinken,sonken(2),,,2,0,0,strong
sitten,seten(2),,,2,0,0,strong
slen,slawen(1); slawe(6); slaine(1); yslawe(1),,slain(49); yslain(5),9,0,54,strong
speken,spoken(7); spoke(3),,,10,0,0,strong
springen,spronge(2); yspronge(1),,,3,0,0,strong
stelen,stole(3),,stoln(2),3,0,2,strong
steppen,stapen(1),,,1,0,0,strong
stingen,stongen(1),,,1,0,0,strong
strepen,strepen(1),,,1,0,0,strong
surmounten,surmountede(1),,,1,0,0,strong
swinken,swonken(1),,,1,0,0,strong
taken,take(17); taken(8),,,25,0,0,strong
tobreken,tobroke(1),,,1,0,0,strong
tobresten,tobrosten(1),,,1,0,0,strong
toheuen,tohewen(1),,,1,0,0,strong
treden,troden(1),,,1,0,0,strong
understonden,understonde(6),,,6,0,0,strong
unknouen,unknowen(2); unknowe(3),,,5,0,0,strong
washen,wasshen(1),,,1,0,0,strong
winnen,wonne(12); wonnen(3),,,15,0,0,strong
withdrauen,withdrawe(1),,,1,0,0,strong
withholden,withholde(2),,,2,0,0,strong
withstonden,withstonde(1),,,1,0,0,strong
wreken,wreke(2); wroken(1); ywroke(1); wreken(1),,,5,0,0,strong
writen,writen(12); ywriten(4); written(1); write(2); ywrite(1),,,20,0,0,strong
yelden,yolden(1),,,1,0,0,strong
yeven,yive(5); yeve(6); yeven(14); iyive(1); yiven(1),,,27,0,0,strong
