file,ger_compliance_pct,ger_following,ger_violating,overall_compliance_pct,total_following,total_lines,total_violating,v%inf_compliance_pct,v%inf_following,v%inf_violating,v%ppl_compliance_pct,v%ppl_following,v%ppl_violating,v%pr_1_compliance_pct,v%pr_1_following,v%pr_1_violating,v%pr_2_compliance_pct,v%pr_2_following,v%pr_2_violating,v%pr_3_compliance_pct,v%pr_3_following,v%pr_3_violating,v%pr_pl_compliance_pct,v%pr_pl_following,v%pr_pl_violating,v%pt_1_compliance_pct,v%pt_1_following,v%pt_1_violating,v%pt_2_compliance_pct,v%pt_2_following,v%pt_2_violating,v%pt_3_compliance_pct,v%pt_3_following,v%pt_3_violating,v%pt_compliance_pct,v%pt_following,v%pt_pl_compliance_pct,v%pt_pl_following,v%pt_pl_violating,v%pt_violating
ShipT_gui_complete.csv,50.0,1,1,94.43,424,434,25,91.96,103,9,100.0,35,0,100.0,45,0,100.0,1,0,100.0,89,0,64.71,22,12,100.0,12,0,0.0,0,0,100.0,108,0,0.0,0,72.73,8,3,0
WBT_gui_complete.csv,0.0,0,2,92.71,394,408,31,84.75,100,18,100.0,25,0,100.0,33,0,100.0,5,0,100.0,88,0,80.0,32,8,100.0,5,0,0.0,0,0,100.0,104,0,0.0,0,40.0,2,3,0
MerPro_gui_complete.csv,0.0,0,2,95.65,44,32,2,100.0,12,0,100.0,6,0,100.0,6,0,0.0,0,0,100.0,8,0,100.0,2,0,100.0,3,0,0.0,0,0,100.0,6,0,0.0,0,100.0,1,0,0
LGW_gui_complete.csv,13.04,6,40,95.15,2218,2144,113,94.24,507,31,100.0,281,0,100.0,107,0,100.0,26,0,100.0,483,0,68.52,74,34,100.0,26,0,100.0,8,0,100.0,637,0,0.0,0,88.73,63,8,0
FriPro_gui_complete.csv,0.0,0,1,87.5,28,36,4,100.0,13,0,100.0,2,0,100.0,1,0,0.0,0,0,100.0,6,0,25.0,1,3,100.0,1,0,0.0,0,0,100.0,4,0,0.0,0,0.0,0,0,0
TC2_gui_complete.csv,54.17,13,11,96.21,1876,1757,74,94.2,487,30,100.0,115,0,100.0,151,0,100.0,19,0,100.0,383,0,78.17,111,31,100.0,39,0,100.0,2,0,100.0,508,0,0.0,0,96.0,48,2,0
CYT_gui_complete.csv,11.11,3,24,91.3,777,762,74,91.3,189,18,100.0,66,0,100.0,66,0,100.0,1,0,100.0,174,0,61.84,47,29,100.0,14,0,0.0,0,0,100.0,193,0,0.0,0,88.89,24,3,0
LGW_FPro_gui_complete.csv,45.0,9,11,93.97,530,579,34,95.68,133,6,100.0,56,0,100.0,40,0,100.0,18,0,100.0,113,0,67.44,29,14,100.0,27,0,100.0,1,0,100.0,81,0,0.0,0,88.46,23,3,0
MancT_gui_complete.csv,12.5,1,7,94.83,257,258,14,92.86,65,5,100.0,30,0,100.0,12,0,100.0,6,0,100.0,65,0,85.71,12,2,100.0,4,0,100.0,4,0,100.0,57,0,0.0,0,100.0,1,0,0
FriT_gui_complete.csv,28.57,2,5,93.0,385,364,29,90.29,93,10,100.0,22,0,100.0,46,0,100.0,12,0,100.0,54,0,67.44,29,14,100.0,10,0,100.0,2,0,100.0,104,0,0.0,0,100.0,11,0,0
ABC_gui_complete.csv,100.0,2,0,97.42,189,184,5,95.65,44,2,100.0,21,0,100.0,18,0,100.0,21,0,100.0,40,0,81.25,13,3,100.0,2,0,100.0,1,0,100.0,24,0,0.0,0,100.0,3,0,0
