headword,forms,following_rules,violating_rules,total,compliance_pct
abaishen,"['abaist', 'abasshed']",4,0,4,100.0
abaten,['abate'],1,0,1,100.0
abiden,"['abiden', 'abit', 'abood', 'abideth', 'abidest', 'biden', 'abide', 'abode']",59,0,59,100.0
abien,"['abyen', 'aboughte', 'abie', 'abeie', 'aboght', 'abegge']",11,0,11,100.0
abreggen,"['abrigge', 'abregge']",7,0,7,100.0
abrochen,['abroche'],1,0,1,100.0
absenten,['absente'],1,0,1,100.0
accepten,"['accepteth', 'accepted']",4,0,4,100.0
accomplisshen,['accomplice'],1,0,1,100.0
accorden,"['acordeden', 'accordeth', 'accorded', 'acordeth', 'acorded', 'acorde', 'accorde']",28,0,28,100.0
accounten,['acounted'],1,0,1,100.0
accusen,"['accuse', 'accusen', 'accused', 'acused']",5,0,5,100.0
acheven,"['acheveth', 'acheve']",4,0,4,100.0
acloien,['acloyeth'],1,0,1,100.0
acoien,['acoie'],1,0,1,100.0
acursen,"['acorse', 'acursed', 'acurse']",6,0,6,100.0
adden,['added'],1,0,1,100.0
adouren,['adoured'],1,0,1,100.0
adournen,['adorneth'],1,0,1,100.0
adreden,"['adred', 'adrad']",5,0,5,100.0
affermen,"['afferme', 'affermeth', 'affermed', 'affirmed']",4,0,4,100.0
affilen,['affile'],2,0,2,100.0
afrighten,['afright'],1,0,1,100.0
agasten,"['agast', 'agaste', 'agasteth']",29,0,29,100.0
agilten,"['agilte', 'agilt', 'agilten']",9,0,9,100.0
agon,"['ago', 'agon', 'agoon']",35,0,35,100.0
agreen,"['agren', 'agree']",3,0,3,100.0
agreven,"['ygreved', 'agreved', 'greveth']",5,0,5,100.0
agrisen,"['agrise', 'agroos']",7,0,7,100.0
agroteien,['agroted'],1,0,1,100.0
ajournen,['ajourne'],1,0,1,100.0
aken,['ake'],3,0,3,100.0
aking,['akinge'],1,0,1,100.0
allien,"['allie', 'allied', 'allien']",6,0,6,100.0
alosen,['alose'],1,0,1,100.0
alteren,['altered'],1,0,1,100.0
amaien,['amaied'],2,0,2,100.0
amalgaming,['amalgaming'],0,1,1,0.0
amenden,"['amende', 'amended', 'amenden', 'amend']",38,0,38,100.0
ameven,['ameved'],1,0,1,100.0
amounten,['amounteth'],4,0,4,100.0
anhongen,"['anhonged', 'anhanged', 'anhange']",7,0,7,100.0
annexen,['annexed'],2,0,2,100.0
anoien,"['anoyed', 'anoyeth', 'anoyen', 'anoie']",9,0,9,100.0
answeren,"['answerden', 'answereth', 'answerd', 'answer', 'answere', 'answered', 'answerede', 'answerde']",139,4,143,97.2
answering,['answering'],0,3,3,0.0
apaien,"['apaid', 'apaied']",14,0,14,100.0
apallen,"['appalled', 'apalled']",2,0,2,100.0
apeiren,"['apeired', 'apeire']",2,0,2,100.0
apiken,['apiked'],1,0,1,100.0
appareillen,"['apparaillen', 'apparaile', 'apparail']",2,1,3,66.67
appareilling,['apparaillinge'],1,0,1,100.0
apperceiven,"['aperceive', 'aparceive', 'aperceiveth']",3,0,3,100.0
appesen,"['apese', 'apeisen', 'apesed']",8,0,8,100.0
appetiten,['appetiteth'],1,0,1,100.0
appointen,"['apointe', 'apointeden', 'apointed']",5,0,5,100.0
apposen,['apposed'],1,0,1,100.0
approchen,"['aprochen', 'approched', 'aproche', 'approcheth', 'approche', 'approchen']",8,0,8,100.0
aqueinten,"['aqueinted', 'aqueinte']",2,0,2,100.0
aquiten,['acquite'],2,0,2,100.0
aracen,['arace'],4,0,4,100.0
araisen,['areised'],1,0,1,100.0
aresten,"['aresten', 'areste']",3,0,3,100.0
aretten,['aretted'],1,0,1,100.0
arguen,"['argued', 'argue', 'arguwe']",3,0,3,100.0
arguing,['arguinge'],1,0,1,100.0
argumenten,"['argumenten', 'argumented']",2,0,2,100.0
arisen,"['arise', 'arisen', 'arist', 'ascry', 'ariseth', 'aroos']",28,0,28,100.0
arising,['arising'],0,1,1,0.0
ariven,"['arrived', 'arive', 'arriven', 'arrive', 'arived', 'arriveth']",9,0,9,100.0
armen,"['armen', 'armeth', 'armed']",6,0,6,100.0
arming,['arminge'],1,0,1,100.0
arraien,"['arraye', 'arrayed', 'arraieth', 'arraied', 'arayed', 'araied']",18,0,18,100.0
arten,['arten'],1,0,1,100.0
ascenden,"['ascende', 'ascended']",2,0,2,100.0
asken,"['axe', 'asked', 'asketh', 'aske', 'axed', 'axest', 'axen', 'ax', 'asken', 'ask', 'axeth']",76,4,80,95.0
askinge,"['asking', 'axinge', 'axing']",1,3,4,25.0
aslaken,"['aslake', 'aslaked']",2,0,2,100.0
aspien,"['espyen', 'aspyede', 'aspien', 'aspie', 'aspied', 'espyed', 'espien', 'aspide', 'spie', 'espid', 'espie', 'espide', 'espied']",67,0,67,100.0
assaien,"['assaye', 'assaie', 'assayen', 'assayed', 'assaied', 'assay', 'so']",22,0,22,100.0
assaillen,"['assailled', 'assaille', 'assailleth', 'm']",5,0,5,100.0
assegen,"['asseged', 'assegeden']",2,0,2,100.0
