headword,strong_forms,weak_forms,unclear_forms,strong_count,weak_count,unclear_count,classification
abaishen,,abaist(2),,0,2,0,weak
abien,,aboght(2),,0,2,0,weak
accepten,,accepted(1),,0,1,0,weak
accorden,,acorded(6); accorded(3),,0,9,0,weak
acheven,,acheved(1),,0,1,0,weak
acursen,,acursed(2),,0,2,0,weak
adreden,,adrad(4); adred(1),,0,5,0,weak
affermen,,affirmed(1),,0,1,0,weak
afrighten,,afright(1),,0,1,0,weak
agasten,,agast(17),,0,17,0,weak
agilten,,agilt(1),,0,1,0,weak
agreven,,agreved(2); ygreved(1),,0,3,0,weak
allien,,allied(1),,0,1,0,weak
amaien,,amaied(2),,0,2,0,weak
amenden,,amended(9),,0,9,0,weak
anhongen,,anhonged(1); anhanged(3),,0,4,0,weak
annexen,,annexed(2),,0,2,0,weak
anoien,,anoyed(1),,0,1,0,weak
answeren,,answered(1); answerd(1),,0,2,0,weak
apaien,,apaid(6); apaied(4),,0,10,0,weak
apallen,,apalled(1); appalled(1),,0,2,0,weak
apeiren,,apeired(1),,0,1,0,weak
apiken,,apiked(1),,0,1,0,weak
appesen,,apesed(2),,0,2,0,weak
appointen,,apointed(1),,0,1,0,weak
aqueinten,,aqueinted(1),,0,1,0,weak
aretten,,aretted(1),,0,1,0,weak
ariven,,arrived(1); arived(1),,0,2,0,weak
armen,,armed(3),,0,3,0,weak
arraien,,arayed(2); arrayed(5); araied(1); arraied(1),,0,9,0,weak
asken,,axed(2),,0,2,0,weak
aslaken,,aslaked(1),,0,1,0,weak
aspien,,espyed(2); espied(1),,0,3,0,weak
assaien,,assayed(6); assaied(3),,0,9,0,weak
assaillen,,assailed(1); assailled(2),,0,3,0,weak
assegen,,asseged(1),,0,1,0,weak
assenten,,assented(3),,0,3,0,weak
assuren,,assured(3),,0,3,0,weak
asterten,,astert(1),,0,1,0,weak
astoren,,astored(1),,0,1,0,weak
avisen,,avised(8),,0,8,0,weak
awaken,,awaked(1),,0,1,0,weak
banishen,,banished(1),,0,1,0,weak
bathen,,ybathed(1); bathed(1),,0,2,0,weak
bedden,,ybedded(1),,0,1,0,weak
bibben,,bibbed(1),,0,1,0,weak
bien,,ybought(2); bought(2); boght(2),,0,6,0,weak
bigilen,,bigiled(5),,0,5,0,weak
bihoten,,bihight(2),,0,2,0,weak
bijapen,,bijaped(4),,0,4,0,weak
bireven,,bireved(1); biraft(6),,0,7,0,weak
birien,,yburied(2),,0,2,0,weak
bisegen,,biseged(3),,0,3,0,weak
bishetten,,bishet(1),,0,1,0,weak
bistouen,,bistowed(4),,0,4,0,weak
bithinken,,bithoght(1),,0,1,0,weak
bitraien,,bitrayed(2),,0,2,0,weak
biwailen,,biwailled(1),,0,1,0,weak
biwaren,,biwared(1),,0,1,0,weak
biwreien,,biwreid(1),,0,1,0,weak
blaken,,blaked(1),,0,1,0,weak
blasfemen,,blasphemed(1),,0,1,0,weak
blessen,,blessed(7); yblessed(3),,0,10,0,weak
borwen,,borwed(1),,0,1,0,weak
brennen,,ybrent(2); brent(6); ybrend(2),,0,10,0,weak
bringen,,brought(9); broght(20); ybrought(1); ybroght(1),,0,31,0,weak
cacchen,,caught(25); ycaught(1),,0,26,0,weak
callen,,called(14); ycalled(1),,0,15,0,weak
carien,,caried(3); ycaried(2),,0,5,0,weak
cesen,,cessed(1),,0,1,0,weak
chacen,,chaced(1),,0,1,0,weak
chargen,,charged(3),,0,3,0,weak
chasten,,chasted(1),,0,1,0,weak
chastisen,,chastised(1),,0,1,0,weak
chaungen,,chaunged(7); changed(1); ychaunged(1),,0,9,0,weak
clauen,,yclawed(1),,0,1,0,weak
clepen,,clepid(1); cleped(19); ycleped(7),,0,27,0,weak
clothen,,clad(6); clothed(6); yclad(2); yclothed(1),,0,15,0,weak
colouren,,coloured(1),,0,1,0,weak
comforten,,conforted(1),,0,1,0,weak
commaunden,,comanded(4); comaunded(1),,0,5,0,weak
commenden,,commended(1),,0,1,0,weak
compleinen,,compleined(4),,0,4,0,weak
completen,,complet(1),,0,1,0,weak
conceiven,,conceived(1),,0,1,0,weak
concluden,,concluded(1),,0,1,0,weak
condescenden,,condescended(1),,0,1,0,weak
