headword,word,line_number,filename,context,is_elided,is_final,text_type,oxford_context,riverside_context
long,longe,The Clerk's Tale 442,data/oxford_txts/ClT_oxford.txt,Nat longe time after that this Grisild,False,False,BOTH,Nat longe time after that this Grisild,Nat longe tyme after that this Grisild
gret,grete,Troilus and Criseyde; Book V 1250,data/oxford_txts/TC5_oxford.txt,"The blisful goddes, through hir grete might",False,False,BOTH,"The blisful goddes, through hir grete might",The blysful goddes thorugh here grete myght
dere,deere,The Wife of Bath's Prologue 804,data/oxford_txts/WBPro_oxford.txt,"And seide, ‘deere suster Alisoun",False,False,BOTH,"And seide, ‘deere suster Alisoun",And seyde Deere suster Alisoun
chaste,chaste,The Knight's Tale 2304,data/oxford_txts/KnT_oxford.txt,"Chaste goddesse, wel wostow° that I",False,False,BOTH,"Chaste goddesse, wel wostow° that I",Chaste goddesse wel wostow that I
ofte,ofte,The General Prologue 52,data/oxford_txts/GP_oxford.txt,Ful ofte time he had the bord bigonne,False,False,BOTH,Ful ofte time he had the bord bigonne,Ful ofte tyme he hadde the bord bigonne
dere,dere,The Merchant's Tale 1488,data/oxford_txts/MerT_oxford.txt,Min owene dere brother and my lord,False,False,BOTH,Min owene dere brother and my lord,Myn owene deere brother and my lord
bar,bare,The Knight's Tale 2877,data/oxford_txts/KnT_oxford.txt,He leide him bare the visage° on the bere,False,False,BOTH,He leide him bare the visage° on the bere,He leyde hym bare the visage on the beere
swete,swete,The Miller's Tale 3767,data/oxford_txts/MilT_oxford.txt,"“What, Absolon! for Cristes swete tree,°",False,False,BOTH,"“What, Absolon! for Cristes swete tree,°",What Absolon for Cristes sweete tree
dere,dere,The Summoner's Tale 1752,data/oxford_txts/SumT_oxford.txt,"Our suster dere, lo! here I write your name;",False,False,BOTH,"Our suster dere, lo! here I write your name;",Oure suster deere lo Heere I write youre name
straunge,strange,The Shipman's Tale 263,data/oxford_txts/ShipT_oxford.txt,Bitwix us two nedeth no strange fare;°,False,False,BOTH,Bitwix us two nedeth no strange fare;°,Bitwix us two nedeth no strange fare
humble,humble,Troilus and Criseyde; Book II 1069,data/oxford_txts/TC2_oxford.txt,"And in ful humble wise, as in his speche",False,False,BOTH,"And in ful humble wise, as in his speche",And in ful humble wise as in his speche
wise,wise,The Wife of Bath's Tale 1231,data/oxford_txts/WBT_oxford.txt,I put me in your wise governance;,False,False,BOTH,I put me in your wise governance;,I put me in youre wise governance
nice,nice,Troilus and Criseyde; Book IV 536,data/oxford_txts/TC4_oxford.txt,Now is not this a nice vanitee?,False,False,BOTH,Now is not this a nice vanitee?,Now is nat this a nyce vanitee
dere,dere,The Miller's Tale 3610,data/oxford_txts/MilT_oxford.txt,"Go, dere spouse, and help to save our lif.”",False,False,BOTH,"Go, dere spouse, and help to save our lif.”",Go deere spouse and help to save oure lyf
double,double,The Franklin's Tale 1252,data/oxford_txts/FranT_oxford.txt,"Janus sit by the fir, with double berd",False,False,BOTH,"Janus sit by the fir, with double berd",Janus sit by the fyr with double berd
rude,rude,The Clerk's Tale 916,data/oxford_txts/ClT_oxford.txt,"For rude° was the cloth, and more of age°",False,False,BOTH,"For rude° was the cloth, and more of age°",For rude was the clooth and moore of age
riche,riche,House of Fame 1322,data/oxford_txts/HF_oxford.txt,"That cryen riche folkes laudes,°",False,False,BOTH,"That cryen riche folkes laudes,°",That crien ryche folkes laudes
juste,juste,Troilus and Criseyde; Book II 727,data/oxford_txts/TC2_oxford.txt,"That he may make avaunt, by juste cause;",False,False,BOTH,"That he may make avaunt, by juste cause;",That he may make avaunt by juste cause
neue,newe,The Summoner's Tale 2293,data/oxford_txts/SumT_oxford.txt,And Jankin hath ywonne a newe goune.—,False,False,BOTH,And Jankin hath ywonne a newe goune.—,And Jankyn hath ywonne a newe gowne
deinte,deintee,The Pardoner's Tale 520,data/oxford_txts/PardT_oxford.txt,To gete a glotoun deintee° mete° and drinke!,False,False,BOTH,To gete a glotoun deintee° mete° and drinke!,To gete a glotoun deyntee mete and drynke
noble,noble,The Second Nun's Tale 121,data/oxford_txts/SNT_oxford.txt,"Was comen of Romains,° and of noble kinde,°",False,False,BOTH,"Was comen of Romains,° and of noble kinde,°",Was comen of Romayns and of noble kynde
povre,povre,The Clerk's Tale 724,data/oxford_txts/ClT_oxford.txt,For° he a povre womman wedded hadde,False,False,BOTH,For° he a povre womman wedded hadde,For he a povre womman wedded hadde
muche,muche,Troilus and Criseyde; Book III 638,data/oxford_txts/TC3_oxford.txt,"Criseyde, whiche that coude as muche good",False,False,BOTH,"Criseyde, whiche that coude as muche good",Criseyde which that koude as muche good
secre,secree,Troilus and Criseyde; Book IV 810,data/oxford_txts/TC4_oxford.txt,"Unto Criseyde, in a ful secree wise",False,False,BOTH,"Unto Criseyde, in a ful secree wise",Unto Criseyde in a ful secree wise
tender,tendre,The Merchant's Tale 1738,data/oxford_txts/MerT_oxford.txt,Whan tendre youthe hath wedded stouping° age,False,False,BOTH,Whan tendre youthe hath wedded stouping° age,Whan tendre youthe hath wedded stoupyng age
