headword,word,tag,line_number,filename,context,text_type,reason,oxford_context,riverside_context,oxford_reason,riverside_reason
haven,have,v%pr_3,The Merchant's Tale 1589,data/oxford_txts/MerT_oxford.txt,For if that oon° have beaute in hir face,BOTH,Present 3rd sg must end in -eth,For if that oon° have beaute in hir face,For if that oon have beaute in hir face,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
mouen,may,v%pr_pl,The Reeve's Tale 4134,data/oxford_txts/RvT_oxford.txt,With empty hand men may na haukes tulle;°,BOTH,Present plural must end in -en or -e,With empty hand men may na haukes tulle;°,With empty hand men may na haukes tulle,Present plural must end in -en or -e,Present plural must end in -en or -e
loken,looke,v%pr_3,The Canon's Yeoman's Tale 861,data/oxford_txts/CYT_oxford.txt,"To reise° a feend, al looke he never so rowe.°",BOTH,Present 3rd sg must end in -eth,"To reise° a feend, al looke he never so rowe.°",To reyse a feend al looke he never so rowe,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
mouen,may,v%pr_3,The Knight's Tale 2401,data/oxford_txts/KnT_oxford.txt,"Of thee, ne may my strengthe noght availle.",BOTH,Present 3rd sg must end in -eth,"Of thee, ne may my strengthe noght availle.",Of thee ne may my strengthe noght availle,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
setten,sette,v%pt_3,Troilus and Criseyde; Book III 1589,data/oxford_txts/TC3_oxford.txt,And doun upon his beddes side him sette.,BOTH,"Weak pt sg must end in -ed, -d, or -t",And doun upon his beddes side him sette.,And down upon his beddes syde hym sette,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
mouen,may,v%pr_pl,The Shipman's Tale 205,data/oxford_txts/ShipT_oxford.txt,And lat us dine as soone as that ye may;,BOTH,Present plural must end in -en or -e,And lat us dine as soone as that ye may;,And lat us dyne as soone as that ye may,Present plural must end in -en or -e,Present plural must end in -en or -e
mouen,may,v%pr_3,The Merchant's Tale 2337,data/oxford_txts/MerT_oxford.txt,"That she may dyen, but° she of it have.”",BOTH,Present 3rd sg must end in -eth,"That she may dyen, but° she of it have.”",That she may dyen but she of it have,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
willen,wol,v%pr_pl,Troilus and Criseyde; Book IV 1203,data/oxford_txts/TC4_oxford.txt,But sin ye wol not suffre us liven here,BOTH,Present plural must end in -en or -e,But sin ye wol not suffre us liven here,But syn ye wol nat suffre us lyven here,Present plural must end in -en or -e,Present plural must end in -en or -e
willen,wol,v%pr_pl,The Franklin's Tale 885,data/oxford_txts/FranT_oxford.txt,"I woot wel clerkes wol seyn, as hem leste,°",BOTH,Present plural must end in -en or -e,"I woot wel clerkes wol seyn, as hem leste,°",I woot wel clerkes wol seyn as hem leste,Present plural must end in -en or -e,Present plural must end in -en or -e
setten,sette,v%pt_3,The Clerk's Tale 387,data/oxford_txts/ClT_oxford.txt,"Broght for the same cause, and than hir sette",BOTH,"Weak pt sg must end in -ed, -d, or -t","Broght for the same cause, and than hir sette",Broght for the same cause and thanne hire sette,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
mouen,may,v%pr_pl,The Canon's Yeoman's Tale 885,data/oxford_txts/CYT_oxford.txt,Men may hem knowe by smel of brimstoon;,BOTH,Present plural must end in -en or -e,Men may hem knowe by smel of brimstoon;,Men may hem knowe by smel of brymstoon,Present plural must end in -en or -e,Present plural must end in -en or -e
haven,hath,v%pr_3,The Reeve's Tale 4162,data/oxford_txts/RvT_oxford.txt,This miller hath so wisly° bibbed° ale,BOTH,Present 3rd sg must end in -eth,This miller hath so wisly° bibbed° ale,This millere hath so wisely bibbed ale,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
haven,hadde,v%pt_1,Troilus and Criseyde; Book IV 336,data/oxford_txts/TC4_oxford.txt,"That I thee hadde, where I wolde, in Troye!”",BOTH,"Weak pt sg must end in -ed, -d, or -t","That I thee hadde, where I wolde, in Troye!”",That I the hadde wher I wolde in Troie,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
ben,is,v%pr_3,Troilus and Criseyde; Book III 308,data/oxford_txts/TC3_oxford.txt,Of kinde non avauntour is to leve.,BOTH,Present 3rd sg must end in -eth,Of kinde non avauntour is to leve.,Of kynde non avauntour is to leve,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
connen,can,v%pr_3,Troilus and Criseyde; Book V 1210,data/oxford_txts/TC5_oxford.txt,He can now seen non other remedie,BOTH,Present 3rd sg must end in -eth,He can now seen non other remedie,He kan now sen non other remedie,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
mouen,may,v%pr_3,The Franklin's Tale 1479,data/oxford_txts/FranT_oxford.txt,Trouthe is the hyest thing that man may kepe”:—,BOTH,Present 3rd sg must end in -eth,Trouthe is the hyest thing that man may kepe”:—,Trouthe is the hyeste thyng that man may kepe,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
mouen,may,v%pr_3,Troilus and Criseyde; Book IV 1683,data/oxford_txts/TC4_oxford.txt,"But Juppiter, that of his might may do",BOTH,Present 3rd sg must end in -eth,"But Juppiter, that of his might may do",But Juppiter that of his myght may do,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
haven,hadde,v%pt_3,The Clerk's Tale 689,data/oxford_txts/ClT_oxford.txt,Ne hadde soothly knowen therbifore,BOTH,"Weak pt sg must end in -ed, -d, or -t",Ne hadde soothly knowen therbifore,Ne hadde soothly knowen therbifoore,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
kissen,kiste,v%pt_3,Troilus and Criseyde; Book III 1275,data/oxford_txts/TC3_oxford.txt,And therwithal Criseyde anoon he kiste,BOTH,"Weak pt sg must end in -ed, -d, or -t",And therwithal Criseyde anoon he kiste,And therwithal Criseyde anon he kiste,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
listen,list,v%pr_3,Troilus and Criseyde; Book III 1454,data/oxford_txts/TC3_oxford.txt,"Envious day, what list thee so to spyen?",BOTH,Present 3rd sg must end in -eth,"Envious day, what list thee so to spyen?",Envyous day what list the so to spien,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
wenden,wente,v%pt_3,The Merchant's Tale 2119,data/oxford_txts/MerT_oxford.txt,By which into his gardin ofte he wente.,BOTH,"Weak pt sg must end in -ed, -d, or -t",By which into his gardin ofte he wente.,By which into his gardyn ofte he wente,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
haven,hath,v%pr_3,The Knight's Tale 1729,data/oxford_txts/KnT_oxford.txt,Thus hath he japed° thee ful many a yeer,BOTH,Present 3rd sg must end in -eth,Thus hath he japed° thee ful many a yeer,Thus hath he japed thee ful many a yer,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
haven,han,v%inf,The Merchant's Tale 1991,data/oxford_txts/MerT_oxford.txt,Which° wolde han lete him sterven° in the place,BOTH,Infinitive must end in -en or -e,Which° wolde han lete him sterven° in the place,Which wolde han lat hym sterven in the place,Infinitive must end in -en or -e,Infinitive must end in -en or -e
ben,be,v%pr_3,The Canon's Yeoman's Tale 1432,data/oxford_txts/CYT_oxford.txt,But° it be with his brother knowleching.°,BOTH,Present 3rd sg must end in -eth,But° it be with his brother knowleching.°,But it be with his brother knowlechyng,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
mouen,may,v%pr_3,Parliament of Fowls 483,data/oxford_txts/PF_oxford.txt,And trewe in al that herte may bethinke.”,BOTH,Present 3rd sg must end in -eth,And trewe in al that herte may bethinke.”,And trewe in al that herte may bethynke,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
haven,hath,v%pr_3,The Wife of Bath's Prologue 744,data/oxford_txts/WBPro_oxford.txt,Hath prively unto the Grekes told,BOTH,Present 3rd sg must end in -eth,Hath prively unto the Grekes told,Hath prively unto the Grekes told,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
willen,wol,v%pr_3,The Manciple's Tale 172,data/oxford_txts/MancT_oxford.txt,For ever this brid wol doon his bisinesse°,BOTH,Present 3rd sg must end in -eth,For ever this brid wol doon his bisinesse°,For evere this brid wol doon his bisynesse,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
haven,had,v%pt_pl,The Wife of Bath's Prologue 204,data/oxford_txts/WBPro_oxford.txt,They had me yeven° hir land and hir tresoor;°,BOTH,Past plural must end in -en or -e,They had me yeven° hir land and hir tresoor;°,They had me yeven hir lond and hir tresoor,Past plural must end in -en or -e,Past plural must end in -en or -e
gon,go,v%pr_pl,The Franklin's Tale 1217,data/oxford_txts/FranT_oxford.txt,"“Go we than soup,”° quod he, “as for the beste;",BOTH,Present plural must end in -en or -e,"“Go we than soup,”° quod he, “as for the beste;",Go we thanne soupe quod he as for the beste,Present plural must end in -en or -e,Present plural must end in -en or -e
haven,hadde,v%pt_3,The General Prologue 684,data/oxford_txts/GP_oxford.txt,Swich glaringe eyen hadde he as an hare.,BOTH,"Weak pt sg must end in -ed, -d, or -t",Swich glaringe eyen hadde he as an hare.,Swiche glarynge eyen hadde he as an hare,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
don,do,v%inf,The Clerk's Tale 353,data/oxford_txts/ClT_oxford.txt,"As me best thinketh, do° yow laughe or smerte,°",BOTH,Infinitive must end in -en or -e,"As me best thinketh, do° yow laughe or smerte,°",As me best thynketh do yow laughe or smerte,Infinitive must end in -en or -e,Infinitive must end in -en or -e
ben,be,v%pr_3,The Clerk's Tale 110,data/oxford_txts/ClT_oxford.txt,"Save o thing, lord, if it your wille be",BOTH,Present 3rd sg must end in -eth,"Save o thing, lord, if it your wille be",Save o thyng lord if it youre wille be,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
dien,deide,v%pt_3,The Knight's Tale 2846,data/oxford_txts/KnT_oxford.txt,"“In al this world, that som time he ne deide.",BOTH,"Weak pt sg must end in -ed, -d, or -t","“In al this world, that som time he ne deide.",In al this world that som tyme he ne deyde,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
don,do,v%inf,The Wife of Bath's Tale 962,data/oxford_txts/WBT_oxford.txt,She nolde do that vileinie or sinne,BOTH,Infinitive must end in -en or -e,She nolde do that vileinie or sinne,She nolde do that vileynye or synne,Infinitive must end in -en or -e,Infinitive must end in -en or -e
ben,is,v%pr_3,House of Fame 768,data/oxford_txts/HF_oxford.txt,In his substaunce is but aire;,BOTH,Present 3rd sg must end in -eth,In his substaunce is but aire;,In his substaunce ys but air,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
haven,han,v%pr_pl,The Second Nun's Tale 387,data/oxford_txts/SNT_oxford.txt,"Your cours is doon, your feith han ye conserved",BOTH,Present plural must end in -en or -e,"Your cours is doon, your feith han ye conserved",Youre cours is doon youre feith han ye conserved,Present plural must end in -en or -e,Present plural must end in -en or -e
ben,is,v%pr_3,Troilus and Criseyde; Book II 796,data/oxford_txts/TC2_oxford.txt,"Ther is no wight that woot, I trowe so",BOTH,Present 3rd sg must end in -eth,"Ther is no wight that woot, I trowe so",Ther is no wight that woot I trowe so,Present 3rd sg must end in -eth,Present 3rd sg must end in -eth
