headword,word,tag,line_number,filename,context,text_type,reason,oxford_context,riverside_context,oxford_reason,riverside_reason
helpen,help,v%pr_3,House of Fame 700,data/oxford_txts/HF_oxford.txt,"Quod he. “No, help me God so wis!”—",BOTH,Present 3rd sg must end in -th,"Quod he. “No, help me God so wis!”—",Quod he Noo helpe me God so wys,Present 3rd sg must end in -th,Present 3rd sg must end in -th
don,doon,v%inf,Troilus and Criseyde; Book I 356,data/oxford_txts/TC1_oxford.txt,"For wo was him, that what to doon he niste",BOTH,Infinitive must end in -en or -e,"For wo was him, that what to doon he niste",For wo was hym that what to doon he nyste,Infinitive must end in -en or -e,Infinitive must end in -en or -e
haven,han,v%inf,The Squire's Tale 280,data/oxford_txts/SqT_oxford.txt,He moste han knowen love and his° servise,BOTH,Infinitive must end in -en or -e,He moste han knowen love and his° servise,He moste han knowen love and his servyse,Infinitive must end in -en or -e,Infinitive must end in -en or -e
haven,han,v%inf,The Second Nun's Tale 446,data/oxford_txts/SNT_oxford.txt,That every Cristen wight° shal han penaunce°,BOTH,Infinitive must end in -en or -e,That every Cristen wight° shal han penaunce°,That every Cristen wight shal han penaunce,Infinitive must end in -en or -e,Infinitive must end in -en or -e
don,doon,v%inf,Troilus and Criseyde; Book IV 739,data/oxford_txts/TC4_oxford.txt,And with the deeth to doon bote on hir bale.,BOTH,Infinitive must end in -en or -e,And with the deeth to doon bote on hir bale.,And with the deth to doon boote on hire bale,Infinitive must end in -en or -e,Infinitive must end in -en or -e
haven,han,v%pr_pl,Troilus and Criseyde; Book V 142,data/oxford_txts/TC5_oxford.txt,"Han many a day ben alwey yet, pardee",BOTH,Present plural must end in -en or -e,"Han many a day ben alwey yet, pardee",Han many a day ben alwey yet parde,Present plural must end in -en or -e,Present plural must end in -en or -e
seien,seyn,v%inf,The Canon's Yeoman's Tale 1217,data/oxford_txts/CYT_oxford.txt,"The chambre dore, shortly for to seyn",BOTH,Infinitive must end in -en or -e,"The chambre dore, shortly for to seyn",The chambre dore shortly for to seyn,Infinitive must end in -en or -e,Infinitive must end in -en or -e
breken,breke,v%pr_3,The Nun's Priest's Tale 3388,data/oxford_txts/NPT_oxford.txt,"They ronne so,° hem thoughte° hir herte breke.°",BOTH,Present 3rd sg must end in -th,"They ronne so,° hem thoughte° hir herte breke.°",They ronne so hem thoughte hir herte breeke,Present 3rd sg must end in -th,Present 3rd sg must end in -th
witen,woot,v%pr_pl,The Miller's Tale 3771,data/oxford_txts/MilT_oxford.txt,"By Seinte Noet, ye woot° wel what I mene.”",BOTH,Present plural must end in -en or -e,"By Seinte Noet, ye woot° wel what I mene.”",By Seinte Note ye woot wel what I mene,Present plural must end in -en or -e,Present plural must end in -en or -e
reden,rede,v%pr_3,Troilus and Criseyde; Book I 159,data/oxford_txts/TC1_oxford.txt,"In sondry wises shewed, as I rede",BOTH,Present 3rd sg must end in -th,"In sondry wises shewed, as I rede",In sondry wises shewed as I rede,Present 3rd sg must end in -th,Present 3rd sg must end in -th
smerten,smerte,v%pr_3,Troilus and Criseyde; Book V 62,data/oxford_txts/TC5_oxford.txt,What wonder is though that hir sore smerte,BOTH,Present 3rd sg must end in -th,What wonder is though that hir sore smerte,What wonder is though that hire sore smerte,Present 3rd sg must end in -th,Present 3rd sg must end in -th
seien,seyn,v%inf,Book of the Duchess 321,data/oxford_txts/BD_oxford.txt,"And, soth to seyn, my chambre was",BOTH,Infinitive must end in -en or -e,"And, soth to seyn, my chambre was",And sooth to seyn my chambre was,Infinitive must end in -en or -e,Infinitive must end in -en or -e
seien,seyn,v%inf,The Knight's Tale 1151,data/oxford_txts/KnT_oxford.txt,"Or elles artow fals, I dar wel seyn.”",BOTH,Infinitive must end in -en or -e,"Or elles artow fals, I dar wel seyn.”",Or elles artow fals I dar wel seyn,Infinitive must end in -en or -e,Infinitive must end in -en or -e
haven,hadde,v%pt_3,Troilus and Criseyde; Book III 654,data/oxford_txts/TC3_oxford.txt,"But Pandarus, if goodly hadde he might",BOTH,"Weak pt sg must end in -ed, -d, or -t","But Pandarus, if goodly hadde he might",But Pandarus if goodly hadde he myght,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
haven,hadde,v%pt_3,The Squire's Tale 325,data/oxford_txts/SqT_oxford.txt,Though al the world the contrarie hadde yswore;°,BOTH,"Weak pt sg must end in -ed, -d, or -t",Though al the world the contrarie hadde yswore;°,Though al the world the contrarie hadde yswore,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
haven,hadde,v%pt_3,The Nun's Priest's Tale 3364,data/oxford_txts/NPT_oxford.txt,Whan that hir housbond hadde lost his lif,BOTH,"Weak pt sg must end in -ed, -d, or -t",Whan that hir housbond hadde lost his lif,Whan that hir housbonde hadde lost his lyf,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
haven,han,v%inf,The Nun's Priest's Tale 2900,data/oxford_txts/NPT_oxford.txt,"Was lik° an hound, and wolde han maad areste",BOTH,Infinitive must end in -en or -e,"Was lik° an hound, and wolde han maad areste",Was lyk an hound and wolde han maad areest,Infinitive must end in -en or -e,Infinitive must end in -en or -e
putten,put,v%pr_3,Troilus and Criseyde; Book IV 1021,data/oxford_txts/TC4_oxford.txt,That prescience put falling necessaire,BOTH,Present 3rd sg must end in -th,That prescience put falling necessaire,That prescience put fallynge necessaire,Present 3rd sg must end in -th,Present 3rd sg must end in -th
seien,sein,v%inf,The Reeve's Tale 4197,data/oxford_txts/RvT_oxford.txt,"And shortly for to sein, they were aton;°",BOTH,Infinitive must end in -en or -e,"And shortly for to sein, they were aton;°",And shortly for to seyn they were aton,Infinitive must end in -en or -e,Infinitive must end in -en or -e
haven,hadde,v%pt_3,Book of the Duchess 592,data/oxford_txts/BD_oxford.txt,"My sorwe, but he° hadde routhe",BOTH,"Weak pt sg must end in -ed, -d, or -t","My sorwe, but he° hadde routhe",My sorwe but he hadde rowthe,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
knouen,knewe,v%pt_3,The Knight's Tale 1648,data/oxford_txts/KnT_oxford.txt,As fer as everich of hem other knewe.,BOTH,Strong pt sg must not end in -en or -e,As fer as everich of hem other knewe.,As fer as everich of hem oother knewe,Strong pt sg must not end in -en or -e,Strong pt sg must not end in -en or -e
haven,hadde,v%pt_1,Parliament of Fowls 90,data/oxford_txts/PF_oxford.txt,"For bothe I hadde thing which that I nolde,°",BOTH,"Weak pt sg must end in -ed, -d, or -t","For bothe I hadde thing which that I nolde,°",For bothe I hadde thyng which that I nolde,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
shenden,shente,v%pr_3,Troilus and Criseyde; Book II 357,data/oxford_txts/TC2_oxford.txt,"Thorugh min abet, that he thin honour shente.",BOTH,Present 3rd sg must end in -th,"Thorugh min abet, that he thin honour shente.",Thorugh myn abet that he thyn honour shente,Present 3rd sg must end in -th,Present 3rd sg must end in -th
haven,hadde,v%pt_3,The General Prologue 465,data/oxford_txts/GP_oxford.txt,"At Rome she hadde been, and at Boloigne",BOTH,"Weak pt sg must end in -ed, -d, or -t","At Rome she hadde been, and at Boloigne",At Rome she hadde been and at Boloigne,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
forbeden,forbede,v%pr_3,The Shipman's Tale 208,data/oxford_txts/ShipT_oxford.txt,"¶“Now, elles° God forbede, sir,” quod she",BOTH,Present 3rd sg must end in -th,"¶“Now, elles° God forbede, sir,” quod she",Now elles God forbede sire quod she,Present 3rd sg must end in -th,Present 3rd sg must end in -th
haven,hadde,v%pt_3,The General Prologue 677,data/oxford_txts/GP_oxford.txt,By ounces henge his lokkes that he hadde,BOTH,"Weak pt sg must end in -ed, -d, or -t",By ounces henge his lokkes that he hadde,By ounces henge his lokkes that he hadde,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
haven,hadde,v%pt_3,The Miller's Tale 3774,data/oxford_txts/MilT_oxford.txt,He hadde more tow° on his distaf°,BOTH,"Weak pt sg must end in -ed, -d, or -t",He hadde more tow° on his distaf°,He hadde moore tow on his distaf,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
haven,han,v%pr_pl,Troilus and Criseyde; Book IV 992,data/oxford_txts/TC4_oxford.txt,More than we men that han doutous weninge.,BOTH,Present plural must end in -en or -e,More than we men that han doutous weninge.,More than we men that han doutous wenynge,Present plural must end in -en or -e,Present plural must end in -en or -e
don,do,v%inf,The Franklin's Tale 1561,data/oxford_txts/FranT_oxford.txt,Unto this philosophre! how shal I do?°,BOTH,Infinitive must end in -en or -e,Unto this philosophre! how shal I do?°,Unto this philosophre How shal I do,Infinitive must end in -en or -e,Infinitive must end in -en or -e
seien,seyn,v%inf,Troilus and Criseyde; Book V 794,data/oxford_txts/TC5_oxford.txt,"He mighte seyn, he were a conquerour.”",BOTH,Infinitive must end in -en or -e,"He mighte seyn, he were a conquerour.”",He myghte seyn he were a conquerour,Infinitive must end in -en or -e,Infinitive must end in -en or -e
haven,han,v%pr_pl,The Knight's Tale 1807,data/oxford_txts/KnT_oxford.txt,"That she, for whom they han this jolitee,°",BOTH,Present plural must end in -en or -e,"That she, for whom they han this jolitee,°",That she for whom they han this jolitee,Present plural must end in -en or -e,Present plural must end in -en or -e
slen,slain,v%ppl,The Nun's Priest's Tale 3348,data/oxford_txts/NPT_oxford.txt,"That, whan thy worthy king Richard was slain",BOTH,Strong participle must end in -en or -e,"That, whan thy worthy king Richard was slain",That whan thy worthy kyng Richard was slayn,Strong participle must end in -en or -e,Strong participle must end in -en or -e
