headword,word,tag,line_number,filename,context,text_type,reason,riverside_context,riverside_reason
haven,had,v%pt_pl,The Canon's Yeoman's Tale 864,data/oxford_txts/CYT_oxford.txt,"For had we him,° than wer we siker ynow.°",OXFORD,Past plural must end in -en or -e,For hadde we hym thanne were we siker ynow,No exception (normal form)
seien,sey,v%inf,Book of the Duchess 1189,data/oxford_txts/BD_oxford.txt,"And if I telle hir, to sey right sothe",OXFORD,Infinitive must end in -en or -e,And yif I telle hyr to seye ryght soth,No exception (normal form)
comen,comth,v%pr_3,House of Fame 648,data/oxford_txts/HF_oxford.txt,That ther no tiding comth to thee,OXFORD,Present 3rd sg must end in -eth,That ther no tydynge cometh to thee,No exception (normal form)
pleien,play,v%inf,Book of the Duchess 656,data/oxford_txts/BD_oxford.txt,Allas! I couth no lenger play,OXFORD,Infinitive must end in -en or -e,Allas I kouthe no lenger playe,No exception (normal form)
seien,sey,v%pr_pl,The Summoner's Tale 1933,data/oxford_txts/SumT_oxford.txt,Whan they for soules sey the psalm of Davit,OXFORD,Present plural must end in -en or -e,Whan they for soules seye the psalm of Davit,No exception (normal form)
tellen,tell,v%inf,The Merchant's Tale 1872,data/oxford_txts/MerT_oxford.txt,Tell thy wo? She wole alwey seye ‘nay’;,OXFORD,Infinitive must end in -en or -e,Telle thy wo She wole alwey seye nay,No exception (normal form)
knouen,know,v%inf,The Franklin's Tale 1362,data/oxford_txts/FranT_oxford.txt,"Or know myselven fals, or lees my name",OXFORD,Infinitive must end in -en or -e,Or knowe myselven fals or lese my name,No exception (normal form)
shulen,shul,v%pr_pl,The Knight's Tale 2356,data/oxford_txts/KnT_oxford.txt,"Shul thee declaren, er that thou go henne,°",OXFORD,Present plural must end in -en or -e,Shulle thee declaren er that thou go henne,No exception (normal form)
kepen,kep,v%inf,The Wife of Bath's Prologue 46,data/oxford_txts/WBPro_oxford.txt,"For sothe,° I wol nat kep me chast in al;",OXFORD,Infinitive must end in -en or -e,For sothe I wol nat kepe me chaast in al,No exception (normal form)
listen,list,v%pr_pl,The Canon's Yeoman's Tale 891,data/oxford_txts/CYT_oxford.txt,"If that men list,° this folk they knowe may.",OXFORD,Present plural must end in -en or -e,If that men liste this folk they knowe may,No exception (normal form)
shitten,shet,v%inf,The Wife of Bath's Tale 1141,data/oxford_txts/WBT_oxford.txt,And lat men shet the dores and go thenne;°,OXFORD,Infinitive must end in -en or -e,And lat men shette the dores and go thenne,No exception (normal form)
clepen,clep,v%inf,The Miller's Tale 3577,data/oxford_txts/MilT_oxford.txt,"Than wol I clep,° ‘how! Alison! how! John!",OXFORD,Infinitive must end in -en or -e,Thanne wol I clepe How Alison How John,No exception (normal form)
seien,sey,v%inf,Parliament of Fowls 503,data/oxford_txts/PF_oxford.txt,And I wol sey my verdit° faire and swithe°,OXFORD,Infinitive must end in -en or -e,And I wol seye my verdit fayre and swythe,No exception (normal form)
haven,had,v%pt_pl,The Franklin's Tale 903,data/oxford_txts/FranT_oxford.txt,In which that they had maad hir ordinaunce°,OXFORD,Past plural must end in -en or -e,In which that they hadde maad hir ordinaunce,No exception (normal form)
rounen,rown,v%pr_pl,The Wife of Bath's Prologue 241,data/oxford_txts/WBPro_oxford.txt,What rown° ye with our maide? benedicite!°,OXFORD,Present plural must end in -en or -e,What rowne ye with oure mayde Benedicite,No exception (normal form)
lien,lith,v%pr_3,Book of the Duchess 143,data/oxford_txts/BD_oxford.txt,That lith° ful pale and nothing rody.°,OXFORD,Present 3rd sg must end in -eth,That lyeth ful pale and nothyng rody,No exception (normal form)
holden,hold,v%inf,The Merchant's Tale 1976,data/oxford_txts/MerT_oxford.txt,"He deme° of al, for I wol hold my pees.",OXFORD,Infinitive must end in -en or -e,He deme of al for I wole holde my pees,No exception (normal form)
dien,dey,v%inf,Book of the Duchess 240,data/oxford_txts/BD_oxford.txt,“Rather then that I shulde dey°,OXFORD,Infinitive must end in -en or -e,Rather then that y shulde deye,No exception (normal form)
haven,had,v%pt_pl,The Franklin's Tale 1369,data/oxford_txts/FranT_oxford.txt,"Had slain Phidoun in Athens, atte feste",OXFORD,Past plural must end in -en or -e,Hadde slayn Phidon in Atthenes atte feste,No exception (normal form)
mouen,mow,v%pr_pl,The Clerk's Tale 530,data/oxford_txts/ClT_oxford.txt,They mow wel been biwailled° or compleined,OXFORD,Present plural must end in -en or -e,They mowe wel been biwailled or compleyned,No exception (normal form)
thinken,thinkth,v%pr_3,House of Fame 871,data/oxford_txts/HF_oxford.txt,How thinkth thee my conclusioun?”,OXFORD,Present 3rd sg must end in -eth,How thinketh the my conclusyon,No exception (normal form)
stonden,stond,v%inf,Parliament of Fowls 315,data/oxford_txts/PF_oxford.txt,"For me to stond, so ful was al the place.",OXFORD,Infinitive must end in -en or -e,For me to stonde so ful was al the place,No exception (normal form)
seien,sey,v%inf,The Merchant's Tale 2237,data/oxford_txts/MerT_oxford.txt,"¶“My wif,” quod he, “ther may no wight sey nay;°",OXFORD,Infinitive must end in -en or -e,My wyf quod he ther may no wight seye nay,No exception (normal form)
helen,heel,v%inf,Book of the Duchess 928,data/oxford_txts/BD_oxford.txt,"Ne bet coud heel that, by the masse",OXFORD,Infinitive must end in -en or -e,Ne bet koude hele that by the masse,No exception (normal form)
seien,sey,v%inf,The Wife of Bath's Prologue 341,data/oxford_txts/WBPro_oxford.txt,And sey thise wordes in the apostles name,OXFORD,Infinitive must end in -en or -e,And seye thise wordes in the Apostles name,No exception (normal form)
comen,com,v%inf,The Canon's Yeoman's Tale 1395,data/oxford_txts/CYT_oxford.txt,"In this craft, that men can nat com therby,°",OXFORD,Infinitive must end in -en or -e,In this craft that men kan nat come therby,No exception (normal form)
singen,songe,v%pt_1,Book of the Duchess 1158,data/oxford_txts/BD_oxford.txt,And ofte time I songe hem loude;,OXFORD,Strong pt sg must not end in -en or -e,And ofte tyme I song hem loude,No exception (normal form)
slepen,sleep,v%inf,Book of the Duchess 274,data/oxford_txts/BD_oxford.txt,"To sleep, that right upon my booke",OXFORD,Infinitive must end in -en or -e,To slepe that ryght upon my book,No exception (normal form)
comen,com,v%inf,The Franklin's Tale 1115,data/oxford_txts/FranT_oxford.txt,"But° men might touch° the arwe, or com therby.°",OXFORD,Infinitive must end in -en or -e,But men myghte touche the arwe or come therby,No exception (normal form)
speken,spake,v%pt_3,Book of the Duchess 503,data/oxford_txts/BD_oxford.txt,"And grette him, but he spake noght",OXFORD,Strong pt sg must not end in -en or -e,And grette hym but he spak noght,No exception (normal form)
lesen,lees,v%inf,The Franklin's Tale 1362,data/oxford_txts/FranT_oxford.txt,"Or know myselven fals, or lees my name",OXFORD,Infinitive must end in -en or -e,Or knowe myselven fals or lese my name,No exception (normal form)
comen,com,v%inf,The Canon's Yeoman's Tale 835,data/oxford_txts/CYT_oxford.txt,"Lat him com forth, and lerne multiplie;°",OXFORD,Infinitive must end in -en or -e,Lat hym come forth and lerne multiplie,No exception (normal form)
seien,sey,v%inf,The Friar's Tale 1363,data/oxford_txts/FriT_oxford.txt,"¶“Than wolde he sey, ‘Frend, I shal for thy sake",OXFORD,Infinitive must end in -en or -e,Thanne wolde he seye Freend I shal for thy sake,No exception (normal form)
seien,sey,v%inf,The Canon's Yeoman's Tale 1041,data/oxford_txts/CYT_oxford.txt,To swich a man I can never sey nay.”,OXFORD,Infinitive must end in -en or -e,To swich a man I kan never seye nay,No exception (normal form)
connen,coud,v%pt_pl,The Merchant's Tale 1539,data/oxford_txts/MerT_oxford.txt,"Ne man ne° beest, swich as men coud devise;",OXFORD,Past plural must end in -en or -e,Ne man ne beest swich as men koude devyse,No exception (normal form)
blouen,blow,v%inf,The Pardoner's Tale 481,data/oxford_txts/PardT_oxford.txt,To kindle and blow the fir of lecherie,OXFORD,Infinitive must end in -en or -e,To kyndle and blowe the fyr of lecherye,No exception (normal form)
blouen,blow,v%inf,The Miller's Tale 3387,data/oxford_txts/MilT_oxford.txt,That Absolon may blow the bukkes horn;°,OXFORD,Infinitive must end in -en or -e,That Absolon may blowe the bukkes horn,No exception (normal form)
comen,com,v%inf,The Miller's Tale 3616,data/oxford_txts/MilT_oxford.txt,Noës flood com walwing° as the see,OXFORD,Infinitive must end in -en or -e,Noees flood come walwynge as the see,No exception (normal form)
comen,com,v%inf,Book of the Duchess 731,data/oxford_txts/BD_oxford.txt,To com to hir. Another rage,OXFORD,Infinitive must end in -en or -e,To come to hir Another rage,No exception (normal form)
moten,moot,v%pr_pl,The General Prologue 742,data/oxford_txts/GP_oxford.txt,The wordes moot be cosin to the dede.,OXFORD,Present plural must end in -en or -e,The wordes moote be cosyn to the dede,No exception (normal form)
peinten,peint,v%inf,Book of the Duchess 259,data/oxford_txts/BD_oxford.txt,I wol do peint° with pure golde,OXFORD,Infinitive must end in -en or -e,I wol do peynte with pure gold,No exception (normal form)
tellen,tolde,v%pt_3,Troilus and Criseyde; Book II 571,data/oxford_txts/TC2_oxford.txt,Or he me tolde who might been his leche.,OXFORD,"Weak pt sg must end in -ed, -d, or -t",Or he me told who myghte ben his leche,No exception (normal form)
shulen,shold,v%pt_pl,The General Prologue 506,data/oxford_txts/GP_oxford.txt,"By his clennesse, how that his sheep shold live.",OXFORD,Past plural must end in -en or -e,By his clennesse how that his sheep sholde lyve,No exception (normal form)
