headword,word,tag,line_number,filename,context,text_type,reason,riverside_context,riverside_reason
comen,cam,v%pt_pl,The Clerk's Tale 752,data/oxford_txts/ClT_oxford.txt,But whan thise tidinges° cam to Grisildis,OXFORD,Past plural must end in -en or -e,But whan thise tidynges came to Grisildis,No exception (normal form)
heren,herde,v%pt_3,Troilus and Criseyde; Book III 1065,data/oxford_txts/TC3_oxford.txt,"This Troilus, whan he hir wordes herde",OXFORD,"Weak pt sg must end in -ed, -d, or -t",This Troilus whan he hire wordes herde,No exception (normal form)
bisetten,beset,v%inf,Book of the Duchess 772,data/oxford_txts/BD_oxford.txt,He shuld beset° min herte so,OXFORD,Infinitive must end in -en or -e,He shulde besette myn herte so,No exception (normal form)
taken,toke,v%pt_3,Troilus and Criseyde; Book I 486,data/oxford_txts/TC1_oxford.txt,"Gan multiplie, that, whoso toke keep",OXFORD,Strong pt sg must not end in -en or -e,Gan multiplie that whoso tok kep,No exception (normal form)
wenden,wente,v%pt_3,The Canon's Yeoman's Tale 1032,data/oxford_txts/CYT_oxford.txt,"And took his leve, and wente forth his weye,°",OXFORD,"Weak pt sg must end in -ed, -d, or -t",And took his leve and wente forth his weye,No exception (normal form)
singen,songe,v%pt_3,The General Prologue 122,data/oxford_txts/GP_oxford.txt,Ful wel she songe the service divine,OXFORD,Strong pt sg must not end in -en or -e,Ful weel she soong the service dyvyne,No exception (normal form)
shulen,shold,v%pt_pl,The Shipman's Tale 352,data/oxford_txts/ShipT_oxford.txt,"Of twenty thousand sheeld shold ye nat misse,°",OXFORD,Past plural must end in -en or -e,Of twenty thousand sheeld sholde ye nat mysse,No exception (normal form)
maken,mak,v%inf,Book of the Duchess 909,data/oxford_txts/BD_oxford.txt,"To mak that fair, that trewly she",OXFORD,Infinitive must end in -en or -e,To make that fair that trewly she,No exception (normal form)
seien,sey,v%pr_pl,The Summoner's Tale 1934,data/oxford_txts/SumT_oxford.txt,"Lo, ‘buf!’° they sey, ‘cor meum eructavit!’°",OXFORD,Present plural must end in -en or -e,Lo buf they seye cor meum eructavit,No exception (normal form)
techen,taughte,v%pt_3,The Pardoner's Tale 684,data/oxford_txts/PardT_oxford.txt,"Thus taughte me my dame,° I sey namore.”",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Thus taughte me my dame I sey namoore,No exception (normal form)
henten,hente,v%pt_3,The Physician's Tale 255,data/oxford_txts/PhyT_oxford.txt,"Hir heed of smoot,° and by the top° it hente,°",OXFORD,"Weak pt sg must end in -ed, -d, or -t",Hir heed of smoot and by the top it hente,No exception (normal form)
faren,ferde,v%pt_3,The Squire's Tale 461,data/oxford_txts/SqT_oxford.txt,That ferde° with° himself so pitously.°,OXFORD,Strong pt sg must not end in -en or -e,That ferde with hymself so pitously,No exception (normal form)
seien,sey,v%inf,The Pardoner's Tale 572,data/oxford_txts/PardT_oxford.txt,"And thanne wol he sey, “Sampsoun, Sampsoun.”",OXFORD,Infinitive must end in -en or -e,And thanne wol he seye Sampsoun Sampsoun,No exception (normal form)
seien,sey,v%inf,The Wife of Bath's Prologue 195,data/oxford_txts/WBPro_oxford.txt,"I shal sey sooth, tho housbonds that I hadde",OXFORD,Infinitive must end in -en or -e,I shal seye sooth tho housbondes that I hadde,No exception (normal form)
biholden,bihelde,v%pt_3,Troilus and Criseyde; Book II 1606,data/oxford_txts/TC2_oxford.txt,And goodly on Criseyde she bihelde,OXFORD,Strong pt sg must not end in -en or -e,And goodly on Criseyde she biheld,No exception (normal form)
