headword,word,tag,line_number,filename,context,text_type,reason,oxford_context,oxford_reason
siken,sik,v%inf,The Miller's Tale 3488,data/riverside_cats/MilT_riv.cat,Gan for to sik soore and seyde Allas,RIVERSIDE,Infinitive must end in -en or -e,"Gan for to sike sore,° and seide, “Allas!",No exception (normal form)
bringen,broghte,v%pt_3,The Clerk's Tale 982,data/riverside_cats/ClT_riv.cat,That with hym broghte thise noble children tweye,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","That with him broght thise noble children tweie,°",No exception (normal form)
haven,hadde,v%pt_1,The Wife of Bath's Prologue 604,data/riverside_cats/WBPro_riv.cat,I hadde the prente of seinte Venus seel,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",I had the prente° of Seinte Venus seel.°,No exception (normal form)
slepen,slepte,v%pt_3,House of Fame 119,data/riverside_cats/HF_riv.cat,But as I slepte me mette I was,RIVERSIDE,Strong pt sg must not end in -en or -e,"But as I slept, me mette° I was",No exception (normal form)
haven,hadde,v%pt_3,The Monk's Tale 2119,data/riverside_cats/MkT_riv.cat,A lemman hadde this noble champioun,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",A lemman° had this noble champioun,No exception (normal form)
crien,cride,v%pt_3,The Knight's Tale 1706,data/riverside_cats/KnT_riv.cat,And pulled out a swerd and cride Hoo,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","And pulled out a swerd and cried, “Ho!",No exception (normal form)
wenden,wente,v%pt_3,Book of the Duchess 153,data/riverside_cats/BD_riv.cat,This messager tok leve and wente,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",¶This messager took leve and went,No exception (normal form)
haven,hadde,v%pt_3,The Monk's Tale 2011,data/riverside_cats/MkT_riv.cat,Hadde nevere worldly man so heigh degree,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Had never worldly man so heigh degree,No exception (normal form)
haven,hadde,v%pt_3,The Nun's Priest's Tale 2830,data/riverside_cats/NPT_riv.cat,Thre large sowes hadde she and namo,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t","Three large sowes° had she, and namo",No exception (normal form)
haven,hadde,v%pt_3,Troilus and Criseyde; Book IV 173,data/riverside_cats/TC4_riv.cat,And whan that she hadde seyd hym hire entente,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",And whan that she had seid him hir entente,No exception (normal form)
haven,hadde,v%pt_3,Troilus and Criseyde; Book II 416,data/riverside_cats/TC2_riv.cat,Hadde loved outher hym or Achilles,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Had loved other him or Achilles,No exception (normal form)
heren,herde,v%pt_3,Sir Thopas 773,data/riverside_cats/Thop_riv.cat,Al whan he herde the thrustel synge,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Al whan he herd the thrustel° singe,No exception (normal form)
haven,hadde,v%pt_3,The Merchant's Tale 2272,data/riverside_cats/MerT_riv.cat,Al hadde man seyn a thyng with bothe his yen,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",Al° had man seyn a thing with bothe his eyen,No exception (normal form)
haven,hadde,v%pt_3,The Monk's Tale 2145,data/riverside_cats/MkT_riv.cat,That hadde the kyng Nabugodonosor,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",That had the king Nabugodonosor,No exception (normal form)
haven,hadde,v%pt_3,The Wife of Bath's Prologue 728,data/riverside_cats/WBPro_riv.cat,That Socrates hadde with his wyves two,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",That Socrates had with his wives two;,No exception (normal form)
haven,hadde,v%pt_3,The General Prologue 463,data/riverside_cats/GP_riv.cat,And thries hadde she been at Jerusalem,RIVERSIDE,"Weak pt sg must end in -ed, -d, or -t",And thries had she been at Jerusalem;,No exception (normal form)
