The,double,sorwe,of,Troilus,to,"tellen,",,,
u,S u,S u,u,S u S,u,S u,,,

That,was,the,king,Priamus,sone,of,"Troye,",,
u,S,u,S,uSu,S,u,S,,

In,"lovinge,",how,his,aventures,fellen,,,,
u,Su,S,u,S u S u,S u,,,,

Fro,wo,to,"wele,",and,after,out,of,"joye,",
u,S,u,S,u,Su,S,u,S,

My,purpos,"is,",er,that,I,part,fro,ye.,
u,Su,S,u,S,u,S,u,S,

"Thesiphone,",thou,help,me,for,t’endite,,,,
uSuS,u,S,u,S,uS,,,,

Thise,woful,"vers,",that,wepen,as,I,write!,,
u,Su,S,u,Su,S,u,S,,

To,thee,clepe,"I,",thou,goddesse,of,"torment,",,
u,S,u,S,u,Su,S,uS,,

Thou,cruel,"Furie,",sorwing,ever,in,peine;,,,
u,Su,Su,Su,S,u,S,,,

Help,"me,",that,am,the,sorwful,instrument,,,
u,S,u,S,u,Su,SuS,,,

That,helpeth,"lovers,",as,I,"can,",to,pleine!,,
u,Su,Su,S,u,S,u,S,,

For,wel,sit,"it,",the,sothe,for,to,"seyne,",
u,S,u,S,u,Su,S,u,S,

A,woful,wight,to,han,a,drery,"fere,",,
u,Su,S,u,S,u,Su,S,,

"And,",to,a,sorwful,"tale,",a,sory,chere.,,
u,S,u,Su,S,u,Su,S,,

For,"I,",that,god,of,Loves,servaunts,"serve,",,
u,S,u,S,u,Su,Su,S,,

Ne,dar,to,"Love,",for,min,"unliklinesse,",,,
u,S,u,S,u,S,SuS,,,

Preyen,for,"speed,",al,sholde,I,therfor,"sterve,",,
uS,u,S,u,S,u,Su,S,,

So,fer,am,I,fro,his,help,in,derknesse;,
u,S,u,S,u,S,u,S,uS,

But,"nathelees,",if,this,may,doon,gladnesse,,,
u,SuS,u,S,u,S,uS,,,

To,any,"lover,",and,his,cause,"availe,",,,
u,Su,Su,S,u,S,uS,,,

Have,he,my,"thank,",and,min,be,this,travaile!,
u,S,u,S,u,S,u,S,uS,

But,ye,"loveres,",that,bathen,in,"gladnesse,",,,
u,S,u  S,u,S u,S,S u,,,

If,any,drope,of,pitee,in,yow,"be,",,
u,Su,S,u,Su,S,u,S,,

Remembreth,yow,on,passed,hevinesse,,,,,
uSu,S,u,Su,SuS,,,,,

That,ye,han,"felt,",and,on,th',adversitee,,
u,S,u,S,u,S,x,S u S u,,

Of,othere,"folk,",and,thenketh,how,that,ye,,
u,Su,S,u,Su,S,u,S,,

Han,felt,that,Love,dorste,yow,displese;,,,
u,S,u,Su,Su,S,uS,,,

Or,ye,han,wonne,him,with,to,greet,an,ese.
u,S,u,S,u,S,u,S,u,S

And,preyeth,for,hem,that,ben,in,the,cas,
u,S u,S,u,S,u,S,u,S,

Of,"Troilus,",as,ye,may,after,"here,",,,
u,SuS,u,S,u,Su,S,,,

That,love,hem,bringe,in,heven,to,"solas,",,
u,S,u,S,u,Su,S,uS,,

And,eek,for,me,preyeth,to,God,so,"dere,",
u,S,u,S,u S,u,S,u,S,

That,I,have,might,to,"shewe,",in,som,"manere,",
u,S,u,S,u,S,u,S,u S,

Swich,peine,and,wo,as,Loves,folk,"endure,",,
u,S,u,S,u,Su,S,uS,,

In,Troilus,unsely,aventure.,,,,,,
u,SuS,uSu,SuS,,,,,,

And,biddeth,eek,for,hem,that,been,despeired,,
u,Su,S,u,S,u,S,uS,,

In,"love,",that,never,nil,recovered,"be,",,,
u,S,u,Su,S,uSu,S,,,

And,eek,for,hem,that,falsly,been,apeired,,
u,S,u,S,u,Su,S,uS,,

Thorugh,wikked,"tonges,",be,it,he,or,she;,,
u,Su,Su,S,u,S,u,S,,

Thus,biddeth,"God,",for,his,"benignitee,",,,,
u,Su,S,u,S,uSuS,,,,

To,graunte,hem,sone,out,of,this,world,to,"pace,"
u,S,u,S,u,S,u,S,u,S

