headword,word,line_number,filename,context,is_elided,is_final,text_type
foul,foule,The Prioress' Tale 491,data/oxford_txts/PrT_oxford.txt,"For foule usure° and lucre of vilanie,°",True,False,OXFORD
fre,free,The Prioress' Tale 494,data/oxford_txts/PrT_oxford.txt,"For it was free, and open at either ende.",True,False,OXFORD
dere,dere,The Prioress' Tale 510,data/oxford_txts/PrT_oxford.txt,"Our blisful lady, Cristes moder dere",False,True,OXFORD
tender,tendre,The Prioress' Tale 524,data/oxford_txts/PrT_oxford.txt,For he so yong and tendre was of age;,False,False,OXFORD
fre,free,The Prioress' Tale 532,data/oxford_txts/PrT_oxford.txt,Was maked of° our blisful lady free,False,True,OXFORD
prive,privee,The Prioress' Tale 568,data/oxford_txts/PrT_oxford.txt,That in an aley° hadde a privee place;,False,False,OXFORD
neue,newe,The Prioress' Tale 574,data/oxford_txts/PrT_oxford.txt,O cursed folk of Herodes al newe,False,True,OXFORD
neue,newe,The Prioress' Tale 584,data/oxford_txts/PrT_oxford.txt,"Biforn this lamb, and singe a song al newe",False,True,OXFORD
pale,pale,The Prioress' Tale 589,data/oxford_txts/PrT_oxford.txt,"With face pale of drede and bisy thoght,°",True,False,OXFORD
mek,meke,The Prioress' Tale 597,data/oxford_txts/PrT_oxford.txt,And ever on Cristes moder meke and kinde,True,False,OXFORD
kinde,kinde,The Prioress' Tale 597,data/oxford_txts/PrT_oxford.txt,And ever on Cristes moder meke and kinde,False,True,OXFORD
dere,dere,The Prioress' Tale 654,data/oxford_txts/PrT_oxford.txt,"And, for the worship of his moder dere",False,True,OXFORD
swete,swete,The Prioress' Tale 656,data/oxford_txts/PrT_oxford.txt,"This welle° of mercy, Cristes moder° swete",False,True,OXFORD
fre,free,The Prioress' Tale 664,data/oxford_txts/PrT_oxford.txt,In honour of that blisful maiden free,False,True,OXFORD
swete,swete,The Prioress' Tale 682,data/oxford_txts/PrT_oxford.txt,Enclosen they his litel body swete;,False,True,OXFORD
lame,lame,Troilus and Criseyde; Book II 17,data/oxford_txts/TC2_oxford.txt,"Disblameth me, if any word be lame",False,True,OXFORD
whit,white,Troilus and Criseyde; Book II 51,data/oxford_txts/TC2_oxford.txt,"That fresshe floures, blewe, and white, and rede",True,False,OXFORD
red,rede,Troilus and Criseyde; Book II 51,data/oxford_txts/TC2_oxford.txt,"That fresshe floures, blewe, and white, and rede",False,True,OXFORD
quik,quike,Troilus and Criseyde; Book II 52,data/oxford_txts/TC2_oxford.txt,"Ben quike again, that winter dede made",True,False,OXFORD
ded,dede,Troilus and Criseyde; Book II 52,data/oxford_txts/TC2_oxford.txt,"Ben quike again, that winter dede made",False,False,OXFORD
grene,grene,Troilus and Criseyde; Book II 60,data/oxford_txts/TC2_oxford.txt,It made his hewe aday ful ofte grene;,False,True,OXFORD
bar,bare,Troilus and Criseyde; Book II 110,data/oxford_txts/TC2_oxford.txt,"Do wey your barbe, and shew your face bare;",False,True,OXFORD
wilde,wilde,Troilus and Criseyde; Book II 116,data/oxford_txts/TC2_oxford.txt,"Ye ben so wilde, it semeth as ye rave!",True,False,OXFORD
dere,dere,Troilus and Criseyde; Book II 122,data/oxford_txts/TC2_oxford.txt,"“Now uncle dere,” quod she, “tel it us",False,False,OXFORD
lene,lene,Troilus and Criseyde; Book II 132,data/oxford_txts/TC2_oxford.txt,My wit is for to arede it al to lene;,False,True,OXFORD
voide,voide,Troilus and Criseyde; Book II 173,data/oxford_txts/TC2_oxford.txt,"They been as voide of vices, dar I seye",True,False,OXFORD
thikke,thikke,Troilus and Criseyde; Book II 193,data/oxford_txts/TC2_oxford.txt,For never yet so thikke a swarm of been,True,False,OXFORD
gret,grete,Troilus and Criseyde; Book II 205,data/oxford_txts/TC2_oxford.txt,"Of grete estat, that ever I saw my live;",True,False,OXFORD
fair,faire,Troilus and Criseyde; Book II 224,data/oxford_txts/TC2_oxford.txt,Sith yow is tid thus faire an aventure?”,True,False,OXFORD
fremed,fremde,Troilus and Criseyde; Book II 248,data/oxford_txts/TC2_oxford.txt,Lat be to me your fremde maner speche,False,False,OXFORD
lef,leve,Troilus and Criseyde; Book II 251,data/oxford_txts/TC2_oxford.txt,"And seide, “Gladly, leve nece dere",False,False,OXFORD
dere,dere,Troilus and Criseyde; Book II 251,data/oxford_txts/TC2_oxford.txt,"And seide, “Gladly, leve nece dere",False,True,OXFORD
neue,newe,Troilus and Criseyde; Book II 305,data/oxford_txts/TC2_oxford.txt,And though my tale as now be to yow newe,False,True,OXFORD
treu,trewe,Troilus and Criseyde; Book II 306,data/oxford_txts/TC2_oxford.txt,"Yet trist alwey, ye shal me finde trewe;",False,True,OXFORD
wise,wise,Troilus and Criseyde; Book II 317,data/oxford_txts/TC2_oxford.txt,"The goode, wise, worthy, fresshe, and free",False,False,OXFORD
fresh,fresshe,Troilus and Criseyde; Book II 317,data/oxford_txts/TC2_oxford.txt,"The goode, wise, worthy, fresshe, and free",True,False,OXFORD
fre,free,Troilus and Criseyde; Book II 317,data/oxford_txts/TC2_oxford.txt,"The goode, wise, worthy, fresshe, and free",False,True,OXFORD
dere,dere,Troilus and Criseyde; Book II 330,data/oxford_txts/TC2_oxford.txt,“Allas! he which that is my lord so dere,False,True,OXFORD
treu,trewe,Troilus and Criseyde; Book II 339,data/oxford_txts/TC2_oxford.txt,"That is so trewe and worthy, as ye see",True,False,OXFORD
wikke,wikke,Troilus and Criseyde; Book II 458,data/oxford_txts/TC2_oxford.txt,As men ben cruel in hemself and wikke;,False,True,OXFORD
dere,dere,Troilus and Criseyde; Book II 474,data/oxford_txts/TC2_oxford.txt,"“No, wis,” quod he, “min owene nece dere.”",False,True,OXFORD
dere,dere,Troilus and Criseyde; Book II 494,data/oxford_txts/TC2_oxford.txt,"“Ye, doutelees,” quod she, “min uncle dere.”",False,True,OXFORD
long,longe,Troilus and Criseyde; Book II 507,data/oxford_txts/TC2_oxford.txt,"This other day, nought gon ful longe while",False,False,OXFORD
juste,juste,Troilus and Criseyde; Book II 527,data/oxford_txts/TC2_oxford.txt,"Ledest the fin, by juste purveiaunce",False,False,OXFORD
ded,dede,Troilus and Criseyde; Book II 539,data/oxford_txts/TC2_oxford.txt,That men hem wrien with asshen pale and dede.’,False,True,OXFORD
pale,pale,Troilus and Criseyde; Book II 551,data/oxford_txts/TC2_oxford.txt,But though that he for wo was pale and wan,True,False,OXFORD
dere,dere,Troilus and Criseyde; Book II 591,data/oxford_txts/TC2_oxford.txt,"“O mercy, dere nece,” anoon quod he",False,False,OXFORD
dere,dere,Troilus and Criseyde; Book II 594,data/oxford_txts/TC2_oxford.txt,"Now beth nought wrooth, my blood, my nece dere.”",False,True,OXFORD
noble,noble,Troilus and Criseyde; Book II 647,data/oxford_txts/TC2_oxford.txt,That to biholde it was a noble game,False,False,OXFORD
pure,pure,Troilus and Criseyde; Book II 656,data/oxford_txts/TC2_oxford.txt,"And with that thought, for pure ashamed, she",True,False,OXFORD
long,longe,Troilus and Criseyde; Book II 722,data/oxford_txts/TC2_oxford.txt,"“And eek I knowe, of longe time agoon",False,False,OXFORD
nice,nice,Troilus and Criseyde; Book II 723,data/oxford_txts/TC2_oxford.txt,"His thewes goode, and that he is not nice.",False,True,OXFORD
juste,juste,Troilus and Criseyde; Book II 727,data/oxford_txts/TC2_oxford.txt,"That he may make avaunt, by juste cause;",False,False,OXFORD
ofte,ofte,Troilus and Criseyde; Book II 765,data/oxford_txts/TC2_oxford.txt,"In March, that chaungeth ofte time his face",False,False,OXFORD
fre,free,Troilus and Criseyde; Book II 771,data/oxford_txts/TC2_oxford.txt,"That thought was this, “Allas! sin I am free",False,True,OXFORD
nice,nice,Troilus and Criseyde; Book II 780,data/oxford_txts/TC2_oxford.txt,"For evere som mistrust, or nice strif",False,False,OXFORD
ouen,owene,Troilus and Criseyde; Book II 784,data/oxford_txts/TC2_oxford.txt,"Our wreche is this, our owene wo to drinke.",False,False,OXFORD
ofte,ofte,Troilus and Criseyde; Book II 792,data/oxford_txts/TC2_oxford.txt,“How ofte time hath it yknowen be,False,False,OXFORD
dere,dere,Troilus and Criseyde; Book II 808,data/oxford_txts/TC2_oxford.txt,"Nothing ne acheveth, be him looth or dere.”",False,True,OXFORD
gret,grete,Troilus and Criseyde; Book II 818,data/oxford_txts/TC2_oxford.txt,"And othere of hir wommen, a grete route",False,False,OXFORD
large,large,Troilus and Criseyde; Book II 820,data/oxford_txts/TC2_oxford.txt,"This yerd was large, and railed al the aleies",True,False,OXFORD
humble,humble,Troilus and Criseyde; Book II 828,data/oxford_txts/TC2_oxford.txt,"Ben humble subgit, trewe in min entente",False,False,OXFORD
treu,trewe,Troilus and Criseyde; Book II 828,data/oxford_txts/TC2_oxford.txt,"Ben humble subgit, trewe in min entente",True,False,OXFORD
