headword,successes,failures,total,failure_rate,high_failure
gon,0,168,168,1.0,YES
forgon,0,9,9,1.0,YES
don,29,164,193,0.8497409326424871,NO
putten,1,3,4,0.75,NO
clepen,1,2,3,0.6666666666666666,NO
seien,129,142,271,0.5239852398523985,NO
haven,114,116,230,0.5043478260869565,NO
helen,4,3,7,0.42857142857142855,NO
blouen,4,3,7,0.42857142857142855,NO
areden,2,1,3,0.3333333333333333,NO
greten,2,1,3,0.3333333333333333,NO
peinten,2,1,3,0.3333333333333333,NO
deliveren,2,1,3,0.3333333333333333,NO
shitten,2,1,3,0.3333333333333333,NO
withseien,2,1,3,0.3333333333333333,NO
asterten,2,1,3,0.3333333333333333,NO
imaginen,2,1,3,0.3333333333333333,NO
preien,18,7,25,0.28,NO
comen,31,12,43,0.27906976744186046,NO
paien,11,4,15,0.26666666666666666,NO
trouen,3,1,4,0.25,NO
undertaken,3,1,4,0.25,NO
ful-fillen,3,1,4,0.25,NO
touchen,3,1,4,0.25,NO
happen,3,1,4,0.25,NO
kissen,9,2,11,0.18181818181818182,NO
prien,5,1,6,0.16666666666666666,NO
sitten,5,1,6,0.16666666666666666,NO
letten,5,1,6,0.16666666666666666,NO
sweren,12,2,14,0.14285714285714285,NO
graunten,6,1,7,0.14285714285714285,NO
leten,6,1,7,0.14285714285714285,NO
senden,6,1,7,0.14285714285714285,NO
loken,6,1,7,0.14285714285714285,NO
holden,28,4,32,0.125,NO
slepen,15,2,17,0.11764705882352941,NO
pleien,40,5,45,0.1111111111111111,NO
hongen,8,1,9,0.1111111111111111,NO
quiten,8,1,9,0.1111111111111111,NO
chesen,9,1,10,0.1,NO
knouen,20,2,22,0.09090909090909091,NO
fonden,10,1,11,0.09090909090909091,NO
kepen,20,2,22,0.09090909090909091,NO
witen,11,1,12,0.08333333333333333,NO
lesen,11,1,12,0.08333333333333333,NO
wedden,11,1,12,0.08333333333333333,NO
taken,34,3,37,0.08108108108108109,NO
singen,26,2,28,0.07142857142857142,NO
failen,13,1,14,0.07142857142857142,NO
tellen,137,10,147,0.06802721088435375,NO
sheuen,14,1,15,0.06666666666666667,NO
faren,14,1,15,0.06666666666666667,NO
meten,15,1,16,0.0625,NO
thinken,15,1,16,0.0625,NO
maken,77,5,82,0.06097560975609756,NO
biginnen,16,1,17,0.058823529411764705,NO
stonden,22,1,23,0.043478260869565216,NO
winnen,26,1,27,0.037037037037037035,NO
bringen,33,1,34,0.029411764705882353,NO
biholden,39,1,40,0.025,NO
dien,85,2,87,0.022988505747126436,NO
wenden,20,0,20,0.0,NO
reden,26,0,26,0.0,NO
declaren,5,0,5,0.0,NO
ben,526,0,526,0.0,NO
crien,31,0,31,0.0,NO
chacen,3,0,3,0.0,NO
passen,30,0,30,0.0,NO
availen,12,0,12,0.0,NO
aspien,34,0,34,0.0,NO
finden,56,0,56,0.0,NO
ringen,6,0,6,0.0,NO
binden,11,0,11,0.0,NO
sterven,15,0,15,0.0,NO
deserven,12,0,12,0.0,NO
drauen,9,0,9,0.0,NO
fecchen,4,0,4,0.0,NO
forsaken,3,0,3,0.0,NO
seilen,4,0,4,0.0,NO
cleren,3,0,3,0.0,NO
rimen,3,0,3,0.0,NO
usen,4,0,4,0.0,NO
devisen,61,0,61,0.0,NO
purchasen,4,0,4,0.0,NO
liken,6,0,6,0.0,NO
prechen,9,0,9,0.0,NO
awaken,6,0,6,0.0,NO
risen,20,0,20,0.0,NO
dauncen,9,0,9,0.0,NO
thriven,13,0,13,0.0,NO
wondren,4,0,4,0.0,NO
displesen,6,0,6,0.0,NO
asken,10,0,10,0.0,NO
flen,12,0,12,0.0,NO
withstonden,5,0,5,0.0,NO
greven,10,0,10,0.0,NO
offenden,3,0,3,0.0,NO
amenden,7,0,7,0.0,NO
enditen,15,0,15,0.0,NO
bigilen,13,0,13,0.0,NO
serven,26,0,26,0.0,NO
sen,183,0,183,0.0,NO
receiven,6,0,6,0.0,NO
dwellen,36,0,36,0.0,NO
lien,29,0,29,0.0,NO
recchen,4,0,4,0.0,NO
strecchen,4,0,4,0.0,NO
