headword,successes,failures,total,failure_rate,high_failure
ben,0,1515,1515,1.0,YES
gon,0,65,65,1.0,YES
haven,0,336,336,1.0,YES
connen,0,116,116,1.0,YES
shulen,0,270,270,1.0,YES
mouen,0,314,314,1.0,YES
seien,0,60,60,1.0,YES
don,0,72,72,1.0,YES
bitiden,0,7,7,1.0,YES
worthen,0,4,4,1.0,YES
moten,0,56,56,1.0,YES
witen,0,74,74,1.0,YES
speden,0,7,7,1.0,YES
shelden,0,6,6,1.0,YES
sterven,0,5,5,1.0,YES
thurven,0,7,7,1.0,YES
amenden,0,3,3,1.0,YES
yelden,0,4,4,1.0,YES
blessen,0,4,4,1.0,YES
leien,0,4,4,1.0,YES
lusten,0,4,4,1.0,YES
meten,0,4,4,1.0,YES
gien,0,4,4,1.0,YES
finden,0,5,5,1.0,YES
durren,0,6,6,1.0,YES
bidden,0,3,3,1.0,YES
willen,1,147,148,0.9932432432432432,YES
listen,3,131,134,0.9776119402985075,YES
saven,1,24,25,0.96,YES
lien,1,24,25,0.96,YES
smerten,1,9,10,0.9,NO
forbeden,2,16,18,0.8888888888888888,NO
helpen,7,47,54,0.8703703703703703,NO
senden,2,13,15,0.8666666666666667,NO
reden,1,4,5,0.8,NO
graunten,1,4,5,0.8,NO
sitten,5,19,24,0.7916666666666666,NO
yeven,3,11,14,0.7857142857142857,NO
holden,2,7,9,0.7777777777777778,NO
kepen,1,3,4,0.75,NO
bringen,1,3,4,0.75,NO
breken,1,3,4,0.75,NO
writen,2,5,7,0.7142857142857143,NO
preien,1,2,3,0.6666666666666666,NO
wenden,1,2,3,0.6666666666666666,NO
bifallen,1,2,3,0.6666666666666666,NO
failen,1,2,3,0.6666666666666666,NO
taken,1,2,3,0.6666666666666666,NO
comen,16,27,43,0.627906976744186,NO
dien,3,5,8,0.625,NO
cesen,2,3,5,0.6,NO
fallen,4,6,10,0.6,NO
stonden,8,11,19,0.5789473684210527,NO
reuen,2,2,4,0.5,NO
giden,2,2,4,0.5,NO
leven,2,2,4,0.5,NO
dremen,2,2,4,0.5,NO
sen,3,2,5,0.4,NO
greven,3,2,5,0.4,NO
happen,3,2,5,0.4,NO
lasten,3,2,5,0.4,NO
riden,5,3,8,0.375,NO
speken,5,3,8,0.375,NO
folwen,2,1,3,0.3333333333333333,NO
cursen,2,1,3,0.3333333333333333,NO
sheuen,2,1,3,0.3333333333333333,NO
driven,2,1,3,0.3333333333333333,NO
beren,6,2,8,0.25,NO
biginnen,3,1,4,0.25,NO
preven,3,1,4,0.25,NO
recchen,3,1,4,0.25,NO
entenden,3,1,4,0.25,NO
shinen,4,1,5,0.2,NO
tellen,4,1,5,0.2,NO
wenen,4,1,5,0.2,NO
lakken,4,1,5,0.2,NO
menen,4,1,5,0.2,NO
enden,4,1,5,0.2,NO
risen,5,1,6,0.16666666666666666,NO
loken,6,1,7,0.14285714285714285,NO
asken,7,1,8,0.125,NO
slen,7,1,8,0.125,NO
passen,7,1,8,0.125,NO
wepen,7,1,8,0.125,NO
desiren,10,1,11,0.09090909090909091,NO
liken,31,3,34,0.08823529411764706,NO
maken,28,2,30,0.06666666666666667,NO
loven,17,1,18,0.05555555555555555,NO
thinken,29,1,30,0.03333333333333333,NO
ginnen,4,0,4,0.0,NO
neden,33,0,33,0.0,NO
knouen,6,0,6,0.0,NO
eilen,10,0,10,0.0,NO
semen,17,0,17,0.0,NO
turnen,6,0,6,0.0,NO
hongen,3,0,3,0.0,NO
touchen,4,0,4,0.0,NO
causen,11,0,11,0.0,NO
rennen,5,0,5,0.0,NO
singen,5,0,5,0.0,NO
liven,6,0,6,0.0,NO
longen,9,0,9,0.0,NO
dwellen,3,0,3,0.0,NO
faren,3,0,3,0.0,NO
meven,4,0,4,0.0,NO
clepen,7,0,7,0.0,NO
waxen,3,0,3,0.0,NO
suffisen,7,0,7,0.0,NO
chaungen,3,0,3,0.0,NO
serven,7,0,7,0.0,NO
availen,5,0,5,0.0,NO
bihoven,4,0,4,0.0,NO
brennen,4,0,4,0.0,NO
priken,4,0,4,0.0,NO
geinen,3,0,3,0.0,NO
felen,6,0,6,0.0,NO
weilen,4,0,4,0.0,NO
waiten,3,0,3,0.0,NO
walken,7,0,7,0.0,NO
wilnen,3,0,3,0.0,NO
siken,8,0,8,0.0,NO
dauncen,4,0,4,0.0,NO
