headword,successes,failures,total,failure_rate,high_failure
gon,0,46,46,1.0,YES
don,0,45,45,1.0,YES
shulen,6,106,112,0.9464285714285714,YES
mouen,8,117,125,0.936,YES
willen,6,76,82,0.926829268292683,YES
seien,6,42,48,0.875,NO
haven,40,170,210,0.8095238095238095,NO
witen,6,25,31,0.8064516129032258,NO
connen,11,23,34,0.6764705882352942,NO
moten,8,5,13,0.38461538461538464,NO
techen,2,1,3,0.3333333333333333,NO
listen,2,1,3,0.3333333333333333,NO
geten,2,1,3,0.3333333333333333,NO
preien,5,2,7,0.2857142857142857,NO
knouen,17,3,20,0.15,NO
holden,7,1,8,0.125,NO
faren,10,1,11,0.09090909090909091,NO
finden,12,1,13,0.07692307692307693,NO
maken,21,1,22,0.045454545454545456,NO
ben,297,6,303,0.019801980198019802,NO
dien,3,0,3,0.0,NO
speken,7,0,7,0.0,NO
leren,3,0,3,0.0,NO
reden,9,0,9,0.0,NO
tellen,10,0,10,0.0,NO
ginnen,3,0,3,0.0,NO
sen,18,0,18,0.0,NO
liven,5,0,5,0.0,NO
fallen,8,0,8,0.0,NO
slepen,3,0,3,0.0,NO
loven,8,0,8,0.0,NO
semen,4,0,4,0.0,NO
crien,8,0,8,0.0,NO
wenen,9,0,9,0.0,NO
waxen,4,0,4,0.0,NO
sechen,6,0,6,0.0,NO
dwellen,6,0,6,0.0,NO
bisechen,3,0,3,0.0,NO
turnen,5,0,5,0.0,NO
lien,5,0,5,0.0,NO
desiren,8,0,8,0.0,NO
riden,12,0,12,0.0,NO
pleien,8,0,8,0.0,NO
callen,8,0,8,0.0,NO
pleinen,4,0,4,0.0,NO
clepen,3,0,3,0.0,NO
wenden,9,0,9,0.0,NO
wondren,3,0,3,0.0,NO
shinen,3,0,3,0.0,NO
kepen,3,0,3,0.0,NO
comen,8,0,8,0.0,NO
serven,5,0,5,0.0,NO
trouen,4,0,4,0.0,NO
writen,10,0,10,0.0,NO
yeven,3,0,3,0.0,NO
enduren,3,0,3,0.0,NO
treten,3,0,3,0.0,NO
rennen,3,0,3,0.0,NO
slen,5,0,5,0.0,NO
dauncen,3,0,3,0.0,NO
springen,3,0,3,0.0,NO
singen,4,0,4,0.0,NO
risen,4,0,4,0.0,NO
