headword,successes,failures,total,failure_rate,high_failure
werken,0,11,11,1.0,YES
speden,0,7,7,1.0,YES
kissen,0,11,11,1.0,YES
aspien,0,4,4,1.0,YES
feden,0,4,4,1.0,YES
kepen,0,7,7,1.0,YES
fetten,0,3,3,1.0,YES
bien,0,3,3,1.0,YES
brennen,0,11,11,1.0,YES
bisetten,0,3,3,1.0,YES
sechen,0,7,7,1.0,YES
lepen,0,3,3,1.0,YES
spenden,0,3,3,1.0,YES
tellen,2,51,53,0.9622641509433962,YES
durren,2,29,31,0.9354838709677419,YES
casten,2,23,25,0.92,YES
stinten,1,10,11,0.9090909090909091,YES
wenden,8,70,78,0.8974358974358975,NO
answeren,5,39,44,0.8863636363636364,NO
henten,2,14,16,0.875,NO
shitten,1,7,8,0.875,NO
techen,1,7,8,0.875,NO
sterten,2,13,15,0.8666666666666667,NO
cacchen,1,6,7,0.8571428571428571,NO
setten,4,21,25,0.84,NO
bringen,3,15,18,0.8333333333333334,NO
heren,8,37,45,0.8222222222222222,NO
dien,5,21,26,0.8076923076923077,NO
letten,1,4,5,0.8,NO
crien,3,6,9,0.6666666666666666,NO
putten,1,2,3,0.6666666666666666,NO
costen,1,2,3,0.6666666666666666,NO
bireven,2,4,6,0.6666666666666666,NO
haven,225,137,362,0.3784530386740331,NO
passen,5,3,8,0.375,NO
dwellen,3,1,4,0.25,NO
lakken,5,1,6,0.16666666666666666,NO
commaunden,6,0,6,0.0,NO
graunten,5,0,5,0.0,NO
wondren,3,0,3,0.0,NO
demen,3,0,3,0.0,NO
thanken,4,0,4,0.0,NO
usen,3,0,3,0.0,NO
