Headword,Stem Forms with -e,Reason
aspre,aspre,All stem forms end in -e
badde,badde,All stem forms end in -e
bar,bare,All stem forms end in -e
bel,beele; bele,All stem forms end in -e
blaunk,blaunche,All stem forms end in -e
blithe,blithe; blythe,All stem forms end in -e
bonde,bonde,All stem forms end in -e
clene,cleene; clene,All stem forms end in -e
crude,crude,All stem forms end in -e
deinte,deynte; deyntee,All stem forms end in -e
dere,deere; dere,All stem forms end in -e
derne,deerne,All stem forms end in -e
digne,digne,All stem forms end in -e
dim,dymme,All stem forms end in -e
don,donne,All stem forms end in -e
double,double,All stem forms end in -e
drie,dreye; drie; drye,All stem forms end in -e
due,due,All stem forms end in -e
egre,egre,All stem forms end in -e
ethe,ethe,All stem forms end in -e
falwe,falwe,All stem forms end in -e
fast,faste,All stem forms end in -e
feble,feble; fieble,All stem forms end in -e
ferrene,ferne,All stem forms end in -e
fix,fixe,All stem forms end in -e
fre,fre; free,All stem forms end in -e
fremed,fremde,All stem forms end in -e
gaudi,gaude,All stem forms end in -e
grene,greene; grene,All stem forms end in -e
hende,hende,All stem forms end in -e
holwe,holwe,All stem forms end in -e
huge,huge,All stem forms end in -e
humble,humble,All stem forms end in -e
kempe,kempe,All stem forms end in -e
kene,keene; kene,All stem forms end in -e
kinde,kynde,All stem forms end in -e
lame,lame,All stem forms end in -e
large,large,All stem forms end in -e
late,late,All stem forms end in -e
lege,lige,All stem forms end in -e
lene,leene; lene,All stem forms end in -e
lite,lite; lyte,All stem forms end in -e
lithe,lythe,All stem forms end in -e
maide,mayde,All stem forms end in -e
medle,medlee,All stem forms end in -e
mek,meeke; meke,All stem forms end in -e
mene,meene; mene,All stem forms end in -e
mete,meete; mete,All stem forms end in -e
moiste,moyste,All stem forms end in -e
narwe,narwe,All stem forms end in -e
nice,nice; nyce,All stem forms end in -e
noble,noble,All stem forms end in -e
ofte,ofte,All stem forms end in -e
pale,pale,All stem forms end in -e
povre,poore; poure; povere; povre,All stem forms end in -e
prime,prime,All stem forms end in -e
propre,propre,All stem forms end in -e
pure,pure,All stem forms end in -e
purpure,purpre,All stem forms end in -e
riche,riche; ryche,All stem forms end in -e
ripe,rype,All stem forms end in -e
rude,rude,All stem forms end in -e
secre,secre; secree,All stem forms end in -e
selde,seelde,All stem forms end in -e
sengle,sengle,All stem forms end in -e
shene,sheene; shene,All stem forms end in -e
shrille,shrille,All stem forms end in -e
simple,simple; symple,All stem forms end in -e
slou,slowe,All stem forms end in -e
smothe,smothe,All stem forms end in -e
sobre,sobre,All stem forms end in -e
softe,softe,All stem forms end in -e
sote,soote; swoote; swote,All stem forms end in -e
sounde,sownde,All stem forms end in -e
souple,souple,All stem forms end in -e
square,square,All stem forms end in -e
stable,stable,All stem forms end in -e
stale,stale,All stem forms end in -e
stepe,stepe,All stem forms end in -e
sterne,sterne; stierne,All stem forms end in -e
stille,stille,All stem forms end in -e
store,stoore,All stem forms end in -e
straunge,estraunge; strange; straunge,All stem forms end in -e
swete,sweete; swete,All stem forms end in -e
tame,tame,All stem forms end in -e
tender,tendre,All stem forms end in -e
thikke,thikke; thykke,All stem forms end in -e
thinne,thynne,All stem forms end in -e
treu,trewe,All stem forms end in -e
trie,trye,All stem forms end in -e
trouble,trouble,All stem forms end in -e
voide,voide,All stem forms end in -e
wast,waste,All stem forms end in -e
weik,wayke,All stem forms end in -e
wikke,wikke,All stem forms end in -e
wilde,wilde; wylde,All stem forms end in -e
wrecche,wrecche,All stem forms end in -e
yern,yerne,All stem forms end in -e
