Headword,Stem Forms,All Forms,Always Ends in E
gret,greet; greete; gret; grete,greet; greete; gret; grete,No
foul,foul; foule,foul; foule,No
fre,fre; free,fre; free,Yes
smal,smal; smale,smal; smale,No
dere,deere; dere,deere; dere,Yes
yong,yong; yonge,yong; yonge,No
tender,tendre,tendre,Yes
bar,bare,bare,Yes
prive,prive; privee; privy; pryve; pryvee,prive; privee; privy; pryve; pryvee,No
neue,new; newe,new; newe,No
povre,poore; poure; povere; povre,poore; poure; povere; povre,Yes
pale,pale,pale,Yes
mek,meeke; meke,meeke; meke,Yes
kinde,kynde,kynde,Yes
bright,bright; brighte; bryght; bryghte,bright; brighte; bryght; bryghte,No
wilde,wilde; wylde,wilde; wylde,Yes
chef,chef; chief,chef; chief,No
swete,sweete; swete,sweete; swete,Yes
salt,salt; salte,salt; salte,No
blak,blak; blake,blak; blake,No
lame,lame,lame,Yes
blind,blynd; blynde,blynd; blynde,No
glad,glad; gladde; glade,glad; gladde; glade,No
fresh,fresh; freshe; fressh; fresshe,fresh; freshe; fressh; fresshe,No
bleu,blew; blewe,blew; blewe,No
whit,whit; white; whyt; whyte,whit; white; whyt; whyte,No
red,red; rede; reed; reede,red; rede; reed; reede,No
quik,quike; quyk; quyke; quykkest,quike; quyk; quyke; quykkest,No
ded,ded; dede; deed,ded; dede; deed,No
ful,ful; full; fulle,ful; full; fulle,No
wise,wis; wise; wys; wyse,wis; wise; wys; wyse,No
kene,keene; kene,keene; kene,Yes
grene,greene; grene,greene; grene,Yes
god,good; goode,good; goode,No
mad,mad; madde,mad; madde,No
lene,leene; lene,leene; lene,Yes
dep,deep; dep; depe,deep; dep; depe,No
soth,sooth; soth; sothe,sooth; soth; sothe,No
voide,voide,voide,Yes
right,right; righte; ryght,right; righte; ryght,No
thikke,thikke; thykke,thikke; thykke,Yes
fair,fair; faire; fayr; fayre; feir; feyr,fair; faire; fayr; fayre; feir; feyr,No
graunt,grant; graunt,grant; graunt,No
fremed,fremde,fremde,Yes
lef,leef; leeve; leve; lief,leef; leeve; leve; lief,No
ware,war,war,No
bel,beele; bele,beele; bele,Yes
wroth,wrooth; wroothe; wroth; wrothe,wrooth; wroothe; wroth; wrothe,No
treu,trewe,trewe,Yes
noble,noble,noble,Yes
olde,old; olde; oold,old; olde; oold,No
fals,fals; false,fals; false,No
ouen,awen; oune; owen; owene; owne,awen; oune; owen; owene; owne,No
wikke,wikke,wikke,Yes
long,lange; long; longe,lange; long; longe,No
juste,just; juste,just; juste,No
loue,low; lowe,low; lowe,No
dul,dul; dulle,dul; dulle,No
wan,wan,wan,No
bai,bay; baye,bay; baye,No
heigh,heigh; heighe; hy; hye; hyeste; hygh,heigh; heighe; hy; hye; hyeste; hygh,No
pure,pure,pure,Yes
warm,warm,warm,No
cold,cold; colde; coold,cold; colde; coold,No
nice,nice; nyce,nice; nyce,Yes
ofte,ofte,ofte,Yes
prest,prest; preste,prest; preste,No
sharp,sharp; sharpe,sharp; sharpe,No
loth,looth; loothe; loth; lothest,looth; loothe; loth; lothest,No
hot,hoot; hoote; hote,hoot; hoote; hote,No
large,large,large,Yes
shene,sheene; shene,sheene; shene,Yes
humble,humble,humble,Yes
worth,worth,worth,No
dim,dymme,dymme,Yes
don,donne,donne,Yes
hust,hust,hust,No
gai,gay; gaye,gay; gaye,No
hole,hol; hool; hoole,hol; hool; hoole,No
tough,tough,tough,No
softe,softe,softe,Yes
lik,lik; like; lyk,lik; like; lyk,No
grek,greek; grek,greek; grek,No
lite,lite; lyte,lite; lyte,Yes
wel,weel; wel; wele; well,weel; wel; wele; well,No
bonde,bonde,bonde,Yes
light,light; lighte; lyght; lyghte,light; lighte; lyght; lyghte,No
hard,hard; harde,hard; harde,No
derk,derk; derke; dirke,derk; derke; dirke,No
sore,soor; soore; sore,soor; soore; sore,No
wod,wood; woode,wood; woode,No
propre,propre,propre,Yes
sik,seeke; sek; sik; sike; syk,seeke; sek; sik; sike; syk,No
plaine,playn; pleyn; pleyne,playn; pleyn; pleyne,No
sobre,sobre,sobre,Yes
straunge,estraunge; strange; straunge,estraunge; strange; straunge,Yes
fain,fawe; fayn; feyn,fawe; fayn; feyn,No
simple,simple; symple,simple; symple,Yes
slou,slowe,slowe,Yes
secre,secre; secree,secre; secree,Yes
clene,cleene; clene,cleene; clene,Yes
chaste,chaast; chast; chaste,chaast; chast; chaste,No
fat,fat,fat,No
strong,strong; stronge; stroong,strong; stronge; stroong,No
fel,fel; felle,fel; felle,No
muche,moch; moche; muche,moch; moche; muche,No
hor,hoor; hoore,hoor; hoore,No
proud,proud; proude,proud; proude,No
stif,stif,stif,No
tought,toght,toght,No
west,west,west,No
self,self; selve; selven,self; selve; selven,No
short,short; shorte,short; shorte,No
selde,seelde,seelde,Yes
ripe,rype,rype,Yes
sad,sad; sadde,sad; sadde,No
laste,last,last,No
lege,lige,lige,Yes
digne,digne,digne,Yes
maide,mayde,mayde,Yes
sterne,sterne; stierne,sterne; stierne,Yes
trouble,trouble,trouble,Yes
badde,badde,badde,Yes
stable,stable,stable,Yes
rude,rude,rude,Yes
riche,riche; ryche,riche; ryche,Yes
cler,cleer; cleere; cler; clere,cleer; cleere; cler; clere,No
stille,stille,stille,Yes
drie,dreye; drie; drye,dreye; drie; drye,Yes
pleine,pleyn,pleyn,No
couth,couth; kouth; kowthe,couth; kouth; kowthe,No
mene,meene; mene,meene; mene,Yes
deinte,deynte; deyntee,deynte; deyntee,Yes
feble,feble; fieble,feble; fieble,Yes
egre,egre,egre,Yes
lithe,lythe,lythe,Yes
queinte,queynt; queynte,queynt; queynte,No
broun,broun,broun,No
troian,troian,troian,No
double,double,double,Yes
smert,smart; smerte,smart; smerte,No
swifte,swift; swifte,swift; swifte,No
grim,grym; grymme,grym; grymme,No
stark,stark; starke,stark; starke,No
noious,noyous,noyous,No
beau,beau,beau,No
fer,fer; ferre,fer; ferre,No
domb,domb; dombe; doumb,domb; dombe; doumb,No
overt,overt,overt,No
brod,brod; brode; brood,brod; brode; brood,No
wet,weet; weete; wete,weet; weete; wete,No
fin,fyn; fyne,fyn; fyne,No
bon,bon,bon,No
loud,loud; loude; lowde,loud; loude; lowde,No
los,laus; loos; lous,laus; loos; lous,No
crisp,crips; crispe,crips; crispe,No
wid,wide; wyd; wyde,wide; wyd; wyde,No
huge,huge,huge,Yes
blo,bloo,bloo,No
blithe,blithe; blythe,blithe; blythe,Yes
falwe,falwe,falwe,Yes
mis,mys,mys,No
fers,fiers; fierse,fiers; fierse,No
bold,bold; bolde; boold,bold; bolde; boold,No
tame,tame,tame,Yes
wrong,wrong; wronge,wrong; wronge,No
vein,veyn; veyne,veyn; veyne,No
prime,prime,prime,Yes
quite,quit; quyt,quit; quyt,No
bitter,bitter; bittere; bittre,bitter; bittere; bittre,No
streight,streght; streghte; streight; streighte,streght; streghte; streight; streighte,No
smothe,smothe,smothe,Yes
rounde,round; rounde,round; rounde,No
sounde,sownde,sownde,Yes
real,real,real,No
thinne,thynne,thynne,Yes
crude,crude,crude,Yes
roughe,rough; rowe,rough; rowe,No
sauf,sauf,sauf,No
fol,fool,fool,No
sleigh,sleigh; sly; slye,sleigh; sly; slye,No
holwe,holwe,holwe,Yes
sote,soote; swoote; swote,soote; swoote; swote,Yes
def,deef; deve,deef; deve,No
raied,rayed,rayed,No
mete,meete; mete,meete; mete,Yes
flouri,floury,floury,No
flat,flat,flat,No
half,half; halve,half; halve,No
wo,wo,wo,No
fix,fixe,fixe,Yes
ner,ner,ner,No
blaunk,blaunche,blaunche,Yes
grei,gray; grey; greye,gray; grey; greye,No
slike,slyk,slyk,No
hende,hende,hende,Yes
late,late,late,Yes
gold,gold,gold,No
perte,peert,peert,No
ille,il; ille,il; ille,No
wight,wight,wight,No
streit,streit; streite,streit; streite,No
roum,rowm,rowm,No
slik,slyk,slyk,No
yon,yon,yon,No
neigh,ny; nye,ny; nye,No
weik,wayke,wayke,Yes
mat,maat; mat,maat; mat,No
square,square,square,Yes
wast,waste,waste,Yes
thral,thral,thral,No
plat,plat; platte,plat; platte,No
gaudi,gaude,gaude,Yes
kempe,kempe,kempe,Yes
stoute,stout; stoute,stout; stoute,No
paien,payen,payen,No
lift,left,left,No
due,due,due,Yes
north,north,north,No
liard,lyard,lyard,No
gent,gent,gent,No
narwe,narwe,narwe,Yes
shrille,shrille,shrille,Yes
aspre,aspre,aspre,Yes
ethe,ethe,ethe,Yes
fast,faste,faste,Yes
big,bigge; byg,bigge; byg,No
purpure,purpre,purpre,Yes
hos,hoors,hoors,No
ferrene,ferne,ferne,Yes
crul,crul; crulle,crul; crulle,No
coi,coy,coy,No
balled,balled,balled,No
stepe,stepe,stepe,Yes
souple,souple,souple,Yes
medle,medlee,medlee,Yes
tart,tart,tart,No
moiste,moyste,moyste,Yes
derne,deerne,deerne,Yes
yern,yerne,yerne,Yes
sour,sour,sour,No
sengle,sengle,sengle,Yes
sole,soul,soul,No
store,stoore,stoore,Yes
wrecche,wrecche,wrecche,Yes
stale,stale,stale,Yes
trie,trye,trye,Yes
