headword,successes,failures,total,failure_rate,high_failure
quethen,0,3,3,1.0,YES
usen,1,2,3,0.6666666666666666,NO
lien,1,2,3,0.6666666666666666,NO
comen,3,3,6,0.5,NO
liven,2,2,4,0.5,NO
sen,4,3,7,0.42857142857142855,NO
biginnen,2,1,3,0.3333333333333333,NO
yeven,2,1,3,0.3333333333333333,NO
bisechen,2,1,3,0.3333333333333333,NO
rennen,4,2,6,0.3333333333333333,NO
singen,2,1,3,0.3333333333333333,NO
haven,34,9,43,0.20930232558139536,NO
durren,4,1,5,0.2,NO
wenen,6,1,7,0.14285714285714285,NO
ginnen,26,3,29,0.10344827586206896,NO
wenden,16,1,17,0.058823529411764705,NO
seien,29,1,30,0.03333333333333333,NO
ben,140,1,141,0.0070921985815602835,NO
mouen,24,0,24,0.0,NO
knouen,6,0,6,0.0,NO
casten,5,0,5,0.0,NO
willen,35,0,35,0.0,NO
shulen,46,0,46,0.0,NO
crien,6,0,6,0.0,NO
speden,4,0,4,0.0,NO
witen,5,0,5,0.0,NO
setten,5,0,5,0.0,NO
heren,7,0,7,0.0,NO
moten,7,0,7,0.0,NO
connen,12,0,12,0.0,NO
maken,13,0,13,0.0,NO
tellen,6,0,6,0.0,NO
don,8,0,8,0.0,NO
stonden,4,0,4,0.0,NO
finden,5,0,5,0.0,NO
werken,5,0,5,0.0,NO
lasten,3,0,3,0.0,NO
fallen,4,0,4,0.0,NO
fighten,3,0,3,0.0,NO
preien,3,0,3,0.0,NO
menen,3,0,3,0.0,NO
