headword,successes,failures,total,failure_rate,high_failure
gon,0,46,46,1.0,YES
don,0,45,45,1.0,YES
shulen,6,106,112,0.9464285714285714,YES
willen,7,75,82,0.9146341463414634,YES
mouen,11,114,125,0.912,YES
seien,9,39,48,0.8125,NO
haven,40,171,211,0.8104265402843602,NO
witen,7,24,31,0.7741935483870968,NO
connen,17,17,34,0.5,NO
techen,2,1,3,0.3333333333333333,NO
preien,6,1,7,0.14285714285714285,NO
faren,10,1,11,0.09090909090909091,NO
moten,12,1,13,0.07692307692307693,NO
ben,296,6,302,0.019867549668874173,NO
dien,3,0,3,0.0,NO
finden,13,0,13,0.0,NO
speken,7,0,7,0.0,NO
leren,3,0,3,0.0,NO
reden,9,0,9,0.0,NO
maken,22,0,22,0.0,NO
tellen,10,0,10,0.0,NO
ginnen,3,0,3,0.0,NO
sen,18,0,18,0.0,NO
liven,5,0,5,0.0,NO
fallen,8,0,8,0.0,NO
slepen,3,0,3,0.0,NO
loven,8,0,8,0.0,NO
semen,4,0,4,0.0,NO
crien,8,0,8,0.0,NO
wenen,9,0,9,0.0,NO
waxen,4,0,4,0.0,NO
holden,8,0,8,0.0,NO
sechen,6,0,6,0.0,NO
dwellen,6,0,6,0.0,NO
knouen,20,0,20,0.0,NO
bisechen,3,0,3,0.0,NO
turnen,5,0,5,0.0,NO
lien,5,0,5,0.0,NO
desiren,8,0,8,0.0,NO
riden,12,0,12,0.0,NO
pleien,8,0,8,0.0,NO
callen,8,0,8,0.0,NO
pleinen,4,0,4,0.0,NO
clepen,3,0,3,0.0,NO
wenden,9,0,9,0.0,NO
wondren,3,0,3,0.0,NO
shinen,3,0,3,0.0,NO
kepen,3,0,3,0.0,NO
comen,8,0,8,0.0,NO
serven,5,0,5,0.0,NO
trouen,4,0,4,0.0,NO
writen,10,0,10,0.0,NO
listen,3,0,3,0.0,NO
yeven,3,0,3,0.0,NO
enduren,3,0,3,0.0,NO
treten,3,0,3,0.0,NO
rennen,3,0,3,0.0,NO
slen,5,0,5,0.0,NO
dauncen,3,0,3,0.0,NO
springen,3,0,3,0.0,NO
geten,3,0,3,0.0,NO
singen,4,0,4,0.0,NO
risen,4,0,4,0.0,NO
