headword,successes,failures,total,failure_rate,high_failure
faren,0,11,11,1.0,YES
slepen,5,4,9,0.4444444444444444,NO
wepen,10,4,14,0.2857142857142857,NO
understonden,5,1,6,0.16666666666666666,NO
hongen,6,1,7,0.14285714285714285,NO
biholden,7,1,8,0.125,NO
knouen,37,4,41,0.0975609756097561,NO
sitten,22,2,24,0.08333333333333333,NO
comen,74,6,80,0.075,NO
fallen,26,1,27,0.037037037037037035,NO
yeven,29,1,30,0.03333333333333333,NO
taken,49,1,50,0.02,NO
biginnen,57,1,58,0.017241379310344827,NO
writen,12,0,12,0.0,NO
leten,20,0,20,0.0,NO
speken,55,0,55,0.0,NO
bidden,28,0,28,0.0,NO
finden,34,0,34,0.0,NO
sterven,3,0,3,0.0,NO
flien,6,0,6,0.0,NO
sweren,9,0,9,0.0,NO
laughen,7,0,7,0.0,NO
bifallen,23,0,23,0.0,NO
drinken,8,0,8,0.0,NO
slen,15,0,15,0.0,NO
riden,9,0,9,0.0,NO
shinen,13,0,13,0.0,NO
winnen,10,0,10,0.0,NO
smiten,8,0,8,0.0,NO
singen,17,0,17,0.0,NO
abiden,4,0,4,0.0,NO
driven,4,0,4,0.0,NO
risen,4,0,4,0.0,NO
chesen,6,0,6,0.0,NO
awaken,3,0,3,0.0,NO
forsaken,3,0,3,0.0,NO
quaken,3,0,3,0.0,NO
eten,5,0,5,0.0,NO
binden,5,0,5,0.0,NO
