OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"Experience, though noon auctoritee","¶“Experience, though noon auctoritee°",data/riverside_cats/WBPro_riv.cat,data/oxford_txts/WBPro_oxford.txt,data/csvs/WBPro,The Wife of Bath's Prologue 1,,10,10,Experience though noon auctoritee,Experience though noon auctoritee,uSuSx u S uSuS,uSuSx u S uSuS,experience@n though@conj non@gram_adj auctorite@n,experience@n though@conj non@gram_adj auctorite@n,
"Were in this world, is right ynogh for me","Were in this world, is right inogh° for me",data/riverside_cats/WBPro_riv.cat,data/oxford_txts/WBPro_oxford.txt,data/csvs/WBPro,The Wife of Bath's Prologue 2,,10,10,Were in this world is right ynogh for me,Were in this world is right inogh for me,ux S u S u S uS u S,ux S u S u S uS u S,ben@v%pt_3 in@prep this@gram_adj world@n ben@v%pr_3 righte@adv inough@n for@prep me@pron2%obj,ben@v%pt_3 in@prep this@gram_adj world@n ben@v%pr_3 righte@adv inough@n for@prep me@pron2%obj,
To speke of wo that is in mariage;,To speke of wo that is in mariage;,data/riverside_cats/WBPro_riv.cat,data/oxford_txts/WBPro_oxford.txt,data/csvs/WBPro,The Wife of Bath's Prologue 3,,10,10,To speke of wo that is in mariage,To speke of wo that is in mariage,u Sx u S u S u SuSx,u Sx u S u S u SuSx,to@part speken@v%inf of@prep wo@n that@pron ben@v%pr_3 in@prep mariage@n,to@part speken@v%inf of@prep wo@n that@pron ben@v%pr_3 in@prep mariage@n,
"For, lordynges, sith I twelve yeer was of age","For, lordings, sith° I twelf yeer was of age",data/riverside_cats/WBPro_riv.cat,data/oxford_txts/WBPro_oxford.txt,data/csvs/WBPro,The Wife of Bath's Prologue 4,DIFF,10,10,For lordynges sith I twelve yeer was of age,For lordings sith I twelf yeer was of age,u Sux S u Sx u S u Sx,u Su S u S u S u Sx,for@conj lordinge@n%pl sitthe@conj ich@pron%nom twelve@num_adj yer@n ben@v%pt_3 of@prep age@n,for@conj lordinge@n%pl sitthe@conj ich@pron%nom  yer@n ben@v%pt_3 of@prep age@n,
Thonked be God that is eterne on lyve,"Ythonked be God that is eterne on live,°",data/riverside_cats/WBPro_riv.cat,data/oxford_txts/WBPro_oxford.txt,data/csvs/WBPro,The Wife of Bath's Prologue 5,,10,10,Thonked be God that is eterne on lyve,Ythonked be God that is eterne on live,uS u S u S uSx u Sx,uSx u S u S uSx u Sx,thanken@v%ppl ben@v%pr_3 god@n1#propn that@pron ben@v%pr_3 eterne@adj on@prep lif@n,thanken@v%ppl ben@v%pr_3 god@n1#propn that@pron ben@v%pr_3 eterne@adj on@prep lif@n,
Housbondes at chirche dore I have had fyve --,Housbonds at chirche-dore I have had five;,data/riverside_cats/WBPro_riv.cat,data/oxford_txts/WBPro_oxford.txt,data/csvs/WBPro,The Wife of Bath's Prologue 6,DIFF,10,10,Housbondes at chirche dore I have had fyve,Housbonds at chirchedore I have had five,uSu S ux Sx u Sx u Sx,uS u SuSx u Sx u Sx,hous-bonde@n%pl at@prep chirche@n#adj dore@n1 ich@pron%nom haven@v%pr_1 haven@v%ppl five@num_adj --@dash,hous-bonde@n%pl at@prep  ich@pron%nom haven@v%pr_1 haven@v%ppl five@num_adj,
If I so ofte myghte have ywedded bee --,For I so ofte have ywedded be;,data/riverside_cats/WBPro_riv.cat,data/oxford_txts/WBPro_oxford.txt,data/csvs/WBPro,The Wife of Bath's Prologue 7,DIFF,10,10,If I so ofte myghte have ywedded bee,For I so ofte have ywedded be,u S u Sx ux Sx uSu S,u S u Su Sx uSu S,if@conj ich@pron%nom so@adv ofte@adv mouen@v3%pt_1 haven@v%inf wedden@v%ppl ben@v%ppl --@dash, ich@pron%nom so@adv ofte@adv haven@v%inf wedden@v%ppl ben@v%ppl,
And alle were worthy men in hir degree.,And al were worthy men in hir degree.°,data/riverside_cats/WBPro_riv.cat,data/oxford_txts/WBPro_oxford.txt,data/csvs/WBPro,The Wife of Bath's Prologue 8,,10,10,And alle were worthy men in hir degree,And al were worthy men in hir degree,u Sx ux Su S u S uS,u S ux Su S u S uS,and@conj al@gram_adjas_n ben@v%pt_pl worthi@adj man@n%pl in@prep here@pron%pl_gen degre@n,and@conj al@gram_adjas_n ben@v%pt_pl worthi@adj man@n%pl in@prep here@pron%pl_gen degre@n,
"But me was toold, certeyn, nat longe agoon is","But me was told certein, nat longe agon is",data/riverside_cats/WBPro_riv.cat,data/oxford_txts/WBPro_oxford.txt,data/csvs/WBPro,The Wife of Bath's Prologue 9,,10,10,But me was toold certeyn nat longe agoon is,But me was told certein nat longe agon is,u x S u Su S ux Su S,u x S u Su S ux Su S,but@conj me@pron2%obj ben@v%pt_3 tellen@v%ppl certain@adv not@adv longe@adv agon@v%ppl_abs ben@v%pr_3,but@conj me@pron2%obj ben@v%pt_3 tellen@v%ppl certain@adv not@adv longe@adv agon@v%ppl_abs ben@v%pr_3,
That sith that Crist ne wente nevere but onis,That sith that Crist ne went never but onis°,data/riverside_cats/WBPro_riv.cat,data/oxford_txts/WBPro_oxford.txt,data/csvs/WBPro,The Wife of Bath's Prologue 10,,10,10,That sith that Crist ne wente nevere but onis,That sith that Crist ne went never but onis,u S u S u Sx uxx S uS,u S u S u S u S uS,that@conj sitthe@conj that@part crist@n#propn ne@adv wenden@v%pt_3 never@adv but@conj ones@adv,that@conj sitthe@conj that@part crist@n#propn ne@adv wenden@v%pt_3 never@adv but@conj ones@adv,
