headword,infinitive,preterite,past_participle,classification,notes
ben,ben,"was(3734), were(644), wer(18)","been(77), ben(67), be(24)",irregular,Known irregular
connen,connen,"koude(175), coude(142), coud(14), kouth(3), couthe(3), couth(3), kouthe(3), koud(2), kowde(2)","ykoude(1), coud(1), ykoud(1), koud(1)",irregular,Known irregular
willen,willen,"wolde(53), wold(2)",,irregular,Known irregular
ginnen,ginnen,"gan(198), gonne(1)",,Irregular / unclear,"Very stumped here, seems maybe irregular"
gon,gon,,"goon(26), gon(8), go(5), gane(1), geen(1), goo(1)",Irregular verb,Known irregular
abiden,abiden,"abood(5), abod(2), abode(1)",abiden(2),strong,known
agrisen,agrisen,agroos(2),,strong,classified by morphological evidence
arisen,arisen,"aros(3), aroos(2)",arisen(2),strong,known strong verb
awaken,awaken,awook(5),,strong,known strong verb
awreken,awreken,,awroken(2),strong,Wreken is strong
beden,beden,,bode(2),strong,known strong verb
beren,beren,"bar(88), baar(25)","born(60), bore(4), boren(2)",strong,known strong verb (check!)
beten,beten,bet(2),"beten(6), bete(1), ybeten(1), bet(1)",strong,known strong verb (check!)
bicomen,bicomen,"becam(2), bicom(2), bicam(2)","become(2), bicome(2), bicomen(2)",strong,Comen is strong
bidden,bidden,"bad(2), badde(1), bade(1)",bede(2),strong,known strong verb
biden,biden,bood(2),,strong,known
bifallen,bifallen,"bifel(52), befel(2), byfel(2), bifelle(2), bifil(2), befill(1), befil(1)","bifalle(1), byfalle(1)",strong,Fallen is strong
biginnen,biginnen,"bigan(50), began(9), bygan(3), bigonne(2), bygonne(1)","bigonne(5), bigon(1)",strong,known strong verb
biholden,biholden,"beheld(5), biheld(4), byheld(1), behelde(1), biheeld(1)",,strong,known strong verb
binden,binden,"bond(4), boond(3)","bounden(9), ybounden(3), ybounde(2), ibounden(1)",strong,known strong verb
biquethen,biquethen,,biquethe(1),strong,known strong verb
bisen,bisen,,"besein(1), biseyn(1)",strong,Seems strong even though not in list
bitaken,bitaken,bitook(2),,strong,Taken is strong
blouen,blouen,blew(20),"blowen(4), yblowe(1), iblowe(1)",strong,classified by morphological evidence (check!)
breken,breken,brak(1),"broken(8), broke(4)",strong,known strong verb
bresten,bresten,"brast(8), braste(3)",brosten(4),strong,known strong verb
breuen,breuen,brew(1),,strong,known
chesen,chesen,"chees(11), ches(3)","chosen(10), chose(2)",strong,known strong verb
cleven,cleven,"cleft(1), clefte(1)",,strong,known strong verb (check!)
climben,climben,"clomb(2), clamb(2)","clomben(4), cloumbe(1)",strong,known strong verb
