headword,word,line_number,filename,context,is_elided,is_final,text_type,oxford_context,riverside_context
yong,yonge,House of Fame 1233,data/oxford_txts/HF_oxford.txt,"Ther saugh I famous, olde and yonge",False,True,BOTH,"Ther saugh I famous, olde and yonge",Ther saugh I famous olde and yonge
prive,privee,Parliament of Fowls 260,data/oxford_txts/PF_oxford.txt,"And in a privee corner, in disporte,°",False,False,BOTH,"And in a privee corner, in disporte,°",And in a prive corner in disport
dere,dere,Parliament of Fowls 466,data/oxford_txts/PF_oxford.txt,"Forth with his make, or with his lady dere;",False,True,BOTH,"Forth with his make, or with his lady dere;",Forth with his make or with his lady deere
olde,olde,House of Fame 1155,data/oxford_txts/HF_oxford.txt,"Of olde time, and yit they were",False,False,BOTH,"Of olde time, and yit they were",Of olde tyme and yet they were
dere,dere,Troilus and Criseyde; Book V 1340,data/oxford_txts/TC5_oxford.txt,"And over al this, that ye, my lady dere",False,True,BOTH,"And over al this, that ye, my lady dere",And over al this that ye my lady deere
povre,povre,The Wife of Bath's Prologue 249,data/oxford_txts/WBPro_oxford.txt,"To wedde a povre womman, for costage;°",False,False,BOTH,"To wedde a povre womman, for costage;°",To wedde a povre womman for costage
dere,dere,The Shipman's Tale 69,data/oxford_txts/ShipT_oxford.txt,"Our dere cosin, ful of curteisie?",False,False,BOTH,"Our dere cosin, ful of curteisie?",Oure deere cosyn ful of curteisye
bar,bare,Troilus and Criseyde; Book IV 1225,data/oxford_txts/TC4_oxford.txt,"As it lay bare, and gan for fere crie",True,False,BOTH,"As it lay bare, and gan for fere crie",As it lay bare and gan for fere crye
treu,trewe,The Wife of Bath's Prologue 819,data/oxford_txts/WBPro_oxford.txt,"And that he seid, ‘Min owne trewe° wif",False,False,BOTH,"And that he seid, ‘Min owne trewe° wif",And that he seyde Myn owene trewe wyf
rude,rude,The Second Nun's Tale 432,data/oxford_txts/SNT_oxford.txt,“Of whennes comth thin answering so rude?”,False,True,BOTH,“Of whennes comth thin answering so rude?”,Of whennes comth thyn answeryng so rude
long,longe,Parliament of Fowls 661,data/oxford_txts/PF_oxford.txt,A yeer is not so longe to endure,False,False,BOTH,A yeer is not so longe to endure,A yer is nat so longe to endure
fre,free,Troilus and Criseyde; Book V 1405,data/oxford_txts/TC5_oxford.txt,"Ywis, min hertes day, my lady free",False,True,BOTH,"Ywis, min hertes day, my lady free",Iwys myn hertes day my lady free
treu,trewe,Troilus and Criseyde; Book II 339,data/oxford_txts/TC2_oxford.txt,"That is so trewe and worthy, as ye see",True,False,BOTH,"That is so trewe and worthy, as ye see",That is so trewe and worthi as ye se
treu,trewe,The Shipman's Tale 207,data/oxford_txts/ShipT_oxford.txt,"Goth now, and beeth as trewe as I shal be.”",True,False,BOTH,"Goth now, and beeth as trewe as I shal be.”",Gooth now and beeth as trewe as I shal be
grene,grene,The Clerk's Tale 1173,data/oxford_txts/ClT_oxford.txt,I wol with lusty° herte fresshe and grene,False,True,BOTH,I wol with lusty° herte fresshe and grene,I wol with lusty herte fressh and grene
bar,bare,The General Prologue 683,data/oxford_txts/GP_oxford.txt,"Dischevel, save his cappe, he rood al bare.",False,True,BOTH,"Dischevel, save his cappe, he rood al bare.",Dischevelee save his cappe he rood al bare
bar,bare,The Canon's Yeoman's Tale 732,data/oxford_txts/CYT_oxford.txt,That sliding° science hath me maad so bare,False,True,BOTH,That sliding° science hath me maad so bare,That slidynge science hath me maad so bare
clene,clene,The Second Nun's Tale 300,data/oxford_txts/SNT_oxford.txt,And make thee clene; so that thou mowe° biholde,False,False,BOTH,And make thee clene; so that thou mowe° biholde,And make thee clene so that thou mowe biholde
deinte,deintee,The General Prologue 168,data/oxford_txts/GP_oxford.txt,Ful many a deintee hors hadde he in stable:,False,False,BOTH,Ful many a deintee hors hadde he in stable:,Ful many a deyntee hors hadde he in stable
large,large,The Franklin's Tale 755,data/oxford_txts/FranT_oxford.txt,"Ye profre me to have so large a reine,°",True,False,BOTH,"Ye profre me to have so large a reine,°",Ye profre me to have so large a reyne
fremed,fremde,Troilus and Criseyde; Book II 248,data/oxford_txts/TC2_oxford.txt,Lat be to me your fremde maner speche,False,False,BOTH,Lat be to me your fremde maner speche,Lat be to me youre fremde manere speche
neue,newe,The Summoner's Tale 2293,data/oxford_txts/SumT_oxford.txt,And Jankin hath ywonne a newe goune.—,False,False,BOTH,And Jankin hath ywonne a newe goune.—,And Jankyn hath ywonne a newe gowne
riche,riche,Book of the Duchess 1319,data/oxford_txts/BD_oxford.txt,By Seint Johan! on a riche hille,False,False,BOTH,By Seint Johan! on a riche hille,Be Seynt Johan on a ryche hil
heigh,heighe,The Pardoner's Tale 640,data/oxford_txts/PardT_oxford.txt,Of heighe Goddes hestes° honurable,False,False,BOTH,Of heighe Goddes hestes° honurable,Of heighe Goddes heestes honurable
bai,baye,Troilus and Criseyde; Book V 1038,data/oxford_txts/TC5_oxford.txt,That she him yaf the faire baye stede,False,False,BOTH,That she him yaf the faire baye stede,That she hym yaf the faire baye stede
dere,dere,Troilus and Criseyde; Book III 1493,data/oxford_txts/TC3_oxford.txt,"And with a sik she seide, “O herte dere",False,True,BOTH,"And with a sik she seide, “O herte dere",And with a sik she seyde O herte deere
wikke,wikke,Troilus and Criseyde; Book II 458,data/oxford_txts/TC2_oxford.txt,As men ben cruel in hemself and wikke;,False,True,BOTH,As men ben cruel in hemself and wikke;,As men ben cruel in hemself and wikke
stille,stille,Troilus and Criseyde; Book I 126,data/oxford_txts/TC1_oxford.txt,"And took hir leve, and hoom, and held hir stille.",False,True,BOTH,"And took hir leve, and hoom, and held hir stille.",And took hire leve and hom and held hir stille
long,longe,Troilus and Criseyde; Book V 1325,data/oxford_txts/TC5_oxford.txt,As ye wel knowe how longe time agoon,False,False,BOTH,As ye wel knowe how longe time agoon,As ye wel knowe how longe tyme agon
fair,faire,The Pardoner's Tale 921,data/oxford_txts/PardT_oxford.txt,As faire as any man in Engelond,True,False,BOTH,As faire as any man in Engelond,As faire as any man in Engelond
yong,yonge,The Wife of Bath's Tale 1259,data/oxford_txts/WBT_oxford.txt,"Housbondes meke, yonge, and fresshe abedde",True,False,BOTH,"Housbondes meke, yonge, and fresshe abedde",Housbondes meeke yonge and fressh abedde
muche,moche,House of Fame 147,data/oxford_txts/HF_oxford.txt,"In Itaile, with ful moche pine,°",False,False,BOTH,"In Itaile, with ful moche pine,°",In Itayle with ful moche pyne
long,longe,The Franklin's Tale 1081,data/oxford_txts/FranT_oxford.txt,And longe time he lay forth° in a traunce.,False,False,BOTH,And longe time he lay forth° in a traunce.,And longe tyme he lay forth in a traunce
pale,pale,The Pardoner's Tale 738,data/oxford_txts/PardT_oxford.txt,For which ful pale and welked° is my face.,True,False,BOTH,For which ful pale and welked° is my face.,For which ful pale and welked is my face
god,gode,House of Fame 1854,data/oxford_txts/HF_oxford.txt,As gode folk han for goodnesse;,False,False,BOTH,As gode folk han for goodnesse;,As goode folk han for godnesse
god,goode,Book of the Duchess 891,data/oxford_txts/BD_oxford.txt,"But goode folk, over al other",False,False,BOTH,"But goode folk, over al other",But goode folk over al other
povre,pore,The Summoner's Tale 1936,data/oxford_txts/SumT_oxford.txt,But we that humble been and chast and pore,False,True,BOTH,But we that humble been and chast and pore,But we that humble been and chaast and poore
wise,wise,The Wife of Bath's Tale 944,data/oxford_txts/WBT_oxford.txt,"We wol° been holden° wise, and clene of sinne.°",True,False,BOTH,"We wol° been holden° wise, and clene of sinne.°",We wol been holden wise and clene of synne
humble,humble,The Clerk's Tale 824,data/oxford_txts/ClT_oxford.txt,But humble servant to your worthinesse,False,False,BOTH,But humble servant to your worthinesse,But humble servant to youre worthynesse
swete,swete,Troilus and Criseyde; Book IV 1449,data/oxford_txts/TC4_oxford.txt,"Dwel rather here, min owene swete herte!",False,False,BOTH,"Dwel rather here, min owene swete herte!",Dwelle rather here myn owen swete herte
humble,humble,Troilus and Criseyde; Book III 1487,data/oxford_txts/TC3_oxford.txt,"That I, your humble servaunt and your knight",False,False,BOTH,"That I, your humble servaunt and your knight",That I youre humble servant and youre knyght
dere,dere,Troilus and Criseyde; Book V 218,data/oxford_txts/TC5_oxford.txt,“Wher is min owene lady lief and dere,False,True,BOTH,“Wher is min owene lady lief and dere,Wher is myn owene lady lief and deere
long,longe,The Squire's Tale 444,data/oxford_txts/SqT_oxford.txt,A longe while to waiten° hir she stood,False,False,BOTH,A longe while to waiten° hir she stood,A longe whil to wayten hire she stood
dere,deere,The Wife of Bath's Prologue 804,data/oxford_txts/WBPro_oxford.txt,"And seide, ‘deere suster Alisoun",False,False,BOTH,"And seide, ‘deere suster Alisoun",And seyde Deere suster Alisoun
swete,swete,The Miller's Tale 3261,data/oxford_txts/MilT_oxford.txt,"Hir mouth was swete as bragot° or the meeth,°",True,False,BOTH,"Hir mouth was swete as bragot° or the meeth,°",Hir mouth was sweete as bragot or the meeth
treu,trewe,Troilus and Criseyde; Book V 831,data/oxford_txts/TC5_oxford.txt,Trewe as steel in ech condicioun;,True,False,BOTH,Trewe as steel in ech condicioun;,Trewe as stiel in ech condicioun
swete,swete,Troilus and Criseyde; Book IV 779,data/oxford_txts/TC4_oxford.txt,"Shul blake been, in tokening, herte swete",False,True,BOTH,"Shul blake been, in tokening, herte swete",Shul blake ben in tokenyng herte swete
dere,dere,Troilus and Criseyde; Book V 521,data/oxford_txts/TC5_oxford.txt,"And to Pandare, his owene brother dere",False,True,BOTH,"And to Pandare, his owene brother dere",And to Pandare his owen brother deere
crude,crude,The Canon's Yeoman's Tale 772,data/oxford_txts/CYT_oxford.txt,"Of quiksilver,° yclept° Mercurie crude?",False,True,BOTH,"Of quiksilver,° yclept° Mercurie crude?",Of quyksilver yclept mercurie crude
humble,humble,Troilus and Criseyde; Book II 1069,data/oxford_txts/TC2_oxford.txt,"And in ful humble wise, as in his speche",False,False,BOTH,"And in ful humble wise, as in his speche",And in ful humble wise as in his speche
swete,swete,Troilus and Criseyde; Book IV 507,data/oxford_txts/TC4_oxford.txt,But now thy cominge is to me so swete,False,True,BOTH,But now thy cominge is to me so swete,But now thi comynge is to me so swete
bonde,bonde,The Monk's Tale 2270,data/oxford_txts/MkT_oxford.txt,To no man deigned hir° for to be bonde.,False,True,BOTH,To no man deigned hir° for to be bonde.,To no man deigned hire for to be bonde
sobre,sobre,The Clerk's Tale 366,data/oxford_txts/ClT_oxford.txt,And forth he gooth with a ful sobre chere°,False,False,BOTH,And forth he gooth with a ful sobre chere°,And forth he gooth with a ful sobre cheere
sounde,sounde,Troilus and Criseyde; Book III 1526,data/oxford_txts/TC3_oxford.txt,Ther God us graunte sounde and sone to mete!”,True,False,BOTH,Ther God us graunte sounde and sone to mete!”,Ther God us graunte sownde and soone to mete
foul,foule,The Prioress' Tale 491,data/oxford_txts/PrT_oxford.txt,"For foule usure° and lucre of vilanie,°",True,False,BOTH,"For foule usure° and lucre of vilanie,°",For foule usure and lucre of vileynye
gret,grete,Troilus and Criseyde; Book II 1403,data/oxford_txts/TC2_oxford.txt,Which hadde his lord and grete freend ben ay;,False,False,BOTH,Which hadde his lord and grete freend ben ay;,Which hadde his lord and grete frend ben ay
