headword,word,line_number,filename,context,is_elided,is_final,text_type,oxford_context,riverside_context
yong,yonge,House of Fame 1233,data/oxford_txts/HF_oxford.txt,"Ther saugh I famous, olde and yonge",False,True,BOTH,"Ther saugh I famous, olde and yonge",Ther saugh I famous olde and yonge
prive,privee,Parliament of Fowls 260,data/oxford_txts/PF_oxford.txt,"And in a privee corner, in disporte,°",False,False,BOTH,"And in a privee corner, in disporte,°",And in a prive corner in disport
heigh,hie,House of Fame 1133,data/oxford_txts/HF_oxford.txt,To bilden on a place hie;,False,True,BOTH,To bilden on a place hie;,To bilden on a place hye
olde,olde,House of Fame 1155,data/oxford_txts/HF_oxford.txt,"Of olde time, and yit they were",False,False,BOTH,"Of olde time, and yit they were",Of olde tyme and yet they were
muche,moche,Book of the Duchess 1197,data/oxford_txts/BD_oxford.txt,"So moche beaute, trewely",False,False,BOTH,"So moche beaute, trewely",So moche beaute trewely
long,longe,Parliament of Fowls 661,data/oxford_txts/PF_oxford.txt,A yeer is not so longe to endure,False,False,BOTH,A yeer is not so longe to endure,A yer is nat so longe to endure
ded,dede,Troilus and Criseyde; Book III 292,data/oxford_txts/TC3_oxford.txt,For which these wise clerkes that ben dede,False,True,BOTH,For which these wise clerkes that ben dede,For which thise wise clerkes that ben dede
god,gode,Troilus and Criseyde; Book III 264,data/oxford_txts/TC3_oxford.txt,"But gode brother, do now as thee oughte",False,False,BOTH,"But gode brother, do now as thee oughte",But goode brother do now as the oughte
quik,quike,Troilus and Criseyde; Book II 52,data/oxford_txts/TC2_oxford.txt,"Ben quike again, that winter dede made",True,False,BOTH,"Ben quike again, that winter dede made",Ben quike agayn that wynter dede made
olde,olde,Troilus and Criseyde; Book I 130,data/oxford_txts/TC1_oxford.txt,"Kepte hir estat, and bothe of yonge and olde",False,True,BOTH,"Kepte hir estat, and bothe of yonge and olde",Kepte hir estat and both of yonge and olde
wroth,wrothe,Troilus and Criseyde; Book I 140,data/oxford_txts/TC1_oxford.txt,"After hir cours, ay whil that they were wrothe.",False,True,BOTH,"After hir cours, ay whil that they were wrothe.",Aftir hir course ay whil that thei were wrothe
olde,olde,The Wife of Bath's Prologue 291,data/oxford_txts/WBPro_oxford.txt,Til they be wedded; olde dotard shrewe!,False,False,BOTH,Til they be wedded; olde dotard shrewe!,Til they be wedded olde dotard shrewe
fair,faire,The Second Nun's Tale 293,data/oxford_txts/SNT_oxford.txt,Seid this blisful faire maide dere;,False,False,BOTH,Seid this blisful faire maide dere;,Seyde this blisful faire mayde deere
lef,leve,The Franklin's Tale 1607,data/oxford_txts/FranT_oxford.txt,"¶This philosophre answerd, “Leve° brother",False,False,BOTH,"¶This philosophre answerd, “Leve° brother",This philosophre answerde Leeve brother
olde,olde,The Monk's Tale 1998,data/oxford_txts/MkT_oxford.txt,Be war by thise ensamples trewe and olde.,False,True,BOTH,Be war by thise ensamples trewe and olde.,Be war by thise ensamples trewe and olde
neue,newe,The Summoner's Tale 2293,data/oxford_txts/SumT_oxford.txt,And Jankin hath ywonne a newe goune.—,False,False,BOTH,And Jankin hath ywonne a newe goune.—,And Jankyn hath ywonne a newe gowne
olde,olde,House of Fame 1233,data/oxford_txts/HF_oxford.txt,"Ther saugh I famous, olde and yonge",True,False,BOTH,"Ther saugh I famous, olde and yonge",Ther saugh I famous olde and yonge
heigh,heighe,The Pardoner's Tale 640,data/oxford_txts/PardT_oxford.txt,Of heighe Goddes hestes° honurable,False,False,BOTH,Of heighe Goddes hestes° honurable,Of heighe Goddes heestes honurable
bai,baye,Troilus and Criseyde; Book V 1038,data/oxford_txts/TC5_oxford.txt,That she him yaf the faire baye stede,False,False,BOTH,That she him yaf the faire baye stede,That she hym yaf the faire baye stede
foul,foule,The Wife of Bath's Tale 1082,data/oxford_txts/WBT_oxford.txt,"So wo was him, his wif looked so foule.",False,True,BOTH,"So wo was him, his wif looked so foule.",So wo was hym his wyf looked so foule
wroth,wroothe,Book of the Duchess 582,data/oxford_txts/BD_oxford.txt,For al welfare and I be wroothe.°,False,True,BOTH,For al welfare and I be wroothe.°,For al welfare and I be wroothe
long,longe,The Merchant's Tale 1696,data/oxford_txts/MerT_oxford.txt,"I trowe° it were to longe yow to tarie,°",False,False,BOTH,"I trowe° it were to longe yow to tarie,°",I trowe it were to longe yow to tarie
long,longe,Troilus and Criseyde; Book V 1325,data/oxford_txts/TC5_oxford.txt,As ye wel knowe how longe time agoon,False,False,BOTH,As ye wel knowe how longe time agoon,As ye wel knowe how longe tyme agon
fair,faire,The Pardoner's Tale 921,data/oxford_txts/PardT_oxford.txt,As faire as any man in Engelond,True,False,BOTH,As faire as any man in Engelond,As faire as any man in Engelond
yong,yonge,The Wife of Bath's Tale 1259,data/oxford_txts/WBT_oxford.txt,"Housbondes meke, yonge, and fresshe abedde",True,False,BOTH,"Housbondes meke, yonge, and fresshe abedde",Housbondes meeke yonge and fressh abedde
muche,moche,House of Fame 147,data/oxford_txts/HF_oxford.txt,"In Itaile, with ful moche pine,°",False,False,BOTH,"In Itaile, with ful moche pine,°",In Itayle with ful moche pyne
long,longe,The Franklin's Tale 1081,data/oxford_txts/FranT_oxford.txt,And longe time he lay forth° in a traunce.,False,False,BOTH,And longe time he lay forth° in a traunce.,And longe tyme he lay forth in a traunce
god,goode,The Reeve's Tale 4247,data/oxford_txts/RvT_oxford.txt,"And, goode lemman, God thee save and kepe!”°",False,False,BOTH,"And, goode lemman, God thee save and kepe!”°",And goode lemman God thee save and kepe
wise,wise,The Knight's Tale 1804,data/oxford_txts/KnT_oxford.txt,And yet they wenen° for to been ful wise,False,True,BOTH,And yet they wenen° for to been ful wise,And yet they wenen for to been ful wyse
god,gode,House of Fame 1854,data/oxford_txts/HF_oxford.txt,As gode folk han for goodnesse;,False,False,BOTH,As gode folk han for goodnesse;,As goode folk han for godnesse
god,goode,Book of the Duchess 891,data/oxford_txts/BD_oxford.txt,"But goode folk, over al other",False,False,BOTH,"But goode folk, over al other",But goode folk over al other
strong,stronge,Troilus and Criseyde; Book V 1201,data/oxford_txts/TC5_oxford.txt,So were his throwes sharpe and wonder stronge.,False,True,BOTH,So were his throwes sharpe and wonder stronge.,So were his throwes sharpe and wonder stronge
fair,faire,Book of the Duchess 400,data/oxford_txts/BD_oxford.txt,"With floures fel,° faire under fete",True,False,BOTH,"With floures fel,° faire under fete",With floures fele faire under fete
wise,wise,The Wife of Bath's Tale 944,data/oxford_txts/WBT_oxford.txt,"We wol° been holden° wise, and clene of sinne.°",True,False,BOTH,"We wol° been holden° wise, and clene of sinne.°",We wol been holden wise and clene of synne
wise,wise,The Wife of Bath's Tale 1231,data/oxford_txts/WBT_oxford.txt,I put me in your wise governance;,False,False,BOTH,I put me in your wise governance;,I put me in youre wise governance
sik,seke,The General Prologue 18,data/oxford_txts/GP_oxford.txt,"That hem hath holpen, whan that they were seke.",False,True,BOTH,"That hem hath holpen, whan that they were seke.",That hem hath holpen whan that they were seeke
olde,olde,The Clerk's Tale 419,data/oxford_txts/ClT_oxford.txt,"That men and wommen, as wel yonge as olde",False,True,BOTH,"That men and wommen, as wel yonge as olde",That men and wommen as wel yonge as olde
long,longe,The Squire's Tale 444,data/oxford_txts/SqT_oxford.txt,A longe while to waiten° hir she stood,False,False,BOTH,A longe while to waiten° hir she stood,A longe whil to wayten hire she stood
god,gode,The Physician's Tale 235,data/oxford_txts/PhyT_oxford.txt,"And seide, “Gode fader, shal I die?",False,False,BOTH,"And seide, “Gode fader, shal I die?",And seyde Goode fader shal I dye
long,longe,Troilus and Criseyde; Book II 722,data/oxford_txts/TC2_oxford.txt,"“And eek I knowe, of longe time agoon",False,False,BOTH,"“And eek I knowe, of longe time agoon",And ek I knowe of longe tyme agon
hot,hote,The Squire's Tale 51,data/oxford_txts/SqT_oxford.txt,"In Aries, the colerik° hote signe.",False,False,BOTH,"In Aries, the colerik° hote signe.",In Aries the colerik hoote signe
fresh,fresshe,Troilus and Criseyde; Book V 244,data/oxford_txts/TC5_oxford.txt,Shal been your fresshe wommanliche face,False,False,BOTH,Shal been your fresshe wommanliche face,Shal ben youre fresshe wommanliche face
foul,foule,The Prioress' Tale 491,data/oxford_txts/PrT_oxford.txt,"For foule usure° and lucre of vilanie,°",True,False,BOTH,"For foule usure° and lucre of vilanie,°",For foule usure and lucre of vileynye
gret,grete,Troilus and Criseyde; Book II 1403,data/oxford_txts/TC2_oxford.txt,Which hadde his lord and grete freend ben ay;,False,False,BOTH,Which hadde his lord and grete freend ben ay;,Which hadde his lord and grete frend ben ay
wid,wide,The Nun's Priest's Tale 3015,data/oxford_txts/NPT_oxford.txt,"Bihold my blody woundes, depe and wide!",False,True,BOTH,"Bihold my blody woundes, depe and wide!",Bihoold my bloody woundes depe and wyde
proud,proude,Troilus and Criseyde; Book I 233,data/oxford_txts/TC1_oxford.txt,"Ye wise, proude, and worthy folkes alle",True,False,BOTH,"Ye wise, proude, and worthy folkes alle",Ye wise proude and worthi folkes alle
fair,faire,The Second Nun's Tale 461,data/oxford_txts/SNT_oxford.txt,At which the holy blisful faire maide,False,False,BOTH,At which the holy blisful faire maide,At which the hooly blisful faire mayde
olde,olde,Troilus and Criseyde; Book V 470,data/oxford_txts/TC5_oxford.txt,"The lettres eek, that she of olde time",False,False,BOTH,"The lettres eek, that she of olde time",The lettres ek that she of olde tyme
lef,leve,Troilus and Criseyde; Book III 330,data/oxford_txts/TC3_oxford.txt,“But now to purpos; leve brother dere,False,False,BOTH,“But now to purpos; leve brother dere,But now to purpos leve brother deere
blind,blinde,The Merchant's Tale 2259,data/oxford_txts/MerT_oxford.txt,Unto this olde blinde worthy knight,False,False,BOTH,Unto this olde blinde worthy knight,Unto this olde blynde worthy knyght
ouen,owne,The Knight's Tale 1744,data/oxford_txts/KnT_oxford.txt,"Youre owne mouth, by your confessioun",False,False,BOTH,"Youre owne mouth, by your confessioun",Youre owene mouth by youre confessioun
neue,newe,The Clerk's Tale 997,data/oxford_txts/ClT_oxford.txt,Deliting ever in rumbel° that is newe,False,True,BOTH,Deliting ever in rumbel° that is newe,Delitynge evere in rumbul that is newe
fresh,fresshe,Troilus and Criseyde; Book III 128,data/oxford_txts/TC3_oxford.txt,"Quod Troilus, “O goodly fresshe free!",False,False,BOTH,"Quod Troilus, “O goodly fresshe free!",Quod Troilus O goodly fresshe free
juste,juste,Troilus and Criseyde; Book III 1227,data/oxford_txts/TC3_oxford.txt,As she that juste cause hadde him to triste,False,False,BOTH,As she that juste cause hadde him to triste,As she that juste cause hadde hym to triste
ouen,owne,The Knight's Tale 3077,data/oxford_txts/KnT_oxford.txt,"That gentil Palamon, your owne knight",False,False,BOTH,"That gentil Palamon, your owne knight",That gentil Palamon youre owene knyght
olde,olde,The Squire's Tale 88,data/oxford_txts/SqT_oxford.txt,Ful bisily° they waiten° yonge and olde.,False,True,BOTH,Ful bisily° they waiten° yonge and olde.,Ful bisily they wayten yonge and olde
neue,newe,Troilus and Criseyde; Book I 157,data/oxford_txts/TC1_oxford.txt,"With newe grene, of lusty Ver the prime",False,False,BOTH,"With newe grene, of lusty Ver the prime",With newe grene of lusty Veer the pryme
