headword,word,line_number,filename,context,is_elided,is_final,text_type,oxford_context,riverside_context
prive,privee,Parliament of Fowls 260,data/oxford_txts/PF_oxford.txt,"And in a privee corner, in disporte,°",False,False,BOTH,"And in a privee corner, in disporte,°",And in a prive corner in disport
lef,leve,Troilus and Criseyde; Book V 307,data/oxford_txts/TC5_oxford.txt,"My swerd, min helm, and, leve brother dere",False,False,BOTH,"My swerd, min helm, and, leve brother dere",My swerd myn helm and leve brother deere
swete,swete,The Miller's Tale 3805,data/oxford_txts/MilT_oxford.txt,"“Spek, swete brid,° I noot° nat wher thou art.”",False,False,BOTH,"“Spek, swete brid,° I noot° nat wher thou art.”",Spek sweete bryd I noot nat where thou art
humble,humble,The Second Nun's Tale 397,data/oxford_txts/SNT_oxford.txt,With humble herte and sad° devocioun,False,False,BOTH,With humble herte and sad° devocioun,With humble herte and sad devocioun
fair,faire,Troilus and Criseyde; Book V 1412,data/oxford_txts/TC5_oxford.txt,"And fareth wel, goodly faire fresshe may",False,False,BOTH,"And fareth wel, goodly faire fresshe may",And fareth wel goodly faire fresshe may
god,goode,Book of the Duchess 891,data/oxford_txts/BD_oxford.txt,"But goode folk, over al other",False,False,BOTH,"But goode folk, over al other",But goode folk over al other
noble,noble,Troilus and Criseyde; Book V 1323,data/oxford_txts/TC5_oxford.txt,Me recomaunde unto your noble grace.,False,False,BOTH,Me recomaunde unto your noble grace.,Me recomaunde unto youre noble grace
neue,newe,House of Fame 2045,data/oxford_txts/HF_oxford.txt,A newe tiding prevely,False,False,BOTH,A newe tiding prevely,A newe tydynge prively
dere,dere,The Merchant's Tale 1488,data/oxford_txts/MerT_oxford.txt,Min owene dere brother and my lord,False,False,BOTH,Min owene dere brother and my lord,Myn owene deere brother and my lord
sad,sadde,The Clerk's Tale 1002,data/oxford_txts/ClT_oxford.txt,Thus seiden sadde folk° in that citee,False,False,BOTH,Thus seiden sadde folk° in that citee,Thus seyden sadde folk in that citee
dere,deere,The Friar's Tale 1567,data/oxford_txts/FriT_oxford.txt,"Heer may ye see, min owne deere brother",False,False,BOTH,"Heer may ye see, min owne deere brother",Heere may ye se myn owene deere brother
povre,povre,The General Prologue 702,data/oxford_txts/GP_oxford.txt,A povre person dwelling upon lond,False,False,BOTH,A povre person dwelling upon lond,A povre person dwellynge upon lond
humble,humble,The Wife of Bath's Tale 1221,data/oxford_txts/WBT_oxford.txt,And be to yow a trewe° humble wif,False,False,BOTH,And be to yow a trewe° humble wif,And be to yow a trewe humble wyf
derne,derne,The Miller's Tale 3200,data/oxford_txts/MilT_oxford.txt,Of derne° love he coude and of° solas;°,False,False,BOTH,Of derne° love he coude and of° solas;°,Of deerne love he koude and of solas
god,goode,The Canon's Yeoman's Tale 1295,data/oxford_txts/CYT_oxford.txt,"Now, goode sir, go forth thy wey and hy the.”°",False,False,BOTH,"Now, goode sir, go forth thy wey and hy the.”°",Now goode sire go forth thy wey and hy the
large,large,House of Fame 1450,data/oxford_txts/HF_oxford.txt,That hath a ful large wheel° to turne.,False,False,BOTH,That hath a ful large wheel° to turne.,That hath a ful large whel to turne
bai,baye,Troilus and Criseyde; Book V 1038,data/oxford_txts/TC5_oxford.txt,That she him yaf the faire baye stede,False,False,BOTH,That she him yaf the faire baye stede,That she hym yaf the faire baye stede
