headword,word,line_number,filename,context,is_elided,is_final,text_type,oxford_context,riverside_context
bon,bon,House of Fame 1022,data/oxford_txts/HF_oxford.txt,"Seint Julian, lo, bon hostel!°",False,False,BOTH,"Seint Julian, lo, bon hostel!°",Seynt Julyan loo bon hostel
wight,wight,The Reeve's Tale 4086,data/oxford_txts/RvT_oxford.txt,"I is ful wight,° God waat,° as is a ra;°",False,False,BOTH,"I is ful wight,° God waat,° as is a ra;°",I is ful wight God waat as is a raa
heigh,heigh,The Pardoner's Tale 913,data/oxford_txts/PardT_oxford.txt,"I yow assoile,° by min heigh power",False,False,BOTH,"I yow assoile,° by min heigh power",I yow assoille by myn heigh power
right,right,The Knight's Tale 1959,data/oxford_txts/KnT_oxford.txt,A citole° in hir right hand hadde she,False,False,BOTH,A citole° in hir right hand hadde she,A citole in hir right hand hadde she
heigh,heigh,The Knight's Tale 2537,data/oxford_txts/KnT_oxford.txt,“The lord hath of his heigh discrecioun°,False,False,BOTH,“The lord hath of his heigh discrecioun°,The lord hath of his heigh discrecioun
grek,greek,The Nun's Priest's Tale 3228,data/oxford_txts/NPT_oxford.txt,"False dissimilour,° O Greek Sinon",False,False,BOTH,"False dissimilour,° O Greek Sinon",False dissymulour o Greek Synon
fair,fair,Book of the Duchess 909,data/oxford_txts/BD_oxford.txt,"To mak that fair, that trewly she",False,False,BOTH,"To mak that fair, that trewly she",To make that fair that trewly she
fair,fair,Sir Thopas 832,data/oxford_txts/Thop_oxford.txt,    And thurgh his fair beringe.°,False,False,BOTH,    And thurgh his fair beringe.°,And thurgh his fair berynge
glad,glad,Troilus and Criseyde; Book I 1041,data/oxford_txts/TC1_oxford.txt,Adieu! be glad! God spede us bothe two!,False,False,BOTH,Adieu! be glad! God spede us bothe two!,Adieu Be glad God spede us bothe two
heigh,heigh,The General Prologue 316,data/oxford_txts/GP_oxford.txt,"For his science, and for his heigh renoun",False,False,BOTH,"For his science, and for his heigh renoun",For his science and for his heigh renoun
god,good,Troilus and Criseyde; Book V 1081,data/oxford_txts/TC5_oxford.txt,"And my good word, al sholde I liven ever.",False,False,BOTH,"And my good word, al sholde I liven ever.",And my good word al sholde I lyven evere
chef,chief,The Knight's Tale 1057,data/oxford_txts/KnT_oxford.txt,"Which of the castel was the chief dongeoun,°",False,False,BOTH,"Which of the castel was the chief dongeoun,°",Which of the castel was the chief dongeoun
bright,bright,Troilus and Criseyde; Book V 1264,data/oxford_txts/TC5_oxford.txt,"God wot I wende, O lady bright, Criseyde",False,False,BOTH,"God wot I wende, O lady bright, Criseyde",God wot I wende O lady bright Criseyde
fals,fals,Book of the Duchess 618,data/oxford_txts/BD_oxford.txt,For fals Fortune hath pleide a game,False,False,BOTH,For fals Fortune hath pleide a game,For fals Fortune hath pleyd a game
north,north,The Friar's Tale 1413,data/oxford_txts/FriT_oxford.txt,"‘Brother,’ quod he, ‘fer in the north contree",False,False,BOTH,"‘Brother,’ quod he, ‘fer in the north contree",Brother quod he fer in the north contree
fers,fiers,The Knight's Tale 2012,data/oxford_txts/KnT_oxford.txt,"Armed Compleint,° Outhees,° and Fiers Outrage.",True,False,BOTH,"Armed Compleint,° Outhees,° and Fiers Outrage.",Armed Compleint Outhees and fiers Outrage
graunt,grant,The Canon's Yeoman's Tale 1380,data/oxford_txts/CYT_oxford.txt,"Quod the chanoun, “and farwel, grant mercy!”",False,False,BOTH,"Quod the chanoun, “and farwel, grant mercy!”",Quod the chanoun and farwel grant mercy
fin,fin,The Nun's Priest's Tale 2859,data/oxford_txts/NPT_oxford.txt,His comb was redder than the fin° coral,False,False,BOTH,His comb was redder than the fin° coral,His coomb was redder than the fyn coral
bright,bright,The Second Nun's Tale 120,data/oxford_txts/SNT_oxford.txt,"This maiden bright Cecilie, as hir lif seith",False,False,BOTH,"This maiden bright Cecilie, as hir lif seith",This mayden bright Cecilie as hir lif seith
real,real,Troilus and Criseyde; Book III 1534,data/oxford_txts/TC3_oxford.txt,"Retorned to his real palais, sone",False,False,BOTH,"Retorned to his real palais, sone",Retorned to his real paleys soone
gret,gret,House of Fame 1466,data/oxford_txts/HF_oxford.txt,"Of iren, he, the gret Omere;°",True,False,BOTH,"Of iren, he, the gret Omere;°",Of yren he the gret Omer
