headword,word,line_number,filename,context,is_elided,is_final,text_type
dere,dere,Parliament of Fowls 466,data/oxford_txts/PF_oxford.txt,"Forth with his make, or with his lady dere;",False,True,OXFORD
dere,dere,Troilus and Criseyde; Book III 946,data/oxford_txts/TC3_oxford.txt,"“That is wel seid,” quod he, “my nece dere",False,True,OXFORD
dere,dere,Troilus and Criseyde; Book V 467,data/oxford_txts/TC5_oxford.txt,"Welcome, ywis, min owene lady dere.”",False,True,OXFORD
dere,dere,Troilus and Criseyde; Book IV 541,data/oxford_txts/TC4_oxford.txt,"And seide, “Parde, leve brother dere",False,True,OXFORD
dere,dere,Troilus and Criseyde; Book IV 1574,data/oxford_txts/TC4_oxford.txt,"Thus were al lost, ywis, min herte dere",False,True,OXFORD
sharp,sharpe,The General Prologue 352,data/oxford_txts/GP_oxford.txt,"Poinaunt and sharpe, and redy al his gere.",True,False,OXFORD
dere,dere,Troilus and Criseyde; Book V 1340,data/oxford_txts/TC5_oxford.txt,"And over al this, that ye, my lady dere",False,True,OXFORD
swete,swete,The Prioress' Tale 656,data/oxford_txts/PrT_oxford.txt,"This welle° of mercy, Cristes moder° swete",False,True,OXFORD
dere,dere,Troilus and Criseyde; Book I 877,data/oxford_txts/TC1_oxford.txt,"Lord, he was glad, and seide, “Freend so dere",False,True,OXFORD
povre,povre,The Wife of Bath's Prologue 249,data/oxford_txts/WBPro_oxford.txt,"To wedde a povre womman, for costage;°",False,False,OXFORD
dere,dere,The Shipman's Tale 69,data/oxford_txts/ShipT_oxford.txt,"Our dere cosin, ful of curteisie?",False,False,OXFORD
dere,dere,The Miller's Tale 3501,data/oxford_txts/MilT_oxford.txt,"¶He seide, “John, min hoste lief° and dere",False,True,OXFORD
treu,trewe,The Wife of Bath's Prologue 819,data/oxford_txts/WBPro_oxford.txt,"And that he seid, ‘Min owne trewe° wif",False,False,OXFORD
ouen,owne,Troilus and Criseyde; Book III 915,data/oxford_txts/TC3_oxford.txt,Ye knowe eek how it is your owne knight,False,False,OXFORD
treu,trewe,Troilus and Criseyde; Book II 339,data/oxford_txts/TC2_oxford.txt,"That is so trewe and worthy, as ye see",True,False,OXFORD
ful,fulle,House of Fame 1834,data/oxford_txts/HF_oxford.txt,And fulle of vice and wikked thewes;°,True,False,OXFORD
treu,trewe,The Shipman's Tale 207,data/oxford_txts/ShipT_oxford.txt,"Goth now, and beeth as trewe as I shal be.”",True,False,OXFORD
long,longe,House of Fame 1601,data/oxford_txts/HF_oxford.txt,In al the welken° longe and brode.,True,False,OXFORD
swete,swete,The Shipman's Tale 363,data/oxford_txts/ShipT_oxford.txt,"Greet wel our dame, min owne nece swete",False,True,OXFORD
dere,dere,Troilus and Criseyde; Book V 576,data/oxford_txts/TC5_oxford.txt,Herde I min alderlevest lady dere,False,True,OXFORD
fremed,fremde,Troilus and Criseyde; Book II 248,data/oxford_txts/TC2_oxford.txt,Lat be to me your fremde maner speche,False,False,OXFORD
gret,grete,Book of the Duchess 947,data/oxford_txts/BD_oxford.txt,"Of good gretnesse,° and noght to grete.",False,True,OXFORD
dere,dere,The Clerk's Tale 334,data/oxford_txts/ClT_oxford.txt,And tentifly° she kepte hir fader dere.,False,True,OXFORD
blak,blake,House of Fame 1671,data/oxford_txts/HF_oxford.txt,"Thou Eolus, that is so blake;",False,True,OXFORD
dere,dere,Troilus and Criseyde; Book III 1493,data/oxford_txts/TC3_oxford.txt,"And with a sik she seide, “O herte dere",False,True,OXFORD
brod,brode,House of Fame 1601,data/oxford_txts/HF_oxford.txt,In al the welken° longe and brode.,False,True,OXFORD
treu,trewe,The Franklin's Tale 758,data/oxford_txts/FranT_oxford.txt,"Sire, I wol be your humble trewe wif",False,False,OXFORD
dere,dere,Troilus and Criseyde; Book I 32,data/oxford_txts/TC1_oxford.txt,And eek for me preyeth to God so dere,False,True,OXFORD
treu,trewe,The Miller's Tale 3715,data/oxford_txts/MilT_oxford.txt,That trewe love was ever so ivel biset!°,False,False,OXFORD
dere,dere,Troilus and Criseyde; Book III 975,data/oxford_txts/TC3_oxford.txt,"Now doth him sitte, gode nece dere",False,True,OXFORD
dere,dere,The Physician's Tale 237,data/oxford_txts/PhyT_oxford.txt,"“No, certes, dere doghter min,” quod he.",False,False,OXFORD
povre,poure,The Canon's Yeoman's Tale 1290,data/oxford_txts/CYT_oxford.txt,"“Though poure I be, crafty° thou shalt me finde;",True,False,OXFORD
povre,pore,The Summoner's Tale 1936,data/oxford_txts/SumT_oxford.txt,But we that humble been and chast and pore,False,True,OXFORD
swete,swete,Troilus and Criseyde; Book IV 1449,data/oxford_txts/TC4_oxford.txt,"Dwel rather here, min owene swete herte!",False,False,OXFORD
sik,seke,Book of the Duchess 557,data/oxford_txts/BD_oxford.txt,That semeth ful seke° under your side.”,True,False,OXFORD
treu,trewe,Troilus and Criseyde; Book V 124,data/oxford_txts/TC5_oxford.txt,But wolde never God but if as trewe,False,True,OXFORD
dere,dere,Troilus and Criseyde; Book V 218,data/oxford_txts/TC5_oxford.txt,“Wher is min owene lady lief and dere,False,True,OXFORD
dere,deere,The Wife of Bath's Prologue 804,data/oxford_txts/WBPro_oxford.txt,"And seide, ‘deere suster Alisoun",False,False,OXFORD
swete,swete,The Miller's Tale 3261,data/oxford_txts/MilT_oxford.txt,"Hir mouth was swete as bragot° or the meeth,°",True,False,OXFORD
fals,false,Book of the Duchess 734,data/oxford_txts/BD_oxford.txt,Was false whiche° a fool she was!,False,False,OXFORD
treu,trewe,Troilus and Criseyde; Book V 831,data/oxford_txts/TC5_oxford.txt,Trewe as steel in ech condicioun;,True,False,OXFORD
swete,swete,Troilus and Criseyde; Book IV 779,data/oxford_txts/TC4_oxford.txt,"Shul blake been, in tokening, herte swete",False,True,OXFORD
dere,dere,Troilus and Criseyde; Book V 521,data/oxford_txts/TC5_oxford.txt,"And to Pandare, his owene brother dere",False,True,OXFORD
dere,dere,Troilus and Criseyde; Book IV 1352,data/oxford_txts/TC4_oxford.txt,"“For if that it be pees, min herte dere",False,True,OXFORD
swete,swete,The Knight's Tale 2254,data/oxford_txts/KnT_oxford.txt,"And if ye wol nat so, my lady swete",False,True,OXFORD
fresh,fresshe,Troilus and Criseyde; Book V 844,data/oxford_txts/TC5_oxford.txt,"This Diomede, as fresshe as braunche in May",True,False,OXFORD
swete,swete,Troilus and Criseyde; Book IV 507,data/oxford_txts/TC4_oxford.txt,But now thy cominge is to me so swete,False,True,OXFORD
dere,dere,The Prioress' Tale 654,data/oxford_txts/PrT_oxford.txt,"And, for the worship of his moder dere",False,True,OXFORD
ded,dede,House of Fame 1876,data/oxford_txts/HF_oxford.txt,"Sufficeth me, as I were dede",False,True,OXFORD
treu,trewe,Troilus and Criseyde; Book I 593,data/oxford_txts/TC1_oxford.txt,"I have, and shal, for trewe or fals report",True,False,OXFORD
fair,faire,House of Fame 767,data/oxford_txts/HF_oxford.txt,"Loud or privee, foul or faire",False,True,OXFORD
povre,poure,The Friar's Tale 1608,data/oxford_txts/FriT_oxford.txt,Ye knowen wel that I am poure and old;,True,False,OXFORD
sharp,sharpe,The General Prologue 114,data/oxford_txts/GP_oxford.txt,"Harneised wel, and sharpe as point of spere;",True,False,OXFORD
povre,povre,The Clerk's Tale 1043,data/oxford_txts/ClT_oxford.txt,As coude a povre° fostred creature.”,False,False,OXFORD
treu,trewe,Book of the Duchess 1227,data/oxford_txts/BD_oxford.txt,Ever to be stedfast and trewe,False,True,OXFORD
wod,woode,House of Fame 202,data/oxford_txts/HF_oxford.txt,"Renne and crie, as thou were woode,°",False,True,OXFORD
ful,fulle,House of Fame 1351,data/oxford_txts/HF_oxford.txt,Fulle of the finest stones° faire,True,False,OXFORD
dere,dere,The Second Nun's Tale 257,data/oxford_txts/SNT_oxford.txt,"So shaltow seen hem, leve° brother dere",False,True,OXFORD
swete,swete,Troilus and Criseyde; Book III 1173,data/oxford_txts/TC3_oxford.txt,"Have mercy, swete herte min, Criseyde!",False,False,OXFORD
povre,povre,The General Prologue 537,data/oxford_txts/GP_oxford.txt,"For Cristes sake, for every povre wight",False,False,OXFORD
dere,dere,The Miller's Tale 3617,data/oxford_txts/MilT_oxford.txt,"To drenchen° Alisoun, his hony dere.°",False,True,OXFORD
dere,dere,The Monk's Tale 2278,data/oxford_txts/MkT_oxford.txt,For ech of hem hadde other° leef° and dere.,False,True,OXFORD
povre,povre,The Friar's Tale 1609,data/oxford_txts/FriT_oxford.txt,Kith° youre almesse° on me povre wrecche.’,False,False,OXFORD
swete,swete,Book of the Duchess 117,data/oxford_txts/BD_oxford.txt,"And but° thou wilt° this, ladi swete",False,True,OXFORD
dere,dere,Troilus and Criseyde; Book II 122,data/oxford_txts/TC2_oxford.txt,"“Now uncle dere,” quod she, “tel it us",False,False,OXFORD
dere,dere,Troilus and Criseyde; Book I 810,data/oxford_txts/TC1_oxford.txt,What! many a man hath love ful dere ybought,False,False,OXFORD
dere,dere,Troilus and Criseyde; Book I 434,data/oxford_txts/TC1_oxford.txt,"Bicome hir man, as to my lady dere.”",False,True,OXFORD
