headword,word,tag,line_number,filename,context,text_type,reason,oxford_context,riverside_context,oxford_reason,riverside_reason
mouen,may,v%pr_3,House of Fame 587,data/oxford_txts/HF_oxford.txt,Or what thing may this signifie?,BOTH,Present 3rd sg must end in -th,Or what thing may this signifie?,Or what thing may this sygnifye,Present 3rd sg must end in -th,Present 3rd sg must end in -th
shulen,sal,v%pr_3,The Reeve's Tale 4043,data/oxford_txts/RvT_oxford.txt,Into the trough; that sal° be my disport.,BOTH,Present 3rd sg must end in -th,Into the trough; that sal° be my disport.,Into the trough that sal be my disport,Present 3rd sg must end in -th,Present 3rd sg must end in -th
don,doon,v%inf,Troilus and Criseyde; Book I 356,data/oxford_txts/TC1_oxford.txt,"For wo was him, that what to doon he niste",BOTH,Infinitive must end in -en or -e,"For wo was him, that what to doon he niste",For wo was hym that what to doon he nyste,Infinitive must end in -en or -e,Infinitive must end in -en or -e
werken,wroughte,v%pt_1,Troilus and Criseyde; Book V 993,data/oxford_txts/TC5_oxford.txt,Than wole I werke that I never wroughte!,BOTH,"Weak pt sg must end in -ed, -d, or -t",Than wole I werke that I never wroughte!,Than wol I werke that I nevere wroughte,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
mouen,may,v%pr_pl,The Manciple's Tale 112,data/oxford_txts/MancT_oxford.txt,"He with his bowe wroghte, as men may rede.",BOTH,Present plural must end in -en or -e,"He with his bowe wroghte, as men may rede.",He with his bowe wroghte as men may rede,Present plural must end in -en or -e,Present plural must end in -en or -e
listen,liste,v%pr_3,The Wife of Bath's Prologue 318,data/oxford_txts/WBPro_oxford.txt,"Thou sholdest seye, “Wif, go wher thee liste,°",BOTH,Present 3rd sg must end in -th,"Thou sholdest seye, “Wif, go wher thee liste,°",Thou sholdest seye Wyf go wher thee liste,Present 3rd sg must end in -th,Present 3rd sg must end in -th
haven,han,v%inf,The Second Nun's Tale 446,data/oxford_txts/SNT_oxford.txt,That every Cristen wight° shal han penaunce°,BOTH,Infinitive must end in -en or -e,That every Cristen wight° shal han penaunce°,That every Cristen wight shal han penaunce,Infinitive must end in -en or -e,Infinitive must end in -en or -e
shulen,shal,v%pr_3,The Canon's Yeoman's Tale 1194,data/oxford_txts/CYT_oxford.txt,"“As swithe° al shal be wel, I undertake;°",BOTH,Present 3rd sg must end in -th,"“As swithe° al shal be wel, I undertake;°",As swithe al shal be wel I undertake,Present 3rd sg must end in -th,Present 3rd sg must end in -th
don,doon,v%inf,Troilus and Criseyde; Book IV 739,data/oxford_txts/TC4_oxford.txt,And with the deeth to doon bote on hir bale.,BOTH,Infinitive must end in -en or -e,And with the deeth to doon bote on hir bale.,And with the deth to doon boote on hire bale,Infinitive must end in -en or -e,Infinitive must end in -en or -e
seien,seyn,v%inf,The Canon's Yeoman's Tale 1217,data/oxford_txts/CYT_oxford.txt,"The chambre dore, shortly for to seyn",BOTH,Infinitive must end in -en or -e,"The chambre dore, shortly for to seyn",The chambre dore shortly for to seyn,Infinitive must end in -en or -e,Infinitive must end in -en or -e
ben,be,v%pr_3,The Merchant's Tale 1659,data/oxford_txts/MerT_oxford.txt,"But seide, “Sire, so° ther be noon obstacle",BOTH,Present 3rd sg must end in -th,"But seide, “Sire, so° ther be noon obstacle",But seyde Sire so ther be noon obstacle,Present 3rd sg must end in -th,Present 3rd sg must end in -th
willen,wol,v%pr_3,The Manciple's Tale 151,data/oxford_txts/MancT_oxford.txt,"To kepe a shrewe,° for it wol nat be.",BOTH,Present 3rd sg must end in -th,"To kepe a shrewe,° for it wol nat be.",To kepe a shrewe for it wol nat bee,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,The Squire's Tale 431,data/oxford_txts/SqT_oxford.txt,Til wel neigh is she fallen fro the tree.,BOTH,Present 3rd sg must end in -th,Til wel neigh is she fallen fro the tree.,Til wel neigh is she fallen fro the tree,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book I 591,data/oxford_txts/TC1_oxford.txt,"As it is freendes right, sooth for to seyne",BOTH,Present 3rd sg must end in -th,"As it is freendes right, sooth for to seyne",As it is frendes right soth for to seyne,Present 3rd sg must end in -th,Present 3rd sg must end in -th
mouen,may,v%pr_3,Troilus and Criseyde; Book V 833,data/oxford_txts/TC5_oxford.txt,"That is, or shal, whil that the world may dure.",BOTH,Present 3rd sg must end in -th,"That is, or shal, whil that the world may dure.",That is or shal whil that the world may dure,Present 3rd sg must end in -th,Present 3rd sg must end in -th
durren,dorste,v%pt_3,The Reeve's Tale 3956,data/oxford_txts/RvT_oxford.txt,Ther dorste° no wight clepen° hir but “dame.”,BOTH,"Weak pt sg must end in -ed, -d, or -t",Ther dorste° no wight clepen° hir but “dame.”,Ther dorste no wight clepen hire but dame,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
gon,go,v%inf,The Miller's Tale 3667,data/oxford_txts/MilT_oxford.txt,For he is wont° for timber for to go,BOTH,Infinitive must end in -en or -e,For he is wont° for timber for to go,For he is wont for tymber for to go,Infinitive must end in -en or -e,Infinitive must end in -en or -e
wenden,wente,v%pt_3,The Monk's Tale 2358,data/oxford_txts/MkT_oxford.txt,"And wan the lond, and hoom to Rome he wente.",BOTH,"Weak pt sg must end in -ed, -d, or -t","And wan the lond, and hoom to Rome he wente.",And wan the land and hoom to Rome he wente,"Weak pt sg must end in -ed, -d, or -t","Weak pt sg must end in -ed, -d, or -t"
shulen,shul,v%pr_pl,Parliament of Fowls 400,data/oxford_txts/PF_oxford.txt,"And after him, by order shul ye chese",BOTH,Present plural must end in -en or -e,"And after him, by order shul ye chese",And after hym by ordre shul ye chese,Present plural must end in -en or -e,Present plural must end in -en or -e
ben,is,v%pr_3,Troilus and Criseyde; Book V 903,data/oxford_txts/TC5_oxford.txt,"Now taketh heed, for it is for to done.",BOTH,Present 3rd sg must end in -th,"Now taketh heed, for it is for to done.",Now taketh hede for it is for to doone,Present 3rd sg must end in -th,Present 3rd sg must end in -th
ben,is,v%pr_3,The Miller's Tale 3790,data/oxford_txts/MilT_oxford.txt,"¶This Alison answerde, “Who is ther",BOTH,Present 3rd sg must end in -th,"¶This Alison answerde, “Who is ther",This Alison answerde Who is ther,Present 3rd sg must end in -th,Present 3rd sg must end in -th
