Headword,Stem Forms,All Forms,Always Ends in E
gret,great; greet; gret; grete,great; greet; gret; grete,No
foul,foul; foule,foul; foule,No
fre,fre; free,fre; free,Yes
smal,smal; smale; small; smalle,smal; smale; small; smalle,No
dere,deer; deere; der; dere,deer; deere; der; dere,No
yong,yong; yonge,yong; yonge,No
tender,tendre,tendre,Yes
bar,bare,bare,Yes
prive,prevy; priv; prive; privee; privy,prevy; priv; prive; privee; privy,No
neue,new; newe,new; newe,No
povre,poor; poore; pore; pour; poure; povre,poor; poore; pore; pour; poure; povre,No
pale,pale,pale,Yes
mek,meke,meke,Yes
kinde,kinde,kinde,Yes
bright,bright; brighte,bright; brighte,No
wilde,wilde,wilde,Yes
chef,cheef; chief,cheef; chief,No
swete,sweet; sweete; swete,sweet; sweete; swete,No
salt,salte,salte,Yes
blak,blak; blake; blakke,blak; blake; blakke,No
lame,lame,lame,Yes
blind,blind; blinde,blind; blinde,No
glad,glad; gladde; glade,glad; gladde; glade,No
fresh,fresh; fresshe,fresh; fresshe,No
bleu,blew; blewe,blew; blewe,No
whit,whit; white,whit; white,No
red,red; rede; reed,red; rede; reed,No
quik,quik; quike; quikkest,quik; quike; quikkest,No
ded,ded; dede; deed,ded; dede; deed,No
ful,ful; full; fulle,ful; full; fulle,No
wise,wis; wise,wis; wise,No
kene,kene,kene,Yes
grene,grene,grene,Yes
god,gode; good; goode,gode; good; goode,No
mad,mad; madde,mad; madde,No
lene,lene,lene,Yes
dep,deep; depe,deep; depe,No
soth,sooth; soth; sothe,sooth; soth; sothe,No
voide,voide,voide,Yes
right,right; righte,right; righte,No
thikke,thikke,thikke,Yes
fair,fair; faire; feir,fair; faire; feir,No
graunt,grant; graunt,grant; graunt,No
fremed,fremde; fremed,fremde; fremed,No
lef,leef; lefe; leve; lief,leef; lefe; leve; lief,No
ware,war; ware,war; ware,No
bel,bele,bele,Yes
wroth,wrooth; wroothe; wroth; wrothe,wrooth; wroothe; wroth; wrothe,No
treu,trew; trewe,trew; trewe,No
noble,noble,noble,Yes
olde,old; olde,old; olde,No
fals,fals; false,fals; false,No
ouen,awen; owen; owene; own; owne,awen; owen; owene; own; owne,No
wikke,wikke,wikke,Yes
long,lange; long; longe,lange; long; longe,No
juste,just; juste,just; juste,No
loue,low; lowe,low; lowe,No
dul,dul; dulle,dul; dulle,No
wan,wan,wan,No
bai,bay; baye,bay; baye,No
heigh,heigh; heighe; hie; high; hy; hye; hyest,heigh; heighe; hie; high; hy; hye; hyest,No
pure,pure,pure,Yes
warm,warm; warme,warm; warme,No
cold,cold; colde,cold; colde,No
nice,nice,nice,Yes
ofte,ofte,ofte,Yes
prest,prest; preste,prest; preste,No
sharp,sharp; sharpe,sharp; sharpe,No
loth,looth; loothe; lothest,looth; loothe; lothest,No
hot,hoot; hote,hoot; hote,No
large,large,large,Yes
shene,shene,shene,Yes
humble,humble,humble,Yes
worth,worth; worthe,worth; worthe,No
dim,dimme,dimme,Yes
don,donne; dunne,donne; dunne,Yes
hust,hust,hust,No
gai,gay; gaye,gay; gaye,No
hole,hole; hool,hole; hool,No
tough,tough,tough,No
softe,softe,softe,Yes
lik,lik; like,lik; like,No
grek,greek,greek,No
lite,lite,lite,Yes
wel,weel; wel; wele,weel; wel; wele,No
bonde,bonde,bonde,Yes
light,light; lighte,light; lighte,No
hard,hard; harde,hard; harde,No
derk,derk; derke,derk; derke,No
sore,soor; sore,soor; sore,No
wod,wode; wood; woode,wode; wood; woode,No
propre,propre,propre,Yes
sik,seek; seke; sik; sike,seek; seke; sik; sike,No
plaine,plain; plein; pleine,plain; plein; pleine,No
sobre,sobre,sobre,Yes
straunge,estraunge; strange; straunge,estraunge; strange; straunge,Yes
fain,fain; fawe,fain; fawe,No
simple,simple,simple,Yes
slou,slowe,slowe,Yes
secre,secree,secree,Yes
clene,clene,clene,Yes
