headword,word,tag,line_number,filename,context,text_type
mouen,might,v%pt_pl,The Prioress' Tale 493,data/oxford_txts/PrT_oxford.txt,"And thurgh the strete men might ride or wende,°",OXFORD
usen,used,v%pt_pl,The Prioress' Tale 499,data/oxford_txts/PrT_oxford.txt,Swich maner doctrine as men used there,OXFORD
seien,seyn,v%inf,The Prioress' Tale 500,data/oxford_txts/PrT_oxford.txt,"This is to seyn, to singen and to rede",OXFORD
don,do,v%inf,The Prioress' Tale 539,data/oxford_txts/PrT_oxford.txt,"“Now certes, I wol do my diligence",OXFORD
haven,han,v%pr_pl,The Prioress' Tale 567,data/oxford_txts/PrT_oxford.txt,An homicide° therto han they hired,OXFORD
gon,goon,v%pr_pl,The Prioress' Tale 583,data/oxford_txts/PrT_oxford.txt,"In Pathmos wroot,° which seith that they that goon",OXFORD
haven,han,v%pr_pl,The Prioress' Tale 661,data/oxford_txts/PrT_oxford.txt,"As ye han herd, and, whan that I had songe",OXFORD
triklen,trikled,v%pt_pl,The Prioress' Tale 674,data/oxford_txts/PrT_oxford.txt,"His salte teres trikled doun as rein,°",OXFORD
don,do,v%pr_pl,Troilus and Criseyde; Book II 26,data/oxford_txts/TC2_oxford.txt,And spedde as wel in love as men now do;,OXFORD
don,don,v%pr_pl,Troilus and Criseyde; Book II 39,data/oxford_txts/TC2_oxford.txt,If that they ferde in love as men don here,OXFORD
don,doon,v%inf,Troilus and Criseyde; Book II 75,data/oxford_txts/TC2_oxford.txt,"To doon viage, and took his wey ful sone",OXFORD
haven,han,v%pr_pl,Troilus and Criseyde; Book II 101,data/oxford_txts/TC2_oxford.txt,And we han herd how that king Laius deide,OXFORD
don,don,v%inf,Troilus and Criseyde; Book II 112,data/oxford_txts/TC2_oxford.txt,And lat us don to May som observaunce.”,OXFORD
gon,gon,v%inf,Troilus and Criseyde; Book II 119,data/oxford_txts/TC2_oxford.txt,"Lat maidens gon to daunce, and yonge wives.”",OXFORD
don,doon,v%inf,Troilus and Criseyde; Book II 121,data/oxford_txts/TC2_oxford.txt,“Yet coude I telle a thing to doon you pleie.”,OXFORD
don,do,v%inf,Troilus and Criseyde; Book II 147,data/oxford_txts/TC2_oxford.txt,"Nor axen more, that may do yow disese.”",OXFORD
don,doon,v%pr_pl,Troilus and Criseyde; Book II 152,data/oxford_txts/TC2_oxford.txt,"As freendes doon, whan they ben met yfere;",OXFORD
don,do,v%inf,Troilus and Criseyde; Book II 165,data/oxford_txts/TC2_oxford.txt,A kinges sone in armes wel to do,OXFORD
seien,sey,v%pr_pl,Troilus and Criseyde; Book II 190,data/oxford_txts/TC2_oxford.txt,"“Ye sey right sooth, ywis,” quod Pandarus;",OXFORD
haven,han,v%inf,Troilus and Criseyde; Book II 192,data/oxford_txts/TC2_oxford.txt,He might han wondred upon Troilus;,OXFORD
willen,wol,v%pr_pl,Troilus and Criseyde; Book II 212,data/oxford_txts/TC2_oxford.txt,And namelich of wommen? wol ye so?,OXFORD
gon,go,v%pr_pl,Troilus and Criseyde; Book II 214,data/oxford_txts/TC2_oxford.txt,"With yow, to speke of wisdom er ye go.”",OXFORD
seien,sey,v%inf,Troilus and Criseyde; Book II 252,data/oxford_txts/TC2_oxford.txt,Tak it for good that I shal sey yow here.”,OXFORD
sen,sey,v%pt_pl,Troilus and Criseyde; Book II 277,data/oxford_txts/TC2_oxford.txt,"Sey ye me never er now? what sey ye, no?”",OXFORD
seien,sey,v%pr_pl,Troilus and Criseyde; Book II 277,data/oxford_txts/TC2_oxford.txt,"Sey ye me never er now? what sey ye, no?”",OXFORD
sweren,sworn,v%ppl,Troilus and Criseyde; Book II 299,data/oxford_txts/TC2_oxford.txt,By al the othes that I have yow sworn,OXFORD
shulen,shal,v%pr_pl,Troilus and Criseyde; Book II 306,data/oxford_txts/TC2_oxford.txt,"Yet trist alwey, ye shal me finde trewe;",OXFORD
willen,wol,v%pr_pl,Troilus and Criseyde; Book II 311,data/oxford_txts/TC2_oxford.txt,For bothe I am agast what ye wol seye,OXFORD
don,doon,v%inf,Troilus and Criseyde; Book II 315,data/oxford_txts/TC2_oxford.txt,"“So wol I doon, now herkneth, I shal telle:",OXFORD
hongen,hanged,v%ppl,Troilus and Criseyde; Book II 353,data/oxford_txts/TC2_oxford.txt,"Were hanged, than I sholde been his baude",OXFORD
haven,han,v%pr_pl,Troilus and Criseyde; Book II 361,data/oxford_txts/TC2_oxford.txt,"Than ye han doon er this, and more feste",OXFORD
don,do,v%inf,Troilus and Criseyde; Book II 382,data/oxford_txts/TC2_oxford.txt,"As I have seid, your beste is to do so.",OXFORD
prien,pri,v%inf,Troilus and Criseyde; Book II 404,data/oxford_txts/TC2_oxford.txt,And send yow thanne a mirour in to prië,OXFORD
don,doon,v%inf,Troilus and Criseyde; Book II 411,data/oxford_txts/TC2_oxford.txt,Allas! what sholden straunge to me doon,OXFORD
haven,han,v%inf,Troilus and Criseyde; Book II 414,data/oxford_txts/TC2_oxford.txt,"“Allas! I wolde han trusted, doutelees",OXFORD
comen,com,v%inf,Troilus and Criseyde; Book II 430,data/oxford_txts/TC2_oxford.txt,"“By God, I shal nomore com here this wike",OXFORD
