headword,word,tag,line_number,filename,context,text_type,reason
mouen,might,v%pt_pl,The Prioress' Tale 493,data/oxford_txts/PrT_oxford.txt,"And thurgh the strete men might ride or wende,°",OXFORD,Past plural must end in -en or -e
usen,used,v%pt_pl,The Prioress' Tale 499,data/oxford_txts/PrT_oxford.txt,Swich maner doctrine as men used there,OXFORD,Past plural must end in -en or -e
seien,seyn,v%inf,The Prioress' Tale 500,data/oxford_txts/PrT_oxford.txt,"This is to seyn, to singen and to rede",OXFORD,Infinitive must end in -en or -e
haven,hadde,v%pt_3,The Prioress' Tale 506,data/oxford_txts/PrT_oxford.txt,"Of Cristes moder, hadde he in usage",OXFORD,"Weak pt sg must end in -ed, -d, or -t"
heren,herde,v%pt_3,The Prioress' Tale 518,data/oxford_txts/PrT_oxford.txt,He Alma redemptoris° herde singe,OXFORD,"Weak pt sg must end in -ed, -d, or -t"
haven,have,v%pr_3,The Prioress' Tale 531,data/oxford_txts/PrT_oxford.txt,"Answerde him thus: “This song, I have herd seye",OXFORD,Present 3rd sg must end in -th
don,do,v%inf,The Prioress' Tale 539,data/oxford_txts/PrT_oxford.txt,"“Now certes, I wol do my diligence",OXFORD,Infinitive must end in -en or -e
wenden,wente,v%pt_3,The Prioress' Tale 549,data/oxford_txts/PrT_oxford.txt,To scoleward and homward whan he wente;,OXFORD,"Weak pt sg must end in -ed, -d, or -t"
haven,han,v%pr_pl,The Prioress' Tale 567,data/oxford_txts/PrT_oxford.txt,An homicide° therto han they hired,OXFORD,Present plural must end in -en or -e
crien,cride,v%pt_3,The Prioress' Tale 605,data/oxford_txts/PrT_oxford.txt,That in that place after° hir son she cride,OXFORD,"Weak pt sg must end in -ed, -d, or -t"
wenden,wente,v%pt_3,The Prioress' Tale 614,data/oxford_txts/PrT_oxford.txt,"The Cristen folk, that thurgh the strete wente",OXFORD,"Weak pt sg must end in -ed, -d, or -t"
haven,han,v%pr_pl,The Prioress' Tale 661,data/oxford_txts/PrT_oxford.txt,"As ye han herd, and, whan that I had songe",OXFORD,Present plural must end in -en or -e
triklen,trikled,v%pt_pl,The Prioress' Tale 674,data/oxford_txts/PrT_oxford.txt,"His salte teres trikled doun as rein,°",OXFORD,Past plural must end in -en or -e
multiplien,multiplie,v%pr_3,The Prioress' Tale 689,data/oxford_txts/PrT_oxford.txt,On us his grete mercy multiplie,OXFORD,Present 3rd sg must end in -th
wenden,went,v%pr_3,Troilus and Criseyde; Book II 36,data/oxford_txts/TC2_oxford.txt,For every wight which that to Rome went,OXFORD,Present 3rd sg must end in -th
holden,halt,v%pr_3,Troilus and Criseyde; Book II 37,data/oxford_txts/TC2_oxford.txt,"Halt nat o path, or alwey o manere.",OXFORD,Present 3rd sg must end in -th
bitiden,bitidde,v%pt_3,Troilus and Criseyde; Book II 55,data/oxford_txts/TC2_oxford.txt,"Right in the white Bole, it so bitidde",OXFORD,"Weak pt sg must end in -ed, -d, or -t"
wenden,wente,v%pt_3,Troilus and Criseyde; Book II 62,data/oxford_txts/TC2_oxford.txt,"In love, for which in wo to bedde he wente",OXFORD,"Weak pt sg must end in -ed, -d, or -t"
don,doon,v%inf,Troilus and Criseyde; Book II 75,data/oxford_txts/TC2_oxford.txt,"To doon viage, and took his wey ful sone",OXFORD,Infinitive must end in -en or -e
setten,sette,v%pt_3,Troilus and Criseyde; Book II 91,data/oxford_txts/TC2_oxford.txt,And with that word she doun on bench him sette.,OXFORD,"Weak pt sg must end in -ed, -d, or -t"
haven,han,v%pr_pl,Troilus and Criseyde; Book II 101,data/oxford_txts/TC2_oxford.txt,And we han herd how that king Laius deide,OXFORD,Present plural must end in -en or -e
dien,deide,v%pt_3,Troilus and Criseyde; Book II 101,data/oxford_txts/TC2_oxford.txt,And we han herd how that king Laius deide,OXFORD,"Weak pt sg must end in -ed, -d, or -t"
don,don,v%inf,Troilus and Criseyde; Book II 112,data/oxford_txts/TC2_oxford.txt,And lat us don to May som observaunce.”,OXFORD,Infinitive must end in -en or -e
forbeden,forbede,v%pr_3,Troilus and Criseyde; Book II 113,data/oxford_txts/TC2_oxford.txt,"“I? God forbede!” quod she, “Be ye mad?”",OXFORD,Present 3rd sg must end in -th
sitten,satte,v%pt_3,Troilus and Criseyde; Book II 117,data/oxford_txts/TC2_oxford.txt,It satte me wel bet ay in a cave,OXFORD,Strong pt sg must not end in -en or -e
don,doon,v%inf,Troilus and Criseyde; Book II 121,data/oxford_txts/TC2_oxford.txt,“Yet coude I telle a thing to doon you pleie.”,OXFORD,Infinitive must end in -en or -e
helpen,help,v%pr_3,Troilus and Criseyde; Book II 133,data/oxford_txts/TC2_oxford.txt,"As help me God, I noot nat what ye mene.”",OXFORD,Present 3rd sg must end in -th
desiren,desired,v%pr_3,Troilus and Criseyde; Book II 144,data/oxford_txts/TC2_oxford.txt,To knowe thing desired she so faste;,OXFORD,Present 3rd sg must end in -th
don,do,v%inf,Troilus and Criseyde; Book II 147,data/oxford_txts/TC2_oxford.txt,"Nor axen more, that may do yow disese.”",OXFORD,Infinitive must end in -en or -e
faren,ferde,v%pt_3,Troilus and Criseyde; Book II 153,data/oxford_txts/TC2_oxford.txt,Til she gan axen him how Ector ferde,OXFORD,Strong pt sg must not end in -en or -e
don,do,v%inf,Troilus and Criseyde; Book II 165,data/oxford_txts/TC2_oxford.txt,A kinges sone in armes wel to do,OXFORD,Infinitive must end in -en or -e
helpen,help,v%pr_3,Troilus and Criseyde; Book II 182,data/oxford_txts/TC2_oxford.txt,"God help me so, I knowe not swiche tweie.”",OXFORD,Present 3rd sg must end in -th
seien,sey,v%pr_pl,Troilus and Criseyde; Book II 190,data/oxford_txts/TC2_oxford.txt,"“Ye sey right sooth, ywis,” quod Pandarus;",OXFORD,Present plural must end in -en or -e
haven,han,v%inf,Troilus and Criseyde; Book II 192,data/oxford_txts/TC2_oxford.txt,He might han wondred upon Troilus;,OXFORD,Infinitive must end in -en or -e
heren,herde,v%pt_3,Troilus and Criseyde; Book II 216,data/oxford_txts/TC2_oxford.txt,"That herde that, gan fer awey to stonde",OXFORD,"Weak pt sg must end in -ed, -d, or -t"
haven,have,v%pr_3,Troilus and Criseyde; Book II 242,data/oxford_txts/TC2_oxford.txt,"So muche as yow, and have so litel quit;",OXFORD,Present 3rd sg must end in -th
kissen,kiste,v%pr_3,Troilus and Criseyde; Book II 250,data/oxford_txts/TC2_oxford.txt,And with that word hir uncle anoon hir kiste,OXFORD,Present 3rd sg must end in -th
seien,sey,v%inf,Troilus and Criseyde; Book II 252,data/oxford_txts/TC2_oxford.txt,Tak it for good that I shal sey yow here.”,OXFORD,Infinitive must end in -en or -e
sen,sey,v%pt_pl,Troilus and Criseyde; Book II 277,data/oxford_txts/TC2_oxford.txt,"Sey ye me never er now? what sey ye, no?”",OXFORD,Past plural must end in -en or -e
seien,sey,v%pr_pl,Troilus and Criseyde; Book II 277,data/oxford_txts/TC2_oxford.txt,"Sey ye me never er now? what sey ye, no?”",OXFORD,Present plural must end in -en or -e
slaken,slake,v%pr_3,Troilus and Criseyde; Book II 291,data/oxford_txts/TC2_oxford.txt,"Cache it anoon, lest aventure slake.",OXFORD,Present 3rd sg must end in -th
don,doon,v%inf,Troilus and Criseyde; Book II 315,data/oxford_txts/TC2_oxford.txt,"“So wol I doon, now herkneth, I shal telle:",OXFORD,Infinitive must end in -en or -e
hongen,hanged,v%ppl,Troilus and Criseyde; Book II 353,data/oxford_txts/TC2_oxford.txt,"Were hanged, than I sholde been his baude",OXFORD,Strong participle must end in -en or -e
shenden,shente,v%pr_3,Troilus and Criseyde; Book II 357,data/oxford_txts/TC2_oxford.txt,"Thorugh min abet, that he thin honour shente.",OXFORD,Present 3rd sg must end in -th
haven,han,v%pr_pl,Troilus and Criseyde; Book II 361,data/oxford_txts/TC2_oxford.txt,"Than ye han doon er this, and more feste",OXFORD,Present plural must end in -en or -e
helpen,helpe,v%pr_3,Troilus and Criseyde; Book II 364,data/oxford_txts/TC2_oxford.txt,"God helpe me so, I never other mente.",OXFORD,Present 3rd sg must end in -th
biholden,behelde,v%pt_3,Troilus and Criseyde; Book II 378,data/oxford_txts/TC2_oxford.txt,What fors were it though al the toun behelde?,OXFORD,Strong pt sg must not end in -en or -e
don,do,v%inf,Troilus and Criseyde; Book II 382,data/oxford_txts/TC2_oxford.txt,"As I have seid, your beste is to do so.",OXFORD,Infinitive must end in -en or -e
devouren,devoure,v%pr_3,Troilus and Criseyde; Book II 395,data/oxford_txts/TC2_oxford.txt,"And therfore, er that age thee devoure",OXFORD,Present 3rd sg must end in -th
passen,paste,v%pt_3,Troilus and Criseyde; Book II 398,data/oxford_txts/TC2_oxford.txt,"‘To late ywar,’ quod Beautee, ‘whan it paste;",OXFORD,"Weak pt sg must end in -ed, -d, or -t"
prien,pri,v%inf,Troilus and Criseyde; Book II 404,data/oxford_txts/TC2_oxford.txt,And send yow thanne a mirour in to prië,OXFORD,Infinitive must end in -en or -e
