headword,word,tag,line_number,filename,context,text_type,reason
mouen,might,v%pt_pl,The Prioress' Tale 493,data/oxford_txts/PrT_oxford.txt,"And thurgh the strete men might ride or wende,°",OXFORD,Past plural must end in -en or -e
usen,used,v%pt_pl,The Prioress' Tale 499,data/oxford_txts/PrT_oxford.txt,Swich maner doctrine as men used there,OXFORD,Past plural must end in -en or -e
ben,is,v%pr_3,The Prioress' Tale 500,data/oxford_txts/PrT_oxford.txt,"This is to seyn, to singen and to rede",OXFORD,Present 3rd sg must end in -th
seien,seyn,v%inf,The Prioress' Tale 500,data/oxford_txts/PrT_oxford.txt,"This is to seyn, to singen and to rede",OXFORD,Infinitive must end in -en or -e
haven,hadde,v%pt_3,The Prioress' Tale 506,data/oxford_txts/PrT_oxford.txt,"Of Cristes moder, hadde he in usage",OXFORD,"Weak pt sg must end in -ed, -d, or -t"
heren,herde,v%pt_3,The Prioress' Tale 518,data/oxford_txts/PrT_oxford.txt,He Alma redemptoris° herde singe,OXFORD,"Weak pt sg must end in -ed, -d, or -t"
durren,dorste,v%pt_3,The Prioress' Tale 520,data/oxford_txts/PrT_oxford.txt,"And, as he dorste,° he drough° him ner and ner",OXFORD,"Weak pt sg must end in -ed, -d, or -t"
haven,have,v%pr_3,The Prioress' Tale 531,data/oxford_txts/PrT_oxford.txt,"Answerde him thus: “This song, I have herd seye",OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,The Prioress' Tale 537,data/oxford_txts/PrT_oxford.txt,“And is this song maked in reverence,OXFORD,Present 3rd sg must end in -th
don,do,v%inf,The Prioress' Tale 539,data/oxford_txts/PrT_oxford.txt,"“Now certes, I wol do my diligence",OXFORD,Infinitive must end in -en or -e
wenden,wente,v%pt_3,The Prioress' Tale 549,data/oxford_txts/PrT_oxford.txt,To scoleward and homward whan he wente;,OXFORD,"Weak pt sg must end in -ed, -d, or -t"
connen,can,v%pr_3,The Prioress' Tale 557,data/oxford_txts/PrT_oxford.txt,He can nat stinte of° singing by the weye.,OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,The Prioress' Tale 561,data/oxford_txts/PrT_oxford.txt,"Is this to yow a thing that is honest,°",OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,The Prioress' Tale 561,data/oxford_txts/PrT_oxford.txt,"Is this to yow a thing that is honest,°",OXFORD,Present 3rd sg must end in -th
shulen,shal,v%pr_3,The Prioress' Tale 562,data/oxford_txts/PrT_oxford.txt,That swich a boy shal walken as him lest°,OXFORD,Present 3rd sg must end in -th
listen,lest,v%pr_3,The Prioress' Tale 562,data/oxford_txts/PrT_oxford.txt,That swich a boy shal walken as him lest°,OXFORD,Present 3rd sg must end in -th
haven,han,v%pr_pl,The Prioress' Tale 567,data/oxford_txts/PrT_oxford.txt,An homicide° therto han they hired,OXFORD,Present plural must end in -en or -e
casten,caste,v%pt_3,The Prioress' Tale 571,data/oxford_txts/PrT_oxford.txt,"And kitte° his throte, and in a pit him caste.",OXFORD,"Weak pt sg must end in -ed, -d, or -t"
mouen,may,v%pr_3,The Prioress' Tale 575,data/oxford_txts/PrT_oxford.txt,What may youre ivel entente yow availle?,OXFORD,Present 3rd sg must end in -th
willen,wol,v%pr_3,The Prioress' Tale 576,data/oxford_txts/PrT_oxford.txt,"Mordre wol out, certein, it wol nat faille",OXFORD,Present 3rd sg must end in -th
gon,goon,v%pr_pl,The Prioress' Tale 583,data/oxford_txts/PrT_oxford.txt,"In Pathmos wroot,° which seith that they that goon",OXFORD,Present plural must end in -en or -e
werken,wroghte,v%pt_3,The Prioress' Tale 598,data/oxford_txts/PrT_oxford.txt,"She cride, and atte laste thus she wroghte,°",OXFORD,"Weak pt sg must end in -ed, -d, or -t"
crien,cride,v%pt_3,The Prioress' Tale 605,data/oxford_txts/PrT_oxford.txt,That in that place after° hir son she cride,OXFORD,"Weak pt sg must end in -ed, -d, or -t"
wenden,wente,v%pt_3,The Prioress' Tale 614,data/oxford_txts/PrT_oxford.txt,"The Cristen folk, that thurgh the strete wente",OXFORD,"Weak pt sg must end in -ed, -d, or -t"
willen,wol,v%pr_3,The Prioress' Tale 632,data/oxford_txts/PrT_oxford.txt,"Ivel shal have, that ivel wol deserve.",OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,The Prioress' Tale 647,data/oxford_txts/PrT_oxford.txt,Tel me what is thy cause for to singe,OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,The Prioress' Tale 648,data/oxford_txts/PrT_oxford.txt,"Sith that thy throte is cut, to my seminge?”°",OXFORD,Present 3rd sg must end in -th
willen,wol,v%pr_3,The Prioress' Tale 653,data/oxford_txts/PrT_oxford.txt,Wol that his glorie laste and be in minde,OXFORD,Present 3rd sg must end in -th
haven,han,v%pr_pl,The Prioress' Tale 661,data/oxford_txts/PrT_oxford.txt,"As ye han herd, and, whan that I had songe",OXFORD,Present plural must end in -en or -e
ben,is,v%pr_3,The Prioress' Tale 668,data/oxford_txts/PrT_oxford.txt,Whan that the grein is fro thy tonge ytake;,OXFORD,Present 3rd sg must end in -th
triklen,trikled,v%pt_pl,The Prioress' Tale 674,data/oxford_txts/PrT_oxford.txt,"His salte teres trikled doun as rein,°",OXFORD,Past plural must end in -en or -e
ben,is,v%pr_3,The Prioress' Tale 683,data/oxford_txts/PrT_oxford.txt,"Ther he is now, God leve us for to meete.°",OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,The Prioress' Tale 685,data/oxford_txts/PrT_oxford.txt,"With cursed Jewes, as it is notable",OXFORD,Present 3rd sg must end in -th
multiplien,multiplie,v%pr_3,The Prioress' Tale 689,data/oxford_txts/PrT_oxford.txt,On us his grete mercy multiplie,OXFORD,Present 3rd sg must end in -th
ben,be,v%pr_3,Troilus and Criseyde; Book II 17,data/oxford_txts/TC2_oxford.txt,"Disblameth me, if any word be lame",OXFORD,Present 3rd sg must end in -th
connen,can,v%pr_3,Troilus and Criseyde; Book II 21,data/oxford_txts/TC2_oxford.txt,A blind man can nat juggen wel in hewis.,OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 22,data/oxford_txts/TC2_oxford.txt,"Ye knowe eek, that in forme of speche is chaunge",OXFORD,Present 3rd sg must end in -th
don,do,v%pr_pl,Troilus and Criseyde; Book II 26,data/oxford_txts/TC2_oxford.txt,And spedde as wel in love as men now do;,OXFORD,Present plural must end in -en or -e
willen,wol,v%pr_3,Troilus and Criseyde; Book II 31,data/oxford_txts/TC2_oxford.txt,"That herkeneth, as the story wol devise",OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 35,data/oxford_txts/TC2_oxford.txt,I noot; but it is me no wonderinge;,OXFORD,Present 3rd sg must end in -th
wenden,went,v%pr_3,Troilus and Criseyde; Book II 36,data/oxford_txts/TC2_oxford.txt,For every wight which that to Rome went,OXFORD,Present 3rd sg must end in -th
holden,halt,v%pr_3,Troilus and Criseyde; Book II 37,data/oxford_txts/TC2_oxford.txt,"Halt nat o path, or alwey o manere.",OXFORD,Present 3rd sg must end in -th
don,don,v%pr_pl,Troilus and Criseyde; Book II 39,data/oxford_txts/TC2_oxford.txt,If that they ferde in love as men don here,OXFORD,Present plural must end in -en or -e
mouen,may,v%pr_3,Troilus and Criseyde; Book II 45,data/oxford_txts/TC2_oxford.txt,For to thy purpos this may liken thee,OXFORD,Present 3rd sg must end in -th
bitiden,bitit,v%pr_3,Troilus and Criseyde; Book II 48,data/oxford_txts/TC2_oxford.txt,As it bitit; but sin I have begonne,OXFORD,Present 3rd sg must end in -th
ben,is,v%pr_3,Troilus and Criseyde; Book II 53,data/oxford_txts/TC2_oxford.txt,And ful of bawme is fletinge every mede;,OXFORD,Present 3rd sg must end in -th
bitiden,bitidde,v%pt_3,Troilus and Criseyde; Book II 55,data/oxford_txts/TC2_oxford.txt,"Right in the white Bole, it so bitidde",OXFORD,"Weak pt sg must end in -ed, -d, or -t"
wenden,wente,v%pt_3,Troilus and Criseyde; Book II 62,data/oxford_txts/TC2_oxford.txt,"In love, for which in wo to bedde he wente",OXFORD,"Weak pt sg must end in -ed, -d, or -t"
don,doon,v%inf,Troilus and Criseyde; Book II 75,data/oxford_txts/TC2_oxford.txt,"To doon viage, and took his wey ful sone",OXFORD,Infinitive must end in -en or -e
ben,is,v%pr_3,Troilus and Criseyde; Book II 79,data/oxford_txts/TC2_oxford.txt,“Wher is my lady?” to hir folk quod he;,OXFORD,Present 3rd sg must end in -th
setten,sette,v%pt_3,Troilus and Criseyde; Book II 91,data/oxford_txts/TC2_oxford.txt,And with that word she doun on bench him sette.,OXFORD,"Weak pt sg must end in -ed, -d, or -t"
ben,is,v%pr_3,Troilus and Criseyde; Book II 98,data/oxford_txts/TC2_oxford.txt,"“Uncle,” quod she, “your maistresse is not here!”",OXFORD,Present 3rd sg must end in -th
