headword,successes,failures,total,failure_rate,high_failure
faren,4,7,11,0.6363636363636364,NO
biholden,4,4,8,0.5,NO
understonden,3,3,6,0.5,NO
slepen,6,3,9,0.3333333333333333,NO
hongen,5,2,7,0.2857142857142857,NO
abiden,3,1,4,0.25,NO
wepen,12,2,14,0.14285714285714285,NO
sitten,21,3,24,0.125,NO
singen,15,2,17,0.11764705882352941,NO
taken,45,5,50,0.1,NO
knouen,37,4,41,0.0975609756097561,NO
speken,51,4,55,0.07272727272727272,NO
finden,32,2,34,0.058823529411764705,NO
comen,76,4,80,0.05,NO
biginnen,57,1,58,0.017241379310344827,NO
writen,12,0,12,0.0,NO
leten,20,0,20,0.0,NO
bidden,28,0,28,0.0,NO
fallen,27,0,27,0.0,NO
sterven,3,0,3,0.0,NO
yeven,30,0,30,0.0,NO
flien,6,0,6,0.0,NO
sweren,9,0,9,0.0,NO
laughen,7,0,7,0.0,NO
bifallen,23,0,23,0.0,NO
drinken,8,0,8,0.0,NO
slen,15,0,15,0.0,NO
riden,9,0,9,0.0,NO
shinen,13,0,13,0.0,NO
winnen,10,0,10,0.0,NO
smiten,8,0,8,0.0,NO
driven,4,0,4,0.0,NO
risen,4,0,4,0.0,NO
chesen,6,0,6,0.0,NO
awaken,3,0,3,0.0,NO
forsaken,3,0,3,0.0,NO
quaken,3,0,3,0.0,NO
eten,5,0,5,0.0,NO
binden,5,0,5,0.0,NO
