Headword,Tag,Ending,Count,Percent
ther,adv,ther,491,90.09%
ther,adv,there,52,9.54%
ther,adv,seide,1,0.18%
ther,adv,nis,1,0.18%
a,indef_art,a,2520,94.28%
a,indef_art,an,148,5.54%
a,indef_art,wight,1,0.04%
a,indef_art,shete,1,0.04%
a,indef_art,jape,1,0.04%
a,indef_art,fool,1,0.04%
a,indef_art,gentil,1,0.04%
a,interj,a,26,96.30%
a,interj,benedicite,1,3.70%
a,n1,a,2,100.00%
gret,adj,greet,112,50.45%
gret,adj,grete,72,32.43%
gret,adj,gret,37,16.67%
gret,adj,great,1,0.45%
gret,adj%sup,grettest,5,83.33%
gret,adj%sup,gretest,1,16.67%
gret,adj%comp,gretter,8,100.00%
gret,n,grete,3,100.00%
cite,n,citee,35,94.59%
cite,n,cite,2,5.41%
cite,n%pl,citees,2,100.00%
amonges,prep,amonges,6,21.43%
amonges,prep,among,22,78.57%
amonges,adv,among,2,100.00%
cristen,adj,cristen,9,100.00%
jeuerie,n,jewerie,2,100.00%
sustenen,v%ppl_abs,sustened,1,100.00%
sustenen,v%inf,sustene,5,100.00%
of,prep,of,2934,99.69%
of,prep,his,2,0.07%
of,prep,record,1,0.03%
of,prep,alle,2,0.07%
of,prep,spake,1,0.03%
of,prep,more,1,0.03%
of,prep,fortune,1,0.03%
of,prep,age,1,0.03%
of,adv,of,12,100.00%
of,prep#adv,of,2,100.00%
that,art&gram_adj,that,341,99.42%
that,art&gram_adj,same,1,0.29%
that,art&gram_adj,day,1,0.29%
that,pron,that,1670,99.70%
that,pron,was,2,0.12%
that,pron,men,1,0.06%
that,pron,doth,1,0.06%
that,pron,in,1,0.06%
that,conj,that,1105,99.82%
that,conj,by,1,0.09%
that,conj,his,1,0.09%
that,part,that,545,99.45%
that,part,remembreth,1,0.18%
that,part,breeth,1,0.18%
that,part,min,1,0.18%
contree,n,contree,34,100.00%
for,prep,for,874,99.54%
for,prep,no,1,0.11%
for,prep,which,1,0.11%
for,prep,deed,1,0.11%
for,prep,noght,1,0.11%
for,conj,for,738,99.60%
for,conj,ther,1,0.13%
for,conj,nad,1,0.13%
for,conj,i,1,0.13%
for,prep#adv,for,583,99.83%
for,prep#adv,to,1,0.17%
and,conj,and,6120,99.79%
and,conj,troilus,1,0.02%
and,conj,stinte,1,0.02%
and,conj,so,1,0.02%
and,conj,that,2,0.03%
and,conj,in,1,0.02%
and,conj,al,2,0.03%
and,conj,be,1,0.02%
and,conj,no,1,0.02%
and,conj,weilaway,1,0.02%
and,conj,she,1,0.02%
and,conj,lo,1,0.02%
vileinie,n,vilanie,4,16.67%
vileinie,n,vileinie,18,75.00%
vileinie,n,vileiny,1,4.17%
vileinie,n,vilenie,1,4.17%
hateful,adj,hateful,4,100.00%
to,prep,to,964,99.59%
to,prep,laste,1,0.10%
to,prep,gladnesse,1,0.10%
to,prep,him,1,0.10%
to,prep,my,1,0.10%
to,part,to,2158,99.86%
to,part,wepe,1,0.05%
to,part,sustene,1,0.05%
to,part,blame,1,0.05%
to,adv2,to,61,100.00%
to,n%pl,toon,2,50.00%
to,n%pl,toos,2,50.00%
to,adv1,to,3,100.00%
to,n,to,1,100.00%
his,pron%gen,his,2478,99.56%
his,pron%gen,lone,1,0.04%
his,pron%gen,hise,4,0.16%
his,pron%gen,grace,1,0.04%
his,pron%gen,skin,1,0.04%
his,pron%gen,soule,2,0.08%
his,pron%gen,herte,1,0.04%
his,pron%gen,cowarde,1,0.04%
his,pron%neut_gen,his,1,100.00%
compaignie,n,compaignie,17,62.96%
compaignie,n,companie,7,25.93%
compaignie,n,company,1,3.70%
compaignie,n,companye,1,3.70%
compaignie,n,compaignye,1,3.70%
thurgh,prep,thurgh,48,46.60%
thurgh,prep,thorugh,19,18.45%
thurgh,prep,through,28,27.18%
thurgh,prep,thorgh,5,4.85%
thurgh,prep,thourgh,2,1.94%
thurgh,prep,throgh,1,0.97%
the,def_art,the,3861,99.66%
the,def_art,sonne,1,0.03%
the,def_art,which,1,0.03%
the,def_art,stounde,1,0.03%
the,def_art,foule,1,0.03%
the,def_art,masse,1,0.03%
the,def_art,wise,1,0.03%
the,def_art,goshauk,1,0.03%
the,def_art,tale,1,0.03%
the,def_art,morwe,1,0.03%
the,def_art,me,1,0.03%
the,def_art,tho,1,0.03%
the,def_art,remenant,1,0.03%
the,def_art,beste,1,0.03%
the,pron%obj,thee,331,97.64%
the,pron%obj,the,8,2.36%
the,adv,the,67,98.53%
