Headword,Stem Forms,All Forms,Always Ends in E
gret,greet; greete; gret; grete,greet; greete; gret; grete,No
god,good; goode,good; goode,No
long,lange; long; longe,lange; long; longe,No
olde,old; olde; oold,old; olde; oold,No
smal,smal; smale,smal; smale,No
wel,weel; wel; wele; well,weel; wel; wele; well,No
ded,ded; dede; deed,ded; dede; deed,No
wod,wood; woode,wood; woode,No
swete,sweete; swete,sweete; swete,Yes
dere,deere; dere,deere; dere,Yes
quik,quike; quyk; quyke; quykkest,quike; quyk; quyke; quykkest,No
cold,cold; colde; coold,cold; colde; coold,No
pale,pale,pale,Yes
derk,derk; derke; dirke,derk; derke; dirke,No
dep,deep; dep; depe,deep; dep; depe,No
pure,pure,pure,Yes
whit,whit; white; whyt; whyte,whit; white; whyt; whyte,No
raied,rayed,rayed,No
fin,fyn; fyne,fyn; fyne,No
blak,blak; blake,blak; blake,No
noble,noble,noble,Yes
mete,meete; mete,meete; mete,Yes
bright,bright; brighte; bryght; bryghte,bright; brighte; bryght; bryghte,No
glad,glad; gladde; glade,glad; gladde; glade,No
fair,fair; faire; fayr; fayre; feir; feyr,fair; faire; fayr; fayre; feir; feyr,No
bleu,blew; blewe,blew; blewe,No
cler,cleer; cleere; cler; clere,cleer; cleere; cler; clere,No
prive,prive; privee; privy; pryve; pryvee,prive; privee; privy; pryve; pryvee,No
smothe,smothe,smothe,Yes
flouri,floury,floury,No
grene,greene; grene,greene; grene,Yes
thikke,thikke; thykke,thikke; thykke,Yes
softe,softe,softe,Yes
huge,huge,huge,Yes
brod,brod; brode; brood,brod; brode; brood,No
ful,ful; full; fulle,ful; full; fulle,No
ware,war,war,No
red,red; rede; reed; reede,red; rede; reed; reede,No
fresh,fresh; freshe; fressh; fresshe,fresh; freshe; fressh; fresshe,No
fre,fre; free,fre; free,Yes
warm,warm,warm,No
ouen,awen; oune; owen; owene; owne,awen; oune; owen; owene; owne,No
smert,smart; smerte,smart; smerte,No
wroth,wrooth; wroothe; wroth; wrothe,wrooth; wroothe; wroth; wrothe,No
right,right; righte; ryght,right; righte; ryght,No
hole,hol; hool; hoole,hol; hool; hoole,No
sik,seeke; sek; sik; sike; syk,seeke; sek; sik; sike; syk,No
graunt,grant; graunt,grant; graunt,No
loth,looth; loothe; loth; lothest,looth; loothe; loth; lothest,No
fals,fals; false,fals; false,No
worth,worth,worth,No
queinte,queynt; queynte,queynt; queynte,No
sad,sad; sadde,sad; sadde,No
simple,simple; symple,simple; symple,Yes
wid,wide; wyd; wyde,wide; wyd; wyde,No
sobre,sobre,sobre,Yes
large,large,large,Yes
dul,dul; dulle,dul; dulle,No
chef,chef; chief,chef; chief,No
treu,trewe,trewe,Yes
rounde,round; rounde,round; rounde,No
streight,streght; streghte; streight; streighte,streght; streghte; streight; streighte,No
flat,flat,flat,No
lik,lik; like; lyk,lik; like; lyk,No
muche,moch; moche; muche,moch; moche; muche,No
half,half; halve,half; halve,No
wise,wis; wise; wys; wyse,wis; wise; wys; wyse,No
yong,yong; yonge,yong; yonge,No
ofte,ofte,ofte,Yes
wo,wo,wo,No
neue,new; newe,new; newe,No
riche,riche; ryche,riche; ryche,Yes
west,west,west,No
strong,strong; stronge; stroong,strong; stronge; stroong,No
self,self; selve; selven,self; selve; selven,No
short,short; shorte,short; shorte,No
