headword,word,line_number,filename,context,is_elided,is_final,text_type
ful,ful,The Clerk's Tale 1183,data/riverside_cats/ClT_riv.cat,O noble wyves ful of heigh prudence,True,False,RIVERSIDE
god,good,The Canon's Yeoman's Tale 1283,data/riverside_cats/CYT_riv.cat,Now good sires what wol ye bet than wel,False,False,RIVERSIDE
ful,ful,The Franklin's Tale 1190,data/riverside_cats/FranT_riv.cat,Forestes parkes ful of wilde deer,True,False,RIVERSIDE
ful,ful,The Franklin's Tale 1368,data/riverside_cats/FranT_riv.cat,Whan thritty tirauntz ful of cursednesse,True,False,RIVERSIDE
ful,ful,The Franklin's Tale 1375,data/riverside_cats/FranT_riv.cat,For which thise woful maydens ful of drede,True,False,RIVERSIDE
ful,ful,House of Fame 1304,data/riverside_cats/HF_riv.cat,As corbetz ful of ymageries,True,False,RIVERSIDE
ful,ful,House of Fame 1396,data/riverside_cats/HF_riv.cat,Of songes ful of armonye,True,False,RIVERSIDE
god,good,House of Fame 1616,data/riverside_cats/HF_riv.cat,Good werkes shal yow noght availle,False,False,RIVERSIDE
stark,stark,The Merchant's Tale 1458,data/riverside_cats/MerT_riv.cat,I feele my lymes stark and suffisaunt,True,False,RIVERSIDE
fresh,fressh,The Merchant's Tale 2235,data/riverside_cats/MerT_riv.cat,Upon a bench of turves fressh and grene,True,False,RIVERSIDE
ful,ful,The Miller's Tale 3237,data/riverside_cats/MilT_riv.cat,Upon hir lendes ful of many a goore,True,False,RIVERSIDE
long,long,The Monk's Tale 2160,data/riverside_cats/MkT_riv.cat,Sixty cubites long and sevene in brede,True,False,RIVERSIDE
proud,proud,The Monk's Tale 2167,data/riverside_cats/MkT_riv.cat,This kyng of kynges proud was and elaat,False,False,RIVERSIDE
ful,ful,The Second Nun's Tale 403,data/riverside_cats/SNT_riv.cat,With aungels ful of cleernesse and of light,True,False,RIVERSIDE
bleu,blew,Troilus and Criseyde; Book II 51,data/riverside_cats/TC2_riv.cat,That fresshe floures blew and white and rede,True,False,RIVERSIDE
tough,tough,Troilus and Criseyde; Book II 1025,data/riverside_cats/TC2_riv.cat,As make it with thise argumentes tough,False,True,RIVERSIDE
ful,ful,Troilus and Criseyde; Book III 1381,data/riverside_cats/TC3_riv.cat,Tho besy wrecches ful of wo and drede,True,False,RIVERSIDE
neue,new,Troilus and Criseyde; Book IV 339,data/riverside_cats/TC4_riv.cat,Medled with pleyntes new his wo to feede,True,False,RIVERSIDE
salt,salt,Troilus and Criseyde; Book IV 1172,data/riverside_cats/TC4_riv.cat,And with his teeris salt hire brest byreyned,True,False,RIVERSIDE
ful,ful,Troilus and Criseyde; Book IV 1486,data/riverside_cats/TC4_riv.cat,Among the Grekis ful of worthynesse,True,False,RIVERSIDE
bright,bright,Troilus and Criseyde; Book V 643,data/riverside_cats/TC5_riv.cat,The gydyng of thi bemes bright an houre,True,False,RIVERSIDE
heigh,heigh,Troilus and Criseyde; Book V 730,data/riverside_cats/TC5_riv.cat,Biheld the toures heigh and ek the halles,True,False,RIVERSIDE
prest,prest,Troilus and Criseyde; Book V 800,data/riverside_cats/TC5_riv.cat,Was in his nedes prest and corageous,True,False,RIVERSIDE
broun,broun,Sir Thopas 733,data/riverside_cats/Thop_riv.cat,Of Brugges were his hosen broun,False,True,RIVERSIDE
worth,worth,The Wife of Bath's Prologue 708,data/riverside_cats/WBPro_riv.cat,Of Venus werkes worth his olde sho,True,False,RIVERSIDE
