Tag,Ending,Count,Percent
adv,other,6369,52.69%
adv,-e,2203,18.22%
adv,-t,1601,13.24%
adv,vowel,1824,15.09%
adv,-d,66,0.55%
adv,-en,23,0.19%
adv,-eth,1,0.01%
adv,-ed,1,0.01%
indef_art,vowel,2520,93.96%
indef_art,other,159,5.93%
indef_art,-t,1,0.04%
indef_art,-e,2,0.07%
adj,-t,460,8.09%
adj,-e,2595,45.65%
adj,other,2046,36.00%
adj,-en,59,1.04%
adj,-d,318,5.59%
adj,vowel,23,0.40%
adj,-ed,183,3.22%
n,-e,8510,48.61%
n,other,5923,33.83%
n,-t,1504,8.59%
n,-d,938,5.36%
n,vowel,264,1.51%
n,-en,94,0.54%
n,-ed,177,1.01%
n,-eth,96,0.55%
prep,other,8567,79.16%
prep,vowel,1528,14.12%
prep,-t,326,3.01%
prep,-e,269,2.49%
prep,-en,112,1.03%
prep,-d,19,0.18%
prep,-ed,1,0.01%
v%ppl_abs,-ed,83,43.01%
v%ppl_abs,-en,12,6.22%
v%ppl_abs,-d,13,6.74%
v%ppl_abs,-t,28,14.51%
v%ppl_abs,other,21,10.88%
v%ppl_abs,-e,31,16.06%
v%ppl_abs,vowel,5,2.59%
art&gram_adj,-t,344,99.42%
art&gram_adj,-e,1,0.29%
art&gram_adj,other,1,0.29%
conj,-d,6159,47.89%
conj,other,4202,32.67%
conj,-t,2075,16.13%
conj,vowel,50,0.39%
conj,-e,370,2.88%
conj,-en,6,0.05%
pron%gen,other,4358,96.76%
pron%gen,vowel,123,2.73%
pron%gen,-t,2,0.04%
pron%gen,-e,20,0.44%
pron%gen,-d,1,0.02%
def_art,-e,3875,99.92%
def_art,other,2,0.05%
def_art,-t,1,0.03%
n%pl,-en,460,16.61%
n%pl,other,2290,82.67%
n%pl,-t,18,0.65%
n%pl,-e,2,0.07%
v%pt_pl,-e,430,63.24%
v%pt_pl,-ed,33,4.85%
v%pt_pl,-en,179,26.32%
v%pt_pl,other,21,3.09%
v%pt_pl,-t,2,0.29%
v%pt_pl,-d,13,1.91%
v%pt_pl,vowel,2,0.29%
v%inf,-e,4270,76.67%
v%inf,other,419,7.52%
v%inf,vowel,189,3.39%
v%inf,-en,687,12.34%
v%inf,-d,1,0.02%
v%inf,-t,3,0.05%
pron,-t,3224,68.74%
pron,other,1275,27.19%
pron,-e,140,2.99%
pron,-en,48,1.02%
pron,vowel,3,0.06%
v%pt_,other,2282,35.90%
v%pt_,-d,848,13.34%
v%pt_,-e,2753,43.31%
v%pt_,-ed,313,4.92%
v%pt_,-t,155,2.44%
v%pt_,vowel,5,0.08%
v%pt_,-eth,1,0.02%
gram_adj,other,2833,69.64%
gram_adj,-e,482,11.85%
gram_adj,vowel,634,15.59%
gram_adj,-t,119,2.93%
n#adj,-e,83,39.71%
n#adj,other,114,54.55%
n#adj,-d,8,3.83%
n#adj,-en,1,0.48%
n#adj,-t,3,1.44%
v%pr_,other,3470,52.84%
v%pr_,-e,1543,23.50%
v%pr_,-t,722,10.99%
v%pr_,-eth,767,11.68%
v%pr_,-ed,1,0.02%
v%pr_,vowel,63,0.96%
v%pr_,-d,1,0.02%
part,vowel,2160,79.24%
part,-t,559,20.51%
part,-e,4,0.15%
part,-eth,2,0.07%
part,other,1,0.04%
pron%pl_gen,-e,790,73.97%
pron%pl_gen,other,278,26.03%
gram_adj%pl,-e,163,84.90%
gram_adj%pl,vowel,26,13.54%
gram_adj%pl,other,3,1.56%
n%gen,other,397,99.75%
n%gen,-e,1,0.25%
num_adj,-en,21,3.17%
num_adj,-e,274,41.33%
num_adj,-d,46,6.94%
num_adj,vowel,217,32.73%
num_adj,other,76,11.46%
num_adj,-ed,26,3.92%
num_adj,-t,3,0.45%
n#propn%gen,other,202,100.00%
pron%obj,other,1051,44.78%
pron%obj,-e,1294,55.13%
pron%obj,-t,1,0.04%
pron%obj,-ed,1,0.04%
v%ppl,-t,361,17.76%
v%ppl,-d,240,11.81%
v%ppl,-en,194,9.54%
v%ppl,-ed,651,32.02%
v%ppl,-e,285,14.02%
v%ppl,other,260,12.79%
v%ppl,vowel,42,2.07%
interj,-e,64,7.31%
interj,vowel,433,49.43%
interj,other,335,38.24%
interj,-t,42,4.79%
interj,-en,1,0.11%
interj,-d,1,0.11%
pron%nom,-e,4045,50.91%
