Tag,Ending,Count,Percent
adv,other,6129,51.38%
adv,-e,2188,18.34%
adv,-t,1597,13.39%
adv,vowel,1759,14.75%
adv,-d,64,0.54%
adv,-th,168,1.41%
adv,-en,23,0.19%
adv,-ed,1,0.01%
indef_art,vowel,2520,93.96%
indef_art,other,159,5.93%
indef_art,-t,1,0.04%
indef_art,-e,2,0.07%
adj,-t,447,8.61%
adj,-e,2263,43.58%
adj,other,1848,35.59%
adj,-en,58,1.12%
adj,-d,317,6.10%
adj,-th,55,1.06%
adj,vowel,23,0.44%
adj,-ed,182,3.50%
n,-e,6624,46.06%
n,other,5142,35.75%
n,-t,1256,8.73%
n,-d,786,5.47%
n,vowel,256,1.78%
n,-en,85,0.59%
n,-ed,24,0.17%
n,-th,209,1.45%
prep,other,7575,71.77%
prep,vowel,1450,13.74%
prep,-t,321,3.04%
prep,-th,818,7.75%
prep,-e,260,2.46%
prep,-en,110,1.04%
prep,-d,19,0.18%
prep,-ed,1,0.01%
v%ppl_abs,-ed,83,43.23%
v%ppl_abs,-en,11,5.73%
v%ppl_abs,-d,13,6.77%
v%ppl_abs,-t,28,14.58%
v%ppl_abs,other,21,10.94%
v%ppl_abs,-e,31,16.15%
v%ppl_abs,vowel,5,2.60%
art&gram_adj,-t,344,99.42%
art&gram_adj,-e,1,0.29%
art&gram_adj,other,1,0.29%
conj,-d,6138,49.91%
conj,other,3979,32.35%
conj,-t,2064,16.78%
conj,-th,47,0.38%
conj,vowel,38,0.31%
conj,-e,27,0.22%
conj,-en,6,0.05%
pron%gen,other,4357,96.76%
pron%gen,vowel,123,2.73%
pron%gen,-t,2,0.04%
pron%gen,-e,20,0.44%
pron%gen,-d,1,0.02%
def_art,-e,3875,99.92%
def_art,other,2,0.05%
def_art,-t,1,0.03%
n2,-e,460,60.37%
n2,other,202,26.51%
n2,-d,53,6.96%
n2,-t,40,5.25%
n2,vowel,2,0.26%
n2,-ed,5,0.66%
n%pl,-en,458,16.62%
n%pl,other,2279,82.69%
n%pl,-t,17,0.62%
n%pl,-e,2,0.07%
v%pt_pl,-e,407,62.71%
v%pt_pl,-ed,31,4.78%
v%pt_pl,-en,175,26.96%
v%pt_pl,other,19,2.93%
v%pt_pl,-t,2,0.31%
v%pt_pl,-d,13,2.00%
v%pt_pl,vowel,2,0.31%
v%inf,-e,4181,77.11%
v%inf,other,406,7.49%
v%inf,vowel,187,3.45%
v%inf,-en,645,11.90%
v%inf,-t,3,0.06%
pron,-t,3203,68.70%
pron,other,1267,27.18%
pron,-e,140,3.00%
pron,-en,48,1.03%
pron,vowel,3,0.06%
pron,-th,1,0.02%
v%pt_3,other,2023,36.91%
v%pt_3,-d,788,14.38%
v%pt_3,-e,2308,42.11%
v%pt_3,-ed,252,4.60%
v%pt_3,-t,105,1.92%
v%pt_3,vowel,3,0.05%
v%pt_3,-th,2,0.04%
n1,-e,1266,60.57%
n1,other,394,18.85%
n1,-d,96,4.59%
n1,-t,166,7.94%
n1,-ed,144,6.89%
n1,-th,11,0.53%
n1,-en,8,0.38%
n1,vowel,5,0.24%
gram_adj,other,2830,69.64%
gram_adj,-e,481,11.84%
gram_adj,vowel,634,15.60%
gram_adj,-t,119,2.93%
n#adj,-e,77,39.90%
n#adj,other,105,54.40%
n#adj,-d,8,4.15%
n#adj,-en,1,0.52%
n#adj,-t,2,1.04%
v%pr_3,other,2160,49.52%
v%pr_3,-th,1289,29.55%
v%pr_3,-e,613,14.05%
v%pr_3,-t,283,6.49%
v%pr_3,-ed,1,0.02%
v%pr_3,vowel,16,0.37%
part,vowel,2159,79.52%
part,-t,550,20.26%
part,-e,3,0.11%
part,-th,2,0.07%
part,other,1,0.04%
pron%pl_gen,-e,789,73.95%
pron%pl_gen,other,278,26.05%
gram_adj%pl,-e,163,84.90%
gram_adj%pl,vowel,26,13.54%
gram_adj%pl,other,3,1.56%
n%gen,other,397,99.75%
n%gen,-e,1,0.25%
num_adj,-en,21,3.17%
num_adj,-e,274,41.33%
num_adj,-d,46,6.94%
num_adj,vowel,217,32.73%
num_adj,other,75,11.31%
num_adj,-ed,26,3.92%
num_adj,-th,1,0.15%
num_adj,-t,3,0.45%
n#propn%gen,other,93,100.00%
pron%obj,other,1048,44.73%
pron%obj,-e,1293,55.19%
pron%obj,-t,1,0.04%
pron%obj,-ed,1,0.04%
v%ppl,-t,355,17.72%
v%ppl,-d,236,11.78%
v%ppl,-en,189,9.44%
v%ppl,-ed,642,32.05%
v%ppl,-e,281,14.03%
v%ppl,other,258,12.88%
v%ppl,vowel,42,2.10%
