headword,word,tag,line_number,filename,context,text_type
usen,used,v%pt_pl,The Prioress' Tale 499,data/riverside_cats/PrT_riv.cat,Swich manere doctrine as men used there,RIVERSIDE
seien,seyn,v%inf,The Prioress' Tale 500,data/riverside_cats/PrT_riv.cat,This is to seyn to syngen and to rede,RIVERSIDE
don,do,v%inf,The Prioress' Tale 539,data/riverside_cats/PrT_riv.cat,Now certes I wol do my diligence,RIVERSIDE
haven,han,v%pr_pl,The Prioress' Tale 567,data/riverside_cats/PrT_riv.cat,An homycide therto han they hyred,RIVERSIDE
gon,goon,v%pr_pl,The Prioress' Tale 583,data/riverside_cats/PrT_riv.cat,In Pathmos wroot which seith that they that goon,RIVERSIDE
haven,han,v%pr_pl,The Prioress' Tale 661,data/riverside_cats/PrT_riv.cat,As ye han herd and whan that I hadde songe,RIVERSIDE
triklen,trikled,v%pt_pl,The Prioress' Tale 674,data/riverside_cats/PrT_riv.cat,His salte teeris trikled doun as reyn,RIVERSIDE
don,do,v%pr_pl,Troilus and Criseyde; Book II 26,data/riverside_cats/TC2_riv.cat,And spedde as wel in love as men now do,RIVERSIDE
don,don,v%pr_pl,Troilus and Criseyde; Book II 39,data/riverside_cats/TC2_riv.cat,If that they ferde in love as men don here,RIVERSIDE
don,doon,v%inf,Troilus and Criseyde; Book II 75,data/riverside_cats/TC2_riv.cat,To doon viage and took his way ful soone,RIVERSIDE
haven,han,v%pr_pl,Troilus and Criseyde; Book II 101,data/riverside_cats/TC2_riv.cat,And we han herd how that kyng Layus deyde,RIVERSIDE
don,don,v%inf,Troilus and Criseyde; Book II 112,data/riverside_cats/TC2_riv.cat,And lat us don to May som observaunce,RIVERSIDE
gon,gon,v%inf,Troilus and Criseyde; Book II 119,data/riverside_cats/TC2_riv.cat,Lat maydens gon to daunce and yonge wyves,RIVERSIDE
don,doon,v%inf,Troilus and Criseyde; Book II 121,data/riverside_cats/TC2_riv.cat,Yet koude I telle a thyng to doon yow pleye,RIVERSIDE
don,do,v%inf,Troilus and Criseyde; Book II 147,data/riverside_cats/TC2_riv.cat,Nor axen more that may do yow disese,RIVERSIDE
don,doon,v%pr_pl,Troilus and Criseyde; Book II 152,data/riverside_cats/TC2_riv.cat,As frendes doon whan thei ben mette yfere,RIVERSIDE
don,do,v%inf,Troilus and Criseyde; Book II 165,data/riverside_cats/TC2_riv.cat,A kynges sone in armes wel to do,RIVERSIDE
seien,sey,v%pr_pl,Troilus and Criseyde; Book II 190,data/riverside_cats/TC2_riv.cat,Ye sey right sooth ywys quod Pandarus,RIVERSIDE
haven,han,v%inf,Troilus and Criseyde; Book II 192,data/riverside_cats/TC2_riv.cat,He myghte han wondred upon Troilus,RIVERSIDE
willen,wol,v%pr_pl,Troilus and Criseyde; Book II 212,data/riverside_cats/TC2_riv.cat,And namelich of wommen Wol ye so,RIVERSIDE
gon,go,v%pr_pl,Troilus and Criseyde; Book II 214,data/riverside_cats/TC2_riv.cat,With yow to speke of wisdom er ye go,RIVERSIDE
seien,sey,v%inf,Troilus and Criseyde; Book II 252,data/riverside_cats/TC2_riv.cat,Tak it for good that I shal sey yow here,RIVERSIDE
sen,sey,v%pt_pl,Troilus and Criseyde; Book II 277,data/riverside_cats/TC2_riv.cat,Sey ye me nevere er now What sey ye no,RIVERSIDE
seien,sey,v%pr_pl,Troilus and Criseyde; Book II 277,data/riverside_cats/TC2_riv.cat,Sey ye me nevere er now What sey ye no,RIVERSIDE
sweren,sworn,v%ppl,Troilus and Criseyde; Book II 299,data/riverside_cats/TC2_riv.cat,By alle the othes that I have yow sworn,RIVERSIDE
shulen,shal,v%pr_pl,Troilus and Criseyde; Book II 306,data/riverside_cats/TC2_riv.cat,Yet trist alwey ye shal me fynde trewe,RIVERSIDE
willen,wol,v%pr_pl,Troilus and Criseyde; Book II 311,data/riverside_cats/TC2_riv.cat,For both I am agast what ye wol seye,RIVERSIDE
don,doon,v%inf,Troilus and Criseyde; Book II 315,data/riverside_cats/TC2_riv.cat,So wol I doon now herkeneth I shall telle,RIVERSIDE
hongen,hanged,v%ppl,Troilus and Criseyde; Book II 353,data/riverside_cats/TC2_riv.cat,Were hanged than I sholde ben his baude,RIVERSIDE
haven,han,v%pr_pl,Troilus and Criseyde; Book II 361,data/riverside_cats/TC2_riv.cat,Than ye han doon er this and moore feste,RIVERSIDE
don,do,v%inf,Troilus and Criseyde; Book II 382,data/riverside_cats/TC2_riv.cat,As I have seyd youre beste is to do soo,RIVERSIDE
don,doon,v%inf,Troilus and Criseyde; Book II 411,data/riverside_cats/TC2_riv.cat,Allas what sholden straunge to me doon,RIVERSIDE
haven,han,v%inf,Troilus and Criseyde; Book II 414,data/riverside_cats/TC2_riv.cat,Allas I wolde han trusted douteles,RIVERSIDE
don,doon,v%inf,Troilus and Criseyde; Book II 468,data/riverside_cats/TC2_riv.cat,I shal so doon myn honour shal I kepe,RIVERSIDE
don,doon,v%inf,Troilus and Criseyde; Book II 475,data/riverside_cats/TC2_riv.cat,Now wel quod she and I wol doon my peyne,RIVERSIDE
gon,go,v%pr_pl,Troilus and Criseyde; Book II 485,data/riverside_cats/TC2_riv.cat,That in this proces if ye depper go,RIVERSIDE
haven,han,v%pr_pl,Troilus and Criseyde; Book II 492,data/riverside_cats/TC2_riv.cat,That of this thyng that ye han hight me here,RIVERSIDE
haven,han,v%inf,Troilus and Criseyde; Book II 495,data/riverside_cats/TC2_riv.cat,Ne that I shal han cause in this matere,RIVERSIDE
gon,goon,v%inf,Troilus and Criseyde; Book II 542,data/riverside_cats/TC2_riv.cat,And I with that gan stille awey to goon,RIVERSIDE
don,do,v%pr_pl,Troilus and Criseyde; Book II 549,data/riverside_cats/TC2_riv.cat,Ye frend quod he do ye youre hedes ake,RIVERSIDE
sweren,isworn,v%ppl,Troilus and Criseyde; Book II 570,data/riverside_cats/TC2_riv.cat,Ne nevere was to wight so depe isworn,RIVERSIDE
gon,go,v%pr_pl,Troilus and Criseyde; Book II 615,data/riverside_cats/TC2_riv.cat,A go we se Cast up the yates wyde,RIVERSIDE
don,doon,v%inf,Troilus and Criseyde; Book II 757,data/riverside_cats/TC2_riv.cat,What shal I doon To what fyn lyve I thus,RIVERSIDE
don,do,v%inf,Troilus and Criseyde; Book II 763,data/riverside_cats/TC2_riv.cat,By alle right it may do me no shame,RIVERSIDE
haven,han,v%pr_pl,Troilus and Criseyde; Book II 834,data/riverside_cats/TC2_riv.cat,Ye blisful god han me so wel byset,RIVERSIDE
witen,woot,v%pr_pl,Troilus and Criseyde; Book II 893,data/riverside_cats/TC2_riv.cat,Do wey do wey they woot no thyng of this,RIVERSIDE
wenden,went,v%pt_pl,Troilus and Criseyde; Book II 910,data/riverside_cats/TC2_riv.cat,That she and alle hire folk in went yfeere,RIVERSIDE
gon,gon,v%inf,Troilus and Criseyde; Book II 929,data/riverside_cats/TC2_riv.cat,And dide his herte into hire brest to gon,RIVERSIDE
gon,go,v%inf,Troilus and Criseyde; Book II 944,data/riverside_cats/TC2_riv.cat,But ris and lat us soupe and go to reste,RIVERSIDE
don,do,v%inf,Troilus and Criseyde; Book II 957,data/riverside_cats/TC2_riv.cat,Sire my nece wol do wel by the,RIVERSIDE
haven,han,v%pr_pl,Troilus and Criseyde; Book II 966,data/riverside_cats/TC2_riv.cat,As ye han herd byfore al he hym tolde,RIVERSIDE
don,doon,v%inf,Troilus and Criseyde; Book II 981,data/riverside_cats/TC2_riv.cat,But Lord how shal I doon How shal I lyven,RIVERSIDE
shulen,shal,v%pr_pl,Troilus and Criseyde; Book II 1021,data/riverside_cats/TC2_riv.cat,And we shal speek of the somwhat I trowe,RIVERSIDE
gon,gon,v%inf,Troilus and Criseyde; Book II 1052,data/riverside_cats/TC2_riv.cat,Do that I seye and lat me therwith gon,RIVERSIDE
gon,go,v%pr_pl,Troilus and Criseyde; Book II 1114,data/riverside_cats/TC2_riv.cat,Into the gardyn go we and ye shal here,RIVERSIDE
